filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,10/18 (55.56%),4.80,0.42,5.00
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,10/18 (55.56%),4.80,0.42,5.00
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),0,0.00%,10/18 (55.56%),4.80,0.42,5.00
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),2,20.00%,10/18 (55.56%),4.80,0.42,5.00
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),8,80.00%,10/18 (55.56%),4.80,0.42,5.00
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,10/18 (55.56%),4.60,0.52,5.00
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,10/18 (55.56%),4.60,0.52,5.00
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),0,0.00%,10/18 (55.56%),4.60,0.52,5.00
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),4,40.00%,10/18 (55.56%),4.60,0.52,5.00
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),6,60.00%,10/18 (55.56%),4.60,0.52,5.00
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),0,0.00%,9/18 (50%),5.00,0.00,5.00
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),0,0.00%,9/18 (50%),5.00,0.00,5.00
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Average,(3),0,0.00%,9/18 (50%),5.00,0.00,5.00
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Very Good,(4),0,0.00%,9/18 (50%),5.00,0.00,5.00
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Excellent,(5),9,100.00%,9/18 (50%),5.00,0.00,5.00
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,,,
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,8,The course was difficult.,Strongly disagree,(1),0,0.00%,10/18 (55.56%),3.10,0.32,3.00
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,8,The course was difficult.,Disagree,(2),0,0.00%,10/18 (55.56%),3.10,0.32,3.00
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,8,The course was difficult.,Neither agree nor disagree,(3),9,90.00%,10/18 (55.56%),3.10,0.32,3.00
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,8,The course was difficult.,Agree,(4),1,10.00%,10/18 (55.56%),3.10,0.32,3.00
