uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
149911_8928_11987253_27466691,NEUROSCI-223-001,CELL AND MOLEC NEUROBIO.NEUROSCI-223-001.BIOLOGY-223-001.,"Newpher, Thomas",Summer I 2023,NEUROSCIEN,"12 of 28  responded (42.86%)



 View Report
                            



 Download PDF","NEUROSCI, BIOLOGY",99017,R3taZNKnw14IRH7UBESaUg%3d%3d,USsZfAxmA0FN1YhCj9%2ffEw%3d%3d,vYnarYvVA2IooKmgLOlVfw%3d%3d,2025-11-24T15:47:07.085597
149911_8928_11987271_27466700,BIOLOGY-201L-001,MOLECULAR BIOLOGY.BIOLOGY-201L-001.,"Perera, Nadeesha",Summer I 2023,BIOLOGY,"13 of 14  responded (92.86%)



 View Report
                            



 Download PDF",BIOLOGY,98971,R3taZNKnw14IRH7UBESaUg%3d%3d,oqhry2gvuNsxFkN0VwZd8g%3d%3d,BDKJOVdLHhXeHzY0g2qsGA%3d%3d,2025-11-24T15:47:07.085701
149911_8928_11987271_27466701,BIOLOGY-201L-001,MOLECULAR BIOLOGY.BIOLOGY-201L-001.,"Holmer, Stephanie",Summer I 2023,BIOLOGY,"13 of 14  responded (92.86%)



 View Report
                            



 Download PDF",BIOLOGY,98971,R3taZNKnw14IRH7UBESaUg%3d%3d,oqhry2gvuNsxFkN0VwZd8g%3d%3d,2WQKPPGubi6xmOgm6GMR4Q%3d%3d,2025-11-24T15:47:07.085814
149911_8928_11987271_27466704,BIOLOGY-201L-001,MOLECULAR BIOLOGY.BIOLOGY-201L-001.,"Shreve, Chris",Summer I 2023,BIOLOGY,"13 of 14  responded (92.86%)



 View Report
                            



 Download PDF",BIOLOGY,98971,R3taZNKnw14IRH7UBESaUg%3d%3d,oqhry2gvuNsxFkN0VwZd8g%3d%3d,qanlXEaeIjjHnNWX3XbuwQ%3d%3d,2025-11-24T15:47:07.085902
149911_8928_11987272_27466701,BIOLOGY-201L-01L,MOLECULAR BIOLOGY.BIOLOGY-201L-01L.,"Holmer, Stephanie",Summer I 2023,BIOLOGY,"13 of 14  responded (92.86%)



 View Report
                            



 Download PDF",,98971,R3taZNKnw14IRH7UBESaUg%3d%3d,MO7PET%2brO1D%2bAuYhKLB6mQ%3d%3d,2WQKPPGubi6xmOgm6GMR4Q%3d%3d,2025-11-24T15:47:07.085985
149911_8928_11987272_27466704,BIOLOGY-201L-01L,MOLECULAR BIOLOGY.BIOLOGY-201L-01L.,"Shreve, Chris",Summer I 2023,BIOLOGY,"13 of 14  responded (92.86%)



 View Report
                            



 Download PDF",,98971,R3taZNKnw14IRH7UBESaUg%3d%3d,MO7PET%2brO1D%2bAuYhKLB6mQ%3d%3d,qanlXEaeIjjHnNWX3XbuwQ%3d%3d,2025-11-24T15:47:07.086067
152527_9107_12076198_27466683,BIOLOGY-288A-01,BIOGEO AUSTRALIAN CONTEX.BIOLOGY-288A-01.ENVIRON-288A-01.EOS-288A-01.ECS-288A-01.,"Glass, Alexander",Summer II 2023,BIOLOGY,"15 of 18  responded (83.33%)



 View Report
                            



 Download PDF","BIOLOGY, ENVIRON, EOS, ECS",98971,4TxgzUHg4Suz2MS8X7frbw%3d%3d,Focxq%2bs%2fyNwIvH%2fHdDR%2fyA%3d%3d,waNfm8tpMGpJwnFhupu9AA%3d%3d,2025-11-24T15:47:07.086147
154503_9169_12241517_27991740,BIOLOGY-773LA-01,MARINE ECOLOGY.BIOLOGY-773LA-01.ENVIRON-773LA-01.,"Fodrie, Fredrick",Fall 2023,BIOLOGY,"5 of 7  responded (71.43%)



 View Report
                            



 Download PDF",,98819,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,mKgqYpH0g76wEMm0YFaqOQ%3d%3d,KG8pa%2bdPuGrAjOfQKC9O5A%3d%3d,2025-11-24T15:47:07.086228
154503_9169_12241526_27991624,UPE-702-01,INDIVIDUALS TO COMMUNITIES.UPE-702-01.BIOLOGY-842-01.ENVIRON-842-01.EVANTH-742-01.,"Wright, Justin",Fall 2023,ECOLOGY,"7 of 11  responded (63.64%)



 View Report
                            



 Download PDF","UPE, BIOLOGY, ENVIRON, EVANTH",98836,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,imMM46rl09E2AUM6Xh4U7A%3d%3d,uH5KqZ2MAhM175vB2Vmtgg%3d%3d,2025-11-24T15:47:07.086308
154503_9169_12241526_27991627,UPE-702-01,INDIVIDUALS TO COMMUNITIES.UPE-702-01.BIOLOGY-842-01.ENVIRON-842-01.EVANTH-742-01.,"Clark, James",Fall 2023,ECOLOGY,"7 of 11  responded (63.64%)



 View Report
                            



 Download PDF","UPE, BIOLOGY, ENVIRON, EVANTH",98836,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,imMM46rl09E2AUM6Xh4U7A%3d%3d,wASrtGOtx6wceHV8Y8rO9g%3d%3d,2025-11-24T15:47:07.086417
