uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
154503_9169_12241471_27991684,BME-711S-01,BIOLOGICAL ENGINEERING SEM.BME-711S-01.ME-717S-01.,"Musah, Samira",Fall 2023,BIOMEDICAL,"7 of 15  responded (46.67%)



 View Report
                            



 Download PDF","BME, ME",98893,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,4LSDzYWIkqUvQTSoEH5E3A%3d%3d,5ulG3wKmsyvTJLhUF5SZ%2bw%3d%3d,2025-11-24T15:48:53.831493
154503_9169_12241522_27991686,BME-574-01,GENE CIRCUITS.BME-574-01.CBB-574-01.,"You, Lingchong",Fall 2023,BIOMEDICAL,"6 of 14  responded (42.86%)



 View Report
                            



 Download PDF","BME, CBB",98893,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,kQQxYJbpeGJLwNA9W%2bjRIQ%3d%3d,79DpkXZv7%2fkRVxNbA6RBqQ%3d%3d,2025-11-24T15:48:53.831635
154503_9169_12241532_27991675,ME-514-01,PROPER & CHARACT POLYMERIC MAT.ME-514-01.BME-529-01.,"Zauscher, Stefan",Fall 2023,MECHANICAL,"13 of 22  responded (59.09%)



 View Report
                            



 Download PDF","ME, BME",98390,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,IR0FzWybb8DIyAs%2bojmYpg%3d%3d,53aXPMmOVvReBKeS6ffNHg%3d%3d,2025-11-24T15:48:53.831725
154503_9169_12241559_27991488,ME-555-04,ADVANCED TOPICS.ME-555-04.BME-590-09.,"Oca, Siobhan",Fall 2023,MECHANICAL,"19 of 30  responded (63.33%)



 View Report
                            



 Download PDF","ME, BME",98390,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,AnPV9dVJrx9EHvEtwPv1VQ%3d%3d,Kft%2fOa%2b8Ej8ftGl5cHOXCw%3d%3d,2025-11-24T15:48:53.831811
154503_9169_12241559_27991678,ME-555-04,ADVANCED TOPICS.ME-555-04.BME-590-09.,"Mann, Brian",Fall 2023,MECHANICAL,"19 of 30  responded (63.33%)



 View Report
                            



 Download PDF","ME, BME",98390,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,AnPV9dVJrx9EHvEtwPv1VQ%3d%3d,TTyRBUwPoizcqJUJeKprCg%3d%3d,2025-11-24T15:48:53.831894
154503_9169_12241565_27991528,BME-775L-001,DESIGN HEALTH 3: DELIVER.BME-775L-001.,"Fearis, Paul",Fall 2023,BIOMEDICAL,"17 of 33  responded (51.52%)



 View Report
                            



 Download PDF",BME,98893,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,nuY9gYGRQb1TWVpMjGWHCg%3d%3d,qxaZ%2bpKrE0q3XqAcTAEeIw%3d%3d,2025-11-24T15:48:53.831973
154503_9169_12241565_27991532,BME-775L-001,DESIGN HEALTH 3: DELIVER.BME-775L-001.,"Knight, Joe",Fall 2023,BIOMEDICAL,"17 of 33  responded (51.52%)



 View Report
                            



 Download PDF",BME,98893,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,nuY9gYGRQb1TWVpMjGWHCg%3d%3d,kM0KeV21nEOTU687KZuzRw%3d%3d,2025-11-24T15:48:53.832052
154503_9169_12241565_27991537,BME-775L-001,DESIGN HEALTH 3: DELIVER.BME-775L-001.,"Richardson, Eric",Fall 2023,BIOMEDICAL,"17 of 33  responded (51.52%)



 View Report
                            



 Download PDF",BME,98893,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,nuY9gYGRQb1TWVpMjGWHCg%3d%3d,CQEjOPbMZnyOfQe2RCGl%2fw%3d%3d,2025-11-24T15:48:53.832131
154503_9169_12241579_27991751,BME-601L-001,INTRO TO NEURAL ENGINEERING.BME-601L-001.,"Sommer, Marc",Fall 2023,BIOMEDICAL,"15 of 21  responded (71.43%)



 View Report
                            



 Download PDF",BME,98893,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,R5NTJyv0xmV5zSdA5d2Fvw%3d%3d,Av0ZNBWx0xGGwgKRyVbBHw%3d%3d,2025-11-24T15:48:53.832208
154503_9169_12241581_27991728,BME-728S-01,BME TA SEMINAR 1.BME-728S-01.,"Nightingale, Kathy",Fall 2023,BIOMEDICAL,"12 of 23  responded (52.17%)



 View Report
                            



 Download PDF",BME,98893,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,WdKTMs6eFD8US2v1itO6Tw%3d%3d,2hWz268UujkQJh8vAb8dVg%3d%3d,2025-11-24T15:48:53.832306
