filename,semester,course,instructor,question_number,question_text,response_text
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","- Understanding how to quantify properties like hydrophobicity and strength
- Determining device design with respect to biocompatibility and material availability"
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I was able to develop better memorization skills, as well as synthesization skills needed for lab reports."
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Methods for testing biomaterials besides stress and strain analysis. Intro to drug delivery. Nanoparticles and their uses in medicine, and the immune system."
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to write lab reports, think critically, time management"
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1. Consideration of how the materials chosen can affect the device's function
2. A material's inherent properties are only a sliver of what should be considered when choosing a material
3. Lab report skills"
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned how to predict properties of a material based on molecular interactions. I learned how to select specific biomaterials for a given task. I learned how to generate a list of criteria for a biomaterial.
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Study Skills, an understanding of the mechanics behind biomaterials, history of biomaterials"
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","The only thing gained in this course was memorizable content. There was no development of skills, there was no development of engineering thought, the way the course was portrayed was as a memorize this style of teaching with fill in the blank notes. No design challenges were levied. there was little that was learned in this course that will help me going forward. I could have learned all of the specifics of each material in a job or a lab setting, and I was hoping that this being an engineering course could be based around thoughtful design, but it was strictly memorization of unimportant details. Three specific things that were memorized were hydrogels, composites, and metals. Based on the coursework alone, I would not be able to describe how each of these functions within a system or how to design a system around them."
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1. How to analyze materials for use in medical applications through mechanical testing (strength moduli)
2. How to measure material degradation or release in biological applications through corrosion testing and diffusion rates
3. Understanding materials on a microscale and macroscale in terms of how they will interact with the immune system in the body"
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Time management
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about different class of materials that can be used for biomedical applications, how to analyze their properties and structures, and what sort of biological considerations are important when selecting a material for a device."
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to write a lab report on my own- and that it was more so matter of effort than intellect
I learned about the field of biomaterials and its diversity
My understanding with labs and their application to the course material increased"
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned practical medical applications of material properties. I got practice with scientific writing. I learned about the intersection of biology concepts and engineering design.
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","- Different types of biomaterials: metals, ceramics, polymers
- Immune system's response
- Nanomaterials"
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Biomaterials, use of biomaterials"
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned a lot about biomaterials and learned to think about their applications
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1. Different types of biomaterials
2. The importance of biocompatibility in biomedical devices and implants. 
3. How to go about testing different types of biomaterials for specific properties (ie stress/strain for polymers)"
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Advanced problem solving skills and approaches to understanding biomaterials. How to write advanced lab reports.
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",We learned about the different types of biomaterials and their applications.
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to apply problem-solving skills to BME, I learned a lot about ethics in engineering, and I started to learn how to properly write scientific papers."
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned that amorphous crystal structures are randomly oriented. that crystalline structures are structured and more compact and that ceramics are made of ionic bonds and brittle.
