filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",27/32 (84.38%),3.56,1.01,4.00,27,Poor: 1 (3.70%); Marginal: 2 (7.41%); Average: 10 (37.04%); Very Good: 9 (33.33%); Excellent: 5 (18.52%)
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",27/32 (84.38%),3.74,0.98,4.00,27,Poor: 1 (3.70%); Marginal: 1 (3.70%); Average: 8 (29.63%); Very Good: 11 (40.74%); Excellent: 6 (22.22%)
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",27/32 (84.38%),3.89,1.01,4.00,27,Poor: 1 (3.70%); Marginal: 1 (3.70%); Average: 6 (22.22%); Very Good: 11 (40.74%); Excellent: 8 (29.63%)
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,8,The course was difficult.,27/32 (84.38%),3.11,0.85,3.00,27,Strongly disagree: 0 (0.00%); Disagree: 7 (25.93%); Neither agree nor disagree: 11 (40.74%); Agree: 8 (29.63%); Strongly agree: 1 (3.70%)
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,27/32 (84.38%),4.93,1.90,5.00,27,1: 1 (3.70%); 2: 0 (0.00%); 3: 6 (22.22%); 4: 6 (22.22%); 5: 5 (18.52%); 6: 1 (3.70%); 7: 5 (18.52%); 8: 3 (11.11%); 9: 0 (0.00%); 10+: 0 (0.00%)
BME-221L-001_Bansal__Sonia_Summer_I_2024.html,Summer I 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
