filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),1,3.70%,27/32 (84.38%),3.56,1.01,4.00
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),2,7.41%,27/32 (84.38%),3.56,1.01,4.00
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),10,37.04%,27/32 (84.38%),3.56,1.01,4.00
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),9,33.33%,27/32 (84.38%),3.56,1.01,4.00
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),5,18.52%,27/32 (84.38%),3.56,1.01,4.00
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),1,3.70%,27/32 (84.38%),3.74,0.98,4.00
BME-221L-001_Bansal__Sonia_Spring_2024.html,Spring 2024,BME-221L-001 : BIOMATERIALS.BME-221L-001.,Sonia Bansal,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),1,3.70%,27/32 (84.38%),3.74,0.98,4.00
