filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,4/14 (28.57%),5.00,0.00,5.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,4/14 (28.57%),5.00,0.00,5.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),0,0.00%,4/14 (28.57%),5.00,0.00,5.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),0,0.00%,4/14 (28.57%),5.00,0.00,5.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),4,100.00%,4/14 (28.57%),5.00,0.00,5.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,6/14 (42.86%),4.83,0.41,5.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,6/14 (42.86%),4.83,0.41,5.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),0,0.00%,6/14 (42.86%),4.83,0.41,5.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),1,16.67%,6/14 (42.86%),4.83,0.41,5.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),5,83.33%,6/14 (42.86%),4.83,0.41,5.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),0,0.00%,6/14 (42.86%),4.67,0.52,5.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),0,0.00%,6/14 (42.86%),4.67,0.52,5.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Average,(3),0,0.00%,6/14 (42.86%),4.67,0.52,5.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Very Good,(4),2,33.33%,6/14 (42.86%),4.67,0.52,5.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Excellent,(5),4,66.67%,6/14 (42.86%),4.67,0.52,5.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,,,
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,8,The course was difficult.,Strongly disagree,(1),0,0.00%,6/14 (42.86%),3.67,0.52,4.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,8,The course was difficult.,Disagree,(2),0,0.00%,6/14 (42.86%),3.67,0.52,4.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,8,The course was difficult.,Neither agree nor disagree,(3),2,33.33%,6/14 (42.86%),3.67,0.52,4.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,8,The course was difficult.,Agree,(4),4,66.67%,6/14 (42.86%),3.67,0.52,4.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,8,The course was difficult.,Strongly agree,(5),0,0.00%,6/14 (42.86%),3.67,0.52,4.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,1,(1),0,0.00%,6/14 (42.86%),6.00,1.90,6.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,2,(2),0,0.00%,6/14 (42.86%),6.00,1.90,6.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,3,(3),1,16.67%,6/14 (42.86%),6.00,1.90,6.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,4,(4),0,0.00%,6/14 (42.86%),6.00,1.90,6.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,5,(5),1,16.67%,6/14 (42.86%),6.00,1.90,6.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,6,(6),2,33.33%,6/14 (42.86%),6.00,1.90,6.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,7,(7),0,0.00%,6/14 (42.86%),6.00,1.90,6.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,8,(8),2,33.33%,6/14 (42.86%),6.00,1.90,6.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,9,(9),0,0.00%,6/14 (42.86%),6.00,1.90,6.00
BME-574-01_You__Lingchong_Fall_2023.html,Fall 2023,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,10+,(10),0,0.00%,6/14 (42.86%),6.00,1.90,6.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,7/15 (46.67%),4.57,0.79,5.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,7/15 (46.67%),4.57,0.79,5.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),1,14.29%,7/15 (46.67%),4.57,0.79,5.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),1,14.29%,7/15 (46.67%),4.57,0.79,5.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),5,71.43%,7/15 (46.67%),4.57,0.79,5.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,7/15 (46.67%),4.43,0.79,5.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,7/15 (46.67%),4.43,0.79,5.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),1,14.29%,7/15 (46.67%),4.43,0.79,5.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),2,28.57%,7/15 (46.67%),4.43,0.79,5.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),4,57.14%,7/15 (46.67%),4.43,0.79,5.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),0,0.00%,7/15 (46.67%),4.57,0.79,5.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),0,0.00%,7/15 (46.67%),4.57,0.79,5.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Average,(3),1,14.29%,7/15 (46.67%),4.57,0.79,5.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Very Good,(4),1,14.29%,7/15 (46.67%),4.57,0.79,5.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Excellent,(5),5,71.43%,7/15 (46.67%),4.57,0.79,5.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,,,
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,8,The course was difficult.,Strongly disagree,(1),0,0.00%,7/15 (46.67%),3.14,0.69,3.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,8,The course was difficult.,Disagree,(2),1,14.29%,7/15 (46.67%),3.14,0.69,3.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,8,The course was difficult.,Neither agree nor disagree,(3),4,57.14%,7/15 (46.67%),3.14,0.69,3.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,8,The course was difficult.,Agree,(4),2,28.57%,7/15 (46.67%),3.14,0.69,3.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,8,The course was difficult.,Strongly agree,(5),0,0.00%,7/15 (46.67%),3.14,0.69,3.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,1,(1),0,0.00%,7/15 (46.67%),5.14,2.12,5.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,2,(2),1,14.29%,7/15 (46.67%),5.14,2.12,5.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,3,(3),0,0.00%,7/15 (46.67%),5.14,2.12,5.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,4,(4),1,14.29%,7/15 (46.67%),5.14,2.12,5.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,5,(5),3,42.86%,7/15 (46.67%),5.14,2.12,5.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,6,(6),1,14.29%,7/15 (46.67%),5.14,2.12,5.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,7,(7),0,0.00%,7/15 (46.67%),5.14,2.12,5.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,8,(8),0,0.00%,7/15 (46.67%),5.14,2.12,5.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,9,(9),1,14.29%,7/15 (46.67%),5.14,2.12,5.00
BME-574-01_You__Lingchong_Fall_2024.html,Fall 2024,BME-574-01 : GENE CIRCUITS.BME-574-01.CBB-574-01.,Lingchong You,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,10+,(10),0,0.00%,7/15 (46.67%),5.14,2.12,5.00
CBB-526-01_Songdechakraiwut__Tananun_Fall_2024.html,Fall 2024,COMPSCI-526-01 : DATA SCIENCE.COMPSCI-526-01.CBB-526-01.ECE-583-01.,Tananun Songdechakraiwut,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
CBB-526-01_Songdechakraiwut__Tananun_Fall_2024.html,Fall 2024,COMPSCI-526-01 : DATA SCIENCE.COMPSCI-526-01.CBB-526-01.ECE-583-01.,Tananun Songdechakraiwut,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
CBB-526-01_Songdechakraiwut__Tananun_Fall_2024.html,Fall 2024,COMPSCI-526-01 : DATA SCIENCE.COMPSCI-526-01.CBB-526-01.ECE-583-01.,Tananun Songdechakraiwut,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,23/64 (35.94%),3.96,1.02,4.00
CBB-526-01_Songdechakraiwut__Tananun_Fall_2024.html,Fall 2024,COMPSCI-526-01 : DATA SCIENCE.COMPSCI-526-01.CBB-526-01.ECE-583-01.,Tananun Songdechakraiwut,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),3,13.04%,23/64 (35.94%),3.96,1.02,4.00
CBB-526-01_Songdechakraiwut__Tananun_Fall_2024.html,Fall 2024,COMPSCI-526-01 : DATA SCIENCE.COMPSCI-526-01.CBB-526-01.ECE-583-01.,Tananun Songdechakraiwut,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),3,13.04%,23/64 (35.94%),3.96,1.02,4.00
CBB-526-01_Songdechakraiwut__Tananun_Fall_2024.html,Fall 2024,COMPSCI-526-01 : DATA SCIENCE.COMPSCI-526-01.CBB-526-01.ECE-583-01.,Tananun Songdechakraiwut,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),9,39.13%,23/64 (35.94%),3.96,1.02,4.00
CBB-526-01_Songdechakraiwut__Tananun_Fall_2024.html,Fall 2024,COMPSCI-526-01 : DATA SCIENCE.COMPSCI-526-01.CBB-526-01.ECE-583-01.,Tananun Songdechakraiwut,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),8,34.78%,23/64 (35.94%),3.96,1.02,4.00
CBB-526-01_Songdechakraiwut__Tananun_Fall_2024.html,Fall 2024,COMPSCI-526-01 : DATA SCIENCE.COMPSCI-526-01.CBB-526-01.ECE-583-01.,Tananun Songdechakraiwut,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
CBB-526-01_Songdechakraiwut__Tananun_Fall_2024.html,Fall 2024,COMPSCI-526-01 : DATA SCIENCE.COMPSCI-526-01.CBB-526-01.ECE-583-01.,Tananun Songdechakraiwut,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,23/64 (35.94%),4.09,0.90,4.00
CBB-526-01_Songdechakraiwut__Tananun_Fall_2024.html,Fall 2024,COMPSCI-526-01 : DATA SCIENCE.COMPSCI-526-01.CBB-526-01.ECE-583-01.,Tananun Songdechakraiwut,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),1,4.35%,23/64 (35.94%),4.09,0.90,4.00
CBB-526-01_Songdechakraiwut__Tananun_Fall_2024.html,Fall 2024,COMPSCI-526-01 : DATA SCIENCE.COMPSCI-526-01.CBB-526-01.ECE-583-01.,Tananun Songdechakraiwut,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),5,21.74%,23/64 (35.94%),4.09,0.90,4.00
CBB-526-01_Songdechakraiwut__Tananun_Fall_2024.html,Fall 2024,COMPSCI-526-01 : DATA SCIENCE.COMPSCI-526-01.CBB-526-01.ECE-583-01.,Tananun Songdechakraiwut,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),8,34.78%,23/64 (35.94%),4.09,0.90,4.00
CBB-526-01_Songdechakraiwut__Tananun_Fall_2024.html,Fall 2024,COMPSCI-526-01 : DATA SCIENCE.COMPSCI-526-01.CBB-526-01.ECE-583-01.,Tananun Songdechakraiwut,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),9,39.13%,23/64 (35.94%),4.09,0.90,4.00
CBB-526-01_Songdechakraiwut__Tananun_Fall_2024.html,Fall 2024,COMPSCI-526-01 : DATA SCIENCE.COMPSCI-526-01.CBB-526-01.ECE-583-01.,Tananun Songdechakraiwut,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),0,0.00%,23/64 (35.94%),4.13,0.97,4.00
CBB-526-01_Songdechakraiwut__Tananun_Fall_2024.html,Fall 2024,COMPSCI-526-01 : DATA SCIENCE.COMPSCI-526-01.CBB-526-01.ECE-583-01.,Tananun Songdechakraiwut,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),2,8.70%,23/64 (35.94%),4.13,0.97,4.00
CBB-526-01_Songdechakraiwut__Tananun_Fall_2024.html,Fall 2024,COMPSCI-526-01 : DATA SCIENCE.COMPSCI-526-01.CBB-526-01.ECE-583-01.,Tananun Songdechakraiwut,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Average,(3),3,13.04%,23/64 (35.94%),4.13,0.97,4.00
