uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
154503_9169_12241545_27991655,CEE-690-05,ADVANCED TOPICS IN CEE.CEE-690-05.ME-555-05.,"Carlson, David",Fall 2023,CIV&ENV,"29 of 46  responded (63.04%)



 View Report
                            



 Download PDF","CEE, ME",98894,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,70D76GtNCTwLQQtA5zpVHg%3d%3d,EszApaM2lBovFXZ9N2sZEA%3d%3d,2025-11-24T15:50:40.799893
154503_9169_12241548_27991693,ECS-590-01,SPECIAL TOPICS IN ECS.ECS-590-01.CEE-690-07.,"Malin, Peter",Fall 2023,ECS,"13 of 20  responded (65.00%)



 View Report
                            



 Download PDF","ECS, CEE",98838,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,5xFfjvPsCstyarIdezvp9Q%3d%3d,fvmG57VliQj4l4nb36MVew%3d%3d,2025-11-24T15:50:40.800017
154503_9169_12241571_27991635,CEE-530-01,FINITE ELEMENT METHOD.CEE-530-01.ME-524-01.,"Scovazzi, Guglielmo",Fall 2023,CIV&ENV,"14 of 17  responded (82.35%)



 View Report
                            



 Download PDF","CEE, ME",98894,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,bXXdFPCgKi0EGE2h5CRdXw%3d%3d,oYiSyROA%2bAODZG8ml001Xg%3d%3d,2025-11-24T15:50:40.800096
154503_9169_12241574_27991680,ENVIRON-540-01,CHEM FATE ORG COMPOUNDS.ENVIRON-540-01.CEE-563-01.,"Stapleton, Heather",Fall 2023,NSOE,"8 of 9  responded (88.89%)



 View Report
                            



 Download PDF","ENVIRON, CEE",98299,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,LKMdbmUlLwL2WDSU%2fPRrCQ%3d%3d,LsBvea%2f5hT78irsUSZFW%2bw%3d%3d,2025-11-24T15:50:40.800169
154503_9169_12241583_27991739,CEE-566-01,ENVIRONMENTAL MICROBIOLOGY.CEE-566-01.,"Gunsch, Claudia",Fall 2023,CIV&ENV,"14 of 24  responded (58.33%)



 View Report
                            



 Download PDF",CEE,98894,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,uxLIo2Zq49YXEmTZFZkKCQ%3d%3d,cFszK1zVfgmY1DKESOZueA%3d%3d,2025-11-24T15:50:40.800241
154503_9169_12241593_27446144,CEE-690-03,ADVANCED TOPICS IN CEE.CEE-690-03.,"Deshusses, Marc",Fall 2023,CIV&ENV,"5 of 8  responded (62.50%)



 View Report
                            



 Download PDF",CEE,98894,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,UhZK8D%2b2om9fxoJ66xY8Gw%3d%3d,S4aqnTdYW3CwSZt9%2bVLdRg%3d%3d,2025-11-24T15:50:40.800309
154503_9169_12241595_27446000,CEE-521-01,ELASTICITY.CEE-521-01.BME-526-01.ME-555-01.,"Brinson, Lynda Catherine",Fall 2023,CIV&ENV,"5 of 9  responded (55.56%)



 View Report
                            



 Download PDF","CEE, BME, ME",98894,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,eUj%2f2D8%2fPtmdymXPT1qBpA%3d%3d,T%2fZCeCKmseuDhFutHHeBbA%3d%3d,2025-11-24T15:50:40.800379
154503_9169_12241600_27991765,CEE-690-08,ADVANCED TOPICS IN CEE.CEE-690-08.,"Delgado Vela, Jeseth",Fall 2023,CIV&ENV,"7 of 9  responded (77.78%)



 View Report
                            



 Download PDF",CEE,98894,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,Z%2fB9U8Czem9LuJQFK5p2Gg%3d%3d,0QdsFxtL%2bj9Ycvpi74tqnw%3d%3d,2025-11-24T15:50:40.800449
154503_9169_12241614_27446118,CEE-561L-001,ENVIRONMENTAL AQUATIC CHEM.CEE-561L-001.ENVIRON-542L-001.,"Hsu-Kim, Heileen",Fall 2023,CIV&ENV,"11 of 13  responded (84.62%)



 View Report
                            



 Download PDF","CEE, ENVIRON",98894,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,199eo7R6KQTjGt5vFNfT1Q%3d%3d,TIr0xKh175nk4lmR2qaxCg%3d%3d,2025-11-24T15:50:40.800517
154503_9169_12241636_27991741,CEE-701-01,GRADUATE COLLOQUIUM.CEE-701-01.,"Jones, Andrew",Fall 2023,CIV&ENV,"10 of 22  responded (45.45%)



 View Report
                            



 Download PDF",CEE,98894,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,alTGAXoOkL%2fKer7Wjq42uA%3d%3d,yPN%2fNJwpZgWz8t4uRrfHDw%3d%3d,2025-11-24T15:50:40.800585
