filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
CEE-132L-001_Schaad__David_Spring_2024.html,Spring 2024,CEE-132L-001 : ENGINEERING THE PLANET.CEE-132L-001.,David Schaad,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
CEE-132L-001_Schaad__David_Spring_2024.html,Spring 2024,CEE-132L-001 : ENGINEERING THE PLANET.CEE-132L-001.,David Schaad,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
CEE-132L-001_Schaad__David_Spring_2024.html,Spring 2024,CEE-132L-001 : ENGINEERING THE PLANET.CEE-132L-001.,David Schaad,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,10/16 (62.5%),4.40,0.52,4.00
CEE-132L-001_Schaad__David_Spring_2024.html,Spring 2024,CEE-132L-001 : ENGINEERING THE PLANET.CEE-132L-001.,David Schaad,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,10/16 (62.5%),4.40,0.52,4.00
CEE-132L-001_Schaad__David_Spring_2024.html,Spring 2024,CEE-132L-001 : ENGINEERING THE PLANET.CEE-132L-001.,David Schaad,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),0,0.00%,10/16 (62.5%),4.40,0.52,4.00
CEE-132L-001_Schaad__David_Spring_2024.html,Spring 2024,CEE-132L-001 : ENGINEERING THE PLANET.CEE-132L-001.,David Schaad,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),6,60.00%,10/16 (62.5%),4.40,0.52,4.00
CEE-132L-001_Schaad__David_Spring_2024.html,Spring 2024,CEE-132L-001 : ENGINEERING THE PLANET.CEE-132L-001.,David Schaad,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),4,40.00%,10/16 (62.5%),4.40,0.52,4.00
CEE-132L-001_Schaad__David_Spring_2024.html,Spring 2024,CEE-132L-001 : ENGINEERING THE PLANET.CEE-132L-001.,David Schaad,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
CEE-132L-001_Schaad__David_Spring_2024.html,Spring 2024,CEE-132L-001 : ENGINEERING THE PLANET.CEE-132L-001.,David Schaad,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,10/16 (62.5%),4.40,0.52,4.00
CEE-132L-001_Schaad__David_Spring_2024.html,Spring 2024,CEE-132L-001 : ENGINEERING THE PLANET.CEE-132L-001.,David Schaad,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,10/16 (62.5%),4.40,0.52,4.00
CEE-132L-001_Schaad__David_Spring_2024.html,Spring 2024,CEE-132L-001 : ENGINEERING THE PLANET.CEE-132L-001.,David Schaad,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),0,0.00%,10/16 (62.5%),4.40,0.52,4.00
CEE-132L-001_Schaad__David_Spring_2024.html,Spring 2024,CEE-132L-001 : ENGINEERING THE PLANET.CEE-132L-001.,David Schaad,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),6,60.00%,10/16 (62.5%),4.40,0.52,4.00
CEE-132L-001_Schaad__David_Spring_2024.html,Spring 2024,CEE-132L-001 : ENGINEERING THE PLANET.CEE-132L-001.,David Schaad,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),4,40.00%,10/16 (62.5%),4.40,0.52,4.00
CEE-132L-001_Schaad__David_Spring_2024.html,Spring 2024,CEE-132L-001 : ENGINEERING THE PLANET.CEE-132L-001.,David Schaad,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),0,0.00%,10/16 (62.5%),4.30,0.67,4.00
CEE-132L-001_Schaad__David_Spring_2024.html,Spring 2024,CEE-132L-001 : ENGINEERING THE PLANET.CEE-132L-001.,David Schaad,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),0,0.00%,10/16 (62.5%),4.30,0.67,4.00
CEE-132L-001_Schaad__David_Spring_2024.html,Spring 2024,CEE-132L-001 : ENGINEERING THE PLANET.CEE-132L-001.,David Schaad,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Average,(3),1,10.00%,10/16 (62.5%),4.30,0.67,4.00
CEE-132L-001_Schaad__David_Spring_2024.html,Spring 2024,CEE-132L-001 : ENGINEERING THE PLANET.CEE-132L-001.,David Schaad,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Very Good,(4),5,50.00%,10/16 (62.5%),4.30,0.67,4.00
CEE-132L-001_Schaad__David_Spring_2024.html,Spring 2024,CEE-132L-001 : ENGINEERING THE PLANET.CEE-132L-001.,David Schaad,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Excellent,(5),4,40.00%,10/16 (62.5%),4.30,0.67,4.00
CEE-132L-001_Schaad__David_Spring_2024.html,Spring 2024,CEE-132L-001 : ENGINEERING THE PLANET.CEE-132L-001.,David Schaad,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,,,
CEE-132L-001_Schaad__David_Spring_2024.html,Spring 2024,CEE-132L-001 : ENGINEERING THE PLANET.CEE-132L-001.,David Schaad,8,The course was difficult.,Strongly disagree,(1),0,0.00%,10/16 (62.5%),3.20,0.63,3.00
CEE-132L-001_Schaad__David_Spring_2024.html,Spring 2024,CEE-132L-001 : ENGINEERING THE PLANET.CEE-132L-001.,David Schaad,8,The course was difficult.,Disagree,(2),1,10.00%,10/16 (62.5%),3.20,0.63,3.00
CEE-132L-001_Schaad__David_Spring_2024.html,Spring 2024,CEE-132L-001 : ENGINEERING THE PLANET.CEE-132L-001.,David Schaad,8,The course was difficult.,Neither agree nor disagree,(3),6,60.00%,10/16 (62.5%),3.20,0.63,3.00
