filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
CELLBIO-451-01_Carbrey__Jennifer_Summer_II_2024.html,Summer II 2024,CELLBIO-451-01 : INTRO HUMAN PHYSIOLOGY.CELLBIO-451-01.,Jennifer Carbrey,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
CELLBIO-451-01_Carbrey__Jennifer_Summer_II_2024.html,Summer II 2024,CELLBIO-451-01 : INTRO HUMAN PHYSIOLOGY.CELLBIO-451-01.,Jennifer Carbrey,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
CELLBIO-451-01_Carbrey__Jennifer_Summer_II_2024.html,Summer II 2024,CELLBIO-451-01 : INTRO HUMAN PHYSIOLOGY.CELLBIO-451-01.,Jennifer Carbrey,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,7/43 (16.28%),4.86,0.38,5.00
CELLBIO-451-01_Carbrey__Jennifer_Summer_II_2024.html,Summer II 2024,CELLBIO-451-01 : INTRO HUMAN PHYSIOLOGY.CELLBIO-451-01.,Jennifer Carbrey,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,7/43 (16.28%),4.86,0.38,5.00
CELLBIO-451-01_Carbrey__Jennifer_Summer_II_2024.html,Summer II 2024,CELLBIO-451-01 : INTRO HUMAN PHYSIOLOGY.CELLBIO-451-01.,Jennifer Carbrey,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),0,0.00%,7/43 (16.28%),4.86,0.38,5.00
CELLBIO-451-01_Carbrey__Jennifer_Summer_II_2024.html,Summer II 2024,CELLBIO-451-01 : INTRO HUMAN PHYSIOLOGY.CELLBIO-451-01.,Jennifer Carbrey,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),1,14.29%,7/43 (16.28%),4.86,0.38,5.00
CELLBIO-451-01_Carbrey__Jennifer_Summer_II_2024.html,Summer II 2024,CELLBIO-451-01 : INTRO HUMAN PHYSIOLOGY.CELLBIO-451-01.,Jennifer Carbrey,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),6,85.71%,7/43 (16.28%),4.86,0.38,5.00
CELLBIO-451-01_Carbrey__Jennifer_Summer_II_2024.html,Summer II 2024,CELLBIO-451-01 : INTRO HUMAN PHYSIOLOGY.CELLBIO-451-01.,Jennifer Carbrey,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
CELLBIO-451-01_Carbrey__Jennifer_Summer_II_2024.html,Summer II 2024,CELLBIO-451-01 : INTRO HUMAN PHYSIOLOGY.CELLBIO-451-01.,Jennifer Carbrey,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,7/43 (16.28%),4.71,0.76,5.00
CELLBIO-451-01_Carbrey__Jennifer_Summer_II_2024.html,Summer II 2024,CELLBIO-451-01 : INTRO HUMAN PHYSIOLOGY.CELLBIO-451-01.,Jennifer Carbrey,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,7/43 (16.28%),4.71,0.76,5.00
