uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
149911_8928_11987258_27466698,CHEM-202D-20D,ORGANIC CHEMISTRY II.CHEM-202D-20D.,"Canelas, Dorian",Summer I 2023,CHEMISTRY,"5 of 13  responded (38.46%)



 View Report
                            



 Download PDF",,98973,R3taZNKnw14IRH7UBESaUg%3d%3d,L4Bbonb1KwKvarNwsfiscg%3d%3d,ROm8I7zfX%2bEP1cF3jAc%2bGg%3d%3d,2025-11-24T15:51:12.548924
149911_8928_11987264_27466696,CHEM-210D-001,MOD APPS CHEM PRINCIPLES.CHEM-210D-001.,"Shorb, Justin",Summer I 2023,CHEMISTRY,"5 of 12  responded (41.67%)



 View Report
                            



 Download PDF",CHEM,98973,R3taZNKnw14IRH7UBESaUg%3d%3d,4pik%2fnyviDDrEXTWpYC7YA%3d%3d,eMWHMVnHqi9P3kQ8YN55MA%3d%3d,2025-11-24T15:51:12.549013
149911_8928_11987266_27466702,CHEM-201DL-001,ORGANIC CHEMISTRY I.CHEM-201DL-001.,"Gooden, David",Summer I 2023,CHEMISTRY,"12 of 34  responded (35.29%)



 View Report
                            



 Download PDF",,98973,R3taZNKnw14IRH7UBESaUg%3d%3d,ZWRon2QMatQFdvWzhTf0mg%3d%3d,9YJ7K6z%2bNDFyvSzVYz2FfQ%3d%3d,2025-11-24T15:51:12.549086
149911_8928_11987267_27466698,CHEM-202D-002,ORGANIC CHEMISTRY II.CHEM-202D-002.,"Canelas, Dorian",Summer I 2023,CHEMISTRY,"10 of 13  responded (76.92%)



 View Report
                            



 Download PDF",CHEM,98973,R3taZNKnw14IRH7UBESaUg%3d%3d,iMuEshj%2fsPUdh5ZYIkwR1w%3d%3d,ROm8I7zfX%2bEP1cF3jAc%2bGg%3d%3d,2025-11-24T15:51:12.549157
152527_9107_12076161_27675580,CHEM-202D-02D,ORGANIC CHEMISTRY II.CHEM-202D-02D.,"Widenhoefer, Ross",Summer II 2023,CHEMISTRY,"6 of 14  responded (42.86%)



 View Report
                            



 Download PDF",,98973,4TxgzUHg4Suz2MS8X7frbw%3d%3d,nZk%2fqaClqr2hHSCAln8Jhw%3d%3d,tSkIN7B9F0cITp%2bPwyv6Ig%3d%3d,2025-11-24T15:51:12.549231
152527_9107_12076162_27445802,CHEM-202L-03,ORGANIC CHEMISTRY II LAB.CHEM-202L-03.,"Cox, Charles",Summer II 2023,CHEMISTRY,"5 of 5  responded (100.00%)



 View Report
                            



 Download PDF",CHEM,98973,4TxgzUHg4Suz2MS8X7frbw%3d%3d,QviRFYTvXcllxUUzmukM0A%3d%3d,mNbYB6H8UedXRKcsmfeL6w%3d%3d,2025-11-24T15:51:12.549303
152527_9107_12076162_27675587,CHEM-202L-03,ORGANIC CHEMISTRY II LAB.CHEM-202L-03.,"Outlaw, Taylor",Summer II 2023,CHEMISTRY,"5 of 5  responded (100.00%)



 View Report
                            



 Download PDF",CHEM,98973,4TxgzUHg4Suz2MS8X7frbw%3d%3d,QviRFYTvXcllxUUzmukM0A%3d%3d,K9r%2f5K7x%2fvCq1k8j33U8sw%3d%3d,2025-11-24T15:51:12.549373
152527_9107_12076166_27466702,CHEM-201DL-001,ORGANIC CHEMISTRY I.CHEM-201DL-001.,"Gooden, David",Summer II 2023,CHEMISTRY,"6 of 23  responded (26.09%)



 View Report
                            



 Download PDF",,98973,4TxgzUHg4Suz2MS8X7frbw%3d%3d,nMDAtGtPaHJwJNbvh0h6dA%3d%3d,9YJ7K6z%2bNDFyvSzVYz2FfQ%3d%3d,2025-11-24T15:51:12.549453
152527_9107_12076167_27675580,CHEM-202D-001,ORGANIC CHEMISTRY II.CHEM-202D-001.,"Widenhoefer, Ross",Summer II 2023,CHEMISTRY,"6 of 14  responded (42.86%)



 View Report
                            



 Download PDF",CHEM,98973,4TxgzUHg4Suz2MS8X7frbw%3d%3d,jGtC%2bTeGVkGgM3sqIUvJ6Q%3d%3d,tSkIN7B9F0cITp%2bPwyv6Ig%3d%3d,2025-11-24T15:51:12.549547
154503_9169_12241554_27991711,CHEM-701S-01,RESEARCH ORIENTATION SEM.CHEM-701S-01.,"Welsher, Kevin",Fall 2023,CHEMISTRY,"13 of 26  responded (50.00%)



 View Report
                            



 Download PDF",CHEM,98823,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,4M5vCJlx3Vu9PNESL1RXKQ%3d%3d,4nxeOaMU64Xfi6CtU4T1tw%3d%3d,2025-11-24T15:51:12.549624
154503_9169_12241603_27991777,CHEM-590-01,SPECIAL TOPICS IN CHEMISTRY.CHEM-590-01.,"Moreno-Hernandez, Ivan",Fall 2023,CHEMISTRY,"9 of 9  responded (100.00%)



 View Report
                            



 Download PDF",CHEM,98823,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,DaYqrMGrheq%2fuXCUn3ixiA%3d%3d,bRl4A0rjYchR68SsPSylbQ%3d%3d,2025-11-24T15:51:12.549696
