filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
BME-555-01_Vo-Dinh__Tuan_Spring_2024.html,Spring 2024,BME-555-01 : ADVANCES IN PHOTONICS.BME-555-01.CHEM-630-01.,Tuan Vo-Dinh,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
BME-555-01_Vo-Dinh__Tuan_Spring_2024.html,Spring 2024,BME-555-01 : ADVANCES IN PHOTONICS.BME-555-01.CHEM-630-01.,Tuan Vo-Dinh,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
BME-555-01_Vo-Dinh__Tuan_Spring_2024.html,Spring 2024,BME-555-01 : ADVANCES IN PHOTONICS.BME-555-01.CHEM-630-01.,Tuan Vo-Dinh,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",6/20 (30%),4.33,0.82,4.50,6,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (16.67%); Very Good: 2 (33.33%); Excellent: 3 (50.00%)
BME-555-01_Vo-Dinh__Tuan_Spring_2024.html,Spring 2024,BME-555-01 : ADVANCES IN PHOTONICS.BME-555-01.CHEM-630-01.,Tuan Vo-Dinh,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
BME-555-01_Vo-Dinh__Tuan_Spring_2024.html,Spring 2024,BME-555-01 : ADVANCES IN PHOTONICS.BME-555-01.CHEM-630-01.,Tuan Vo-Dinh,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",6/20 (30%),4.17,0.75,4.00,6,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (16.67%); Very Good: 3 (50.00%); Excellent: 2 (33.33%)
BME-555-01_Vo-Dinh__Tuan_Spring_2024.html,Spring 2024,BME-555-01 : ADVANCES IN PHOTONICS.BME-555-01.CHEM-630-01.,Tuan Vo-Dinh,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",6/20 (30%),4.33,0.82,4.50,6,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (16.67%); Very Good: 2 (33.33%); Excellent: 3 (50.00%)
BME-555-01_Vo-Dinh__Tuan_Spring_2024.html,Spring 2024,BME-555-01 : ADVANCES IN PHOTONICS.BME-555-01.CHEM-630-01.,Tuan Vo-Dinh,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
BME-555-01_Vo-Dinh__Tuan_Spring_2024.html,Spring 2024,BME-555-01 : ADVANCES IN PHOTONICS.BME-555-01.CHEM-630-01.,Tuan Vo-Dinh,8,The course was difficult.,6/20 (30%),2.50,1.05,2.50,6,Strongly disagree: 1 (16.67%); Disagree: 2 (33.33%); Neither agree nor disagree: 2 (33.33%); Agree: 1 (16.67%); Strongly agree: 0 (0.00%)
BME-555-01_Vo-Dinh__Tuan_Spring_2024.html,Spring 2024,BME-555-01 : ADVANCES IN PHOTONICS.BME-555-01.CHEM-630-01.,Tuan Vo-Dinh,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,6/20 (30%),4.50,3.62,3.00,6,1: 1 (16.67%); 2: 1 (16.67%); 3: 2 (33.33%); 4: 0 (0.00%); 5: 0 (0.00%); 6: 0 (0.00%); 7: 0 (0.00%); 8: 1 (16.67%); 9: 0 (0.00%); 10+: 1 (16.67%)
BME-555-01_Vo-Dinh__Tuan_Spring_2025.html,Spring 2025,BME-555-01 : ADVANCES IN PHOTONICS.BME-555-01.CHEM-630-01.,Tuan Vo-Dinh,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
