filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
BME-555-01_Vo-Dinh__Tuan_Spring_2024.html,Spring 2024,BME-555-01 : ADVANCES IN PHOTONICS.BME-555-01.CHEM-630-01.,Tuan Vo-Dinh,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
BME-555-01_Vo-Dinh__Tuan_Spring_2024.html,Spring 2024,BME-555-01 : ADVANCES IN PHOTONICS.BME-555-01.CHEM-630-01.,Tuan Vo-Dinh,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
BME-555-01_Vo-Dinh__Tuan_Spring_2024.html,Spring 2024,BME-555-01 : ADVANCES IN PHOTONICS.BME-555-01.CHEM-630-01.,Tuan Vo-Dinh,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,6/20 (30%),4.33,0.82,4.50
BME-555-01_Vo-Dinh__Tuan_Spring_2024.html,Spring 2024,BME-555-01 : ADVANCES IN PHOTONICS.BME-555-01.CHEM-630-01.,Tuan Vo-Dinh,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,6/20 (30%),4.33,0.82,4.50
BME-555-01_Vo-Dinh__Tuan_Spring_2024.html,Spring 2024,BME-555-01 : ADVANCES IN PHOTONICS.BME-555-01.CHEM-630-01.,Tuan Vo-Dinh,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),1,16.67%,6/20 (30%),4.33,0.82,4.50
BME-555-01_Vo-Dinh__Tuan_Spring_2024.html,Spring 2024,BME-555-01 : ADVANCES IN PHOTONICS.BME-555-01.CHEM-630-01.,Tuan Vo-Dinh,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),2,33.33%,6/20 (30%),4.33,0.82,4.50
BME-555-01_Vo-Dinh__Tuan_Spring_2024.html,Spring 2024,BME-555-01 : ADVANCES IN PHOTONICS.BME-555-01.CHEM-630-01.,Tuan Vo-Dinh,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),3,50.00%,6/20 (30%),4.33,0.82,4.50
BME-555-01_Vo-Dinh__Tuan_Spring_2024.html,Spring 2024,BME-555-01 : ADVANCES IN PHOTONICS.BME-555-01.CHEM-630-01.,Tuan Vo-Dinh,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
BME-555-01_Vo-Dinh__Tuan_Spring_2024.html,Spring 2024,BME-555-01 : ADVANCES IN PHOTONICS.BME-555-01.CHEM-630-01.,Tuan Vo-Dinh,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,6/20 (30%),4.17,0.75,4.00
BME-555-01_Vo-Dinh__Tuan_Spring_2024.html,Spring 2024,BME-555-01 : ADVANCES IN PHOTONICS.BME-555-01.CHEM-630-01.,Tuan Vo-Dinh,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,6/20 (30%),4.17,0.75,4.00
