filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
CHEM-101DL-001_Martinez__Anna_Fall_2024.html,Fall 2024,CHEM-101DL-001 : CORE CONCEPTS IN CHEMISTRY.CHEM-101DL-001.,Anna Martinez,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
CHEM-101DL-001_Martinez__Anna_Fall_2024.html,Fall 2024,CHEM-101DL-001 : CORE CONCEPTS IN CHEMISTRY.CHEM-101DL-001.,Anna Martinez,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
CHEM-101DL-001_Martinez__Anna_Fall_2024.html,Fall 2024,CHEM-101DL-001 : CORE CONCEPTS IN CHEMISTRY.CHEM-101DL-001.,Anna Martinez,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,112/153 (73.2%),4.13,0.79,4.00
CHEM-101DL-001_Martinez__Anna_Fall_2024.html,Fall 2024,CHEM-101DL-001 : CORE CONCEPTS IN CHEMISTRY.CHEM-101DL-001.,Anna Martinez,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),2,1.79%,112/153 (73.2%),4.13,0.79,4.00
CHEM-101DL-001_Martinez__Anna_Fall_2024.html,Fall 2024,CHEM-101DL-001 : CORE CONCEPTS IN CHEMISTRY.CHEM-101DL-001.,Anna Martinez,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),22,19.64%,112/153 (73.2%),4.13,0.79,4.00
CHEM-101DL-001_Martinez__Anna_Fall_2024.html,Fall 2024,CHEM-101DL-001 : CORE CONCEPTS IN CHEMISTRY.CHEM-101DL-001.,Anna Martinez,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),47,41.96%,112/153 (73.2%),4.13,0.79,4.00
CHEM-101DL-001_Martinez__Anna_Fall_2024.html,Fall 2024,CHEM-101DL-001 : CORE CONCEPTS IN CHEMISTRY.CHEM-101DL-001.,Anna Martinez,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),41,36.61%,112/153 (73.2%),4.13,0.79,4.00
CHEM-101DL-001_Martinez__Anna_Fall_2024.html,Fall 2024,CHEM-101DL-001 : CORE CONCEPTS IN CHEMISTRY.CHEM-101DL-001.,Anna Martinez,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
CHEM-101DL-001_Martinez__Anna_Fall_2024.html,Fall 2024,CHEM-101DL-001 : CORE CONCEPTS IN CHEMISTRY.CHEM-101DL-001.,Anna Martinez,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),2,1.80%,111/153 (72.55%),3.59,0.93,4.00
CHEM-101DL-001_Martinez__Anna_Fall_2024.html,Fall 2024,CHEM-101DL-001 : CORE CONCEPTS IN CHEMISTRY.CHEM-101DL-001.,Anna Martinez,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),10,9.01%,111/153 (72.55%),3.59,0.93,4.00
CHEM-101DL-001_Martinez__Anna_Fall_2024.html,Fall 2024,CHEM-101DL-001 : CORE CONCEPTS IN CHEMISTRY.CHEM-101DL-001.,Anna Martinez,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),37,33.33%,111/153 (72.55%),3.59,0.93,4.00
CHEM-101DL-001_Martinez__Anna_Fall_2024.html,Fall 2024,CHEM-101DL-001 : CORE CONCEPTS IN CHEMISTRY.CHEM-101DL-001.,Anna Martinez,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),44,39.64%,111/153 (72.55%),3.59,0.93,4.00
CHEM-101DL-001_Martinez__Anna_Fall_2024.html,Fall 2024,CHEM-101DL-001 : CORE CONCEPTS IN CHEMISTRY.CHEM-101DL-001.,Anna Martinez,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),18,16.22%,111/153 (72.55%),3.59,0.93,4.00
CHEM-101DL-001_Martinez__Anna_Fall_2024.html,Fall 2024,CHEM-101DL-001 : CORE CONCEPTS IN CHEMISTRY.CHEM-101DL-001.,Anna Martinez,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),2,1.79%,112/153 (73.2%),3.95,0.92,4.00
CHEM-101DL-001_Martinez__Anna_Fall_2024.html,Fall 2024,CHEM-101DL-001 : CORE CONCEPTS IN CHEMISTRY.CHEM-101DL-001.,Anna Martinez,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),4,3.57%,112/153 (73.2%),3.95,0.92,4.00
CHEM-101DL-001_Martinez__Anna_Fall_2024.html,Fall 2024,CHEM-101DL-001 : CORE CONCEPTS IN CHEMISTRY.CHEM-101DL-001.,Anna Martinez,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Average,(3),26,23.21%,112/153 (73.2%),3.95,0.92,4.00
CHEM-101DL-001_Martinez__Anna_Fall_2024.html,Fall 2024,CHEM-101DL-001 : CORE CONCEPTS IN CHEMISTRY.CHEM-101DL-001.,Anna Martinez,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Very Good,(4),46,41.07%,112/153 (73.2%),3.95,0.92,4.00
CHEM-101DL-001_Martinez__Anna_Fall_2024.html,Fall 2024,CHEM-101DL-001 : CORE CONCEPTS IN CHEMISTRY.CHEM-101DL-001.,Anna Martinez,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Excellent,(5),34,30.36%,112/153 (73.2%),3.95,0.92,4.00
CHEM-101DL-001_Martinez__Anna_Fall_2024.html,Fall 2024,CHEM-101DL-001 : CORE CONCEPTS IN CHEMISTRY.CHEM-101DL-001.,Anna Martinez,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,,,
CHEM-101DL-001_Martinez__Anna_Fall_2024.html,Fall 2024,CHEM-101DL-001 : CORE CONCEPTS IN CHEMISTRY.CHEM-101DL-001.,Anna Martinez,8,The course was difficult.,Strongly disagree,(1),0,0.00%,113/153 (73.86%),4.28,0.80,4.00
CHEM-101DL-001_Martinez__Anna_Fall_2024.html,Fall 2024,CHEM-101DL-001 : CORE CONCEPTS IN CHEMISTRY.CHEM-101DL-001.,Anna Martinez,8,The course was difficult.,Disagree,(2),3,2.65%,113/153 (73.86%),4.28,0.80,4.00
CHEM-101DL-001_Martinez__Anna_Fall_2024.html,Fall 2024,CHEM-101DL-001 : CORE CONCEPTS IN CHEMISTRY.CHEM-101DL-001.,Anna Martinez,8,The course was difficult.,Neither agree nor disagree,(3),15,13.27%,113/153 (73.86%),4.28,0.80,4.00
CHEM-101DL-001_Martinez__Anna_Fall_2024.html,Fall 2024,CHEM-101DL-001 : CORE CONCEPTS IN CHEMISTRY.CHEM-101DL-001.,Anna Martinez,8,The course was difficult.,Agree,(4),42,37.17%,113/153 (73.86%),4.28,0.80,4.00
CHEM-101DL-001_Martinez__Anna_Fall_2024.html,Fall 2024,CHEM-101DL-001 : CORE CONCEPTS IN CHEMISTRY.CHEM-101DL-001.,Anna Martinez,8,The course was difficult.,Strongly agree,(5),53,46.90%,113/153 (73.86%),4.28,0.80,4.00
CHEM-101DL-001_Martinez__Anna_Fall_2024.html,Fall 2024,CHEM-101DL-001 : CORE CONCEPTS IN CHEMISTRY.CHEM-101DL-001.,Anna Martinez,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,1,(1),0,0.00%,115/153 (75.16%),6.63,2.39,7.00
CHEM-101DL-001_Martinez__Anna_Fall_2024.html,Fall 2024,CHEM-101DL-001 : CORE CONCEPTS IN CHEMISTRY.CHEM-101DL-001.,Anna Martinez,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,2,(2),4,3.48%,115/153 (75.16%),6.63,2.39,7.00
