uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
154503_9169_12241466_27445854,CHILDPOL-532S-01,EARLY CHILD POLICY & PRACTICE.CHILDPOL-532S-01.PUBPOL-532S-01.,"Rosanbalm, Katie",Fall 2023,CPRS,"10 of 15  responded (66.67%)



 View Report
                            



 Download PDF","CHILDPOL, PUBPOL",98828,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,KmrBxYymstSFEMgpTte7dA%3d%3d,VIOHVBv9ScNTyvsIIwNOhw%3d%3d,2025-11-24T15:52:38.792792
153858_9169_12283273_28111921,CHILDPOL-250S-02,CHILD POLICY RESEARCH.CHILDPOL-250S-02.PUBPOL-242S-02.,"Golonka, Megan",Fall 2023,CPRS,"17 of 17  responded (100.00%)



 View Report
                            



 Download PDF","CHILDPOL, PUBPOL",98977,CtmkEaIRhsSP75R5T115eg%3d%3d,kVsEXfeAaIXk%2bvo0Rt3pbQ%3d%3d,%2bPP0UhuafPI8u64czede1A%3d%3d,2025-11-24T15:52:38.792879
153858_9169_12283316_28111921,CHILDPOL-250S-01,CHILD POLICY RESEARCH.CHILDPOL-250S-01.PUBPOL-242S-01.,"Golonka, Megan",Fall 2023,CPRS,"16 of 17  responded (94.12%)



 View Report
                            



 Download PDF","CHILDPOL, PUBPOL",98977,CtmkEaIRhsSP75R5T115eg%3d%3d,Rwr0yV6SX3e%2bmQtF%2fZusmg%3d%3d,%2bPP0UhuafPI8u64czede1A%3d%3d,2025-11-24T15:52:38.792961
161337_9470_12750977_28112015,CHILDPOL-325S-01,EQUITY-EARLY CHILDHOOD POLICY.CHILDPOL-325S-01.PUBPOL-325S-01.,"McCoy, Whitney",Spring 2024,CPRS,"7 of 15  responded (46.67%)



 View Report
                            



 Download PDF","CHILDPOL, PUBPOL",98977,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,rQrcXjxlFjBd836fvA6WTg%3d%3d,xPh8asjR0CFfrI1y2I9tmg%3d%3d,2025-11-24T15:52:38.793033
161337_9470_12750977_28807818,CHILDPOL-325S-01,EQUITY-EARLY CHILDHOOD POLICY.CHILDPOL-325S-01.PUBPOL-325S-01.,"Lawrence, Charla",Spring 2024,CPRS,"7 of 15  responded (46.67%)



 View Report
                            



 Download PDF","CHILDPOL, PUBPOL",98977,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,rQrcXjxlFjBd836fvA6WTg%3d%3d,bdlCH%2fjaaXAwJYj3SGXA8g%3d%3d,2025-11-24T15:52:38.793104
161337_9470_12751024_28111921,CHILDPOL-250S-02,CHILD POLICY RESEARCH.CHILDPOL-250S-02.PUBPOL-242S-02.,"Golonka, Megan",Spring 2024,CPRS,"11 of 18  responded (61.11%)



 View Report
                            



 Download PDF","CHILDPOL, PUBPOL",98977,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,H6IoKFJZ7Vl0i88mf%2fT8tQ%3d%3d,%2bPP0UhuafPI8u64czede1A%3d%3d,2025-11-24T15:52:38.793173
161337_9470_12751059_28111921,CHILDPOL-250S-01,CHILD POLICY RESEARCH.CHILDPOL-250S-01.PUBPOL-242S-01.,"Golonka, Megan",Spring 2024,CPRS,"16 of 18  responded (88.89%)



 View Report
                            



 Download PDF","CHILDPOL, PUBPOL",98977,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,u11oOedcJ0MjZXXGr%2fa5jQ%3d%3d,%2bPP0UhuafPI8u64czede1A%3d%3d,2025-11-24T15:52:38.793243
161337_9470_12751297_27445854,CHILDPOL-495S-01,CAPSTONE COURSE: CHILDPOL CERT.CHILDPOL-495S-01.PUBPOL-420S-01.,"Rosanbalm, Katie",Spring 2024,CPRS,"6 of 7  responded (85.71%)



 View Report
                            



 Download PDF","CHILDPOL, PUBPOL",98977,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,ijw%2bYz9TsnKewfe%2bpEKxrg%3d%3d,VIOHVBv9ScNTyvsIIwNOhw%3d%3d,2025-11-24T15:52:38.793310
171571_9973_13645763_27445854,CHILDPOL-532S-01,EARLY CHILD POLICY & PRACTICE.CHILDPOL-532S-01.PUBPOL-532S-01.,"Rosanbalm, Katie",Fall 2024,CPRS,"14 of 15  responded (93.33%)



 View Report
                            



 Download PDF","CHILDPOL, PUBPOL",98828,q5OO4BI97gXGGxeB4X%2bILQ%3d%3d,SUsg2TXJEzd3pTOiqvE27Q%3d%3d,VIOHVBv9ScNTyvsIIwNOhw%3d%3d,2025-11-24T15:52:38.793379
171550_9973_13686536_28111921,CHILDPOL-250S-02,CHILD POLICY RESEARCH.CHILDPOL-250S-02.PUBPOL-242S-02.,"Golonka, Megan",Fall 2024,CPRS,"8 of 17  responded (47.06%)



 View Report
                            



 Download PDF","CHILDPOL, PUBPOL",98977,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,t6GL7vestOgMcQNwIChB%2fQ%3d%3d,%2bPP0UhuafPI8u64czede1A%3d%3d,2025-11-24T15:52:38.793450
