filename,semester,course,instructor,question_number,question_text,response_text
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Understanding of a foreign language's sentence structure, Mandarin vocabulary, and speaking ability."
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned a lot about how to speak, write, read chinese and chinese culture."
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Chinese culture, pinyin, mandarin characters, general daily conversations and topics. It is impressive I can read and write many characters and I can communicate in Chinese after only a single semester!"
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Spaced repetition, drilling, and working with partners."
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I developed my tones when speaking Chinese. I now focus way more on tones when speaking and I have noticed good improvement. 
I learned many common expressions in Chinese like 'na li na li.'
I learned many new vocabulary words like major and biology."
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to speak, write, and read over 200 Chinese words."
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I appreciated the individual meeting and engagement of the instructor with each student in the class.
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","i thought the lectures were very helpful and i learned a lot. I really enjoyed playing games. The professor was very engaging, and facilitated a positive and collaborative learning environment."
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","All of Professor Guo's approaches are awesome! She is very sweet and caring with the learning process. She is very attentive and allows her students to share and practice before, during, and after class with games, reading out loud, and more!"
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I enjoyed the class games a lot.
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Guo LaoShi was a great teacher. She really cares about student's learning and makes each day of class fun and engaging. I like how interactive the class is. I always looked forward to class.
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","While the amount of work between vocab quizzes and homework assignments could be a lot, it was necessary to do well on the tests and understand Chinese. Having the slides published after each lesson was helpful to review what we had learned after class, in addition to going through the textbook."
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,It was easy and fun to practice inside and outside of class.
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"The professor was excellent, engaging, funny, and made learning chinese a fun experience. It was my favorite class. Also, the students were very interesting and friendly."
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,More opportunities to write characters during classes would be something to add to the class because most of my writing was done by myself and I would love to have this opportunity during class.
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,Maybe more movement/interactive games.
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,I think it could be cool to have some culture components. I would love to learn about Chinese culture.
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"I thought Chinese was really interesting as a language, and the fact that the class was small meant that everyone was forced to interact every class, which really helped with comprehension."
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,7,What would you like to say about this course to a student who is considering taking it in the future?,Absorbing everything from homework makes for a more fun time learning.
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,7,What would you like to say about this course to a student who is considering taking it in the future?,great way to start learning chinese. It is hard if you don't stay on top of your homework and review.
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,7,What would you like to say about this course to a student who is considering taking it in the future?,"Take the class if you have an interest in Chinese culture. I am an engineering major and I enjoyed very much the class. However, be aware that you will be required to have time to practice every day (around 1 hour) and homework to deliver every other day + vocabulary quizzes."
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,7,What would you like to say about this course to a student who is considering taking it in the future?,Absolutely take Chinese 101! I would recommend it to all students who are willing to commit a lot of time to learning and practicing.
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,7,What would you like to say about this course to a student who is considering taking it in the future?,"I would highly recommend taking this course. The workload is not too bad, being about 2 hours of homework a week + time spent studying. The amount of time spent studying can be significant, but you have a good comprehension of another language completely different from English, which is super fun. 郭老师 is a great teacher, she does her best to help every student succeed in the course, but you also have to put in effort to get there."
CHINESE-101-001_He__Tianshu_Fall_2023.html,Fall 2023,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Tianshu He,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","In this course, I learned very basic Chinese grammar and vocabulary."
CHINESE-101-001_He__Tianshu_Fall_2023.html,Fall 2023,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Tianshu He,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Learned the basic pinyin structureLearned over 200 characters
CHINESE-101-001_He__Tianshu_Fall_2023.html,Fall 2023,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Tianshu He,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Handwriting Chinese characters, recognizing pinyin tones, Chinese grammar structures"
CHINESE-101-001_He__Tianshu_Fall_2023.html,Fall 2023,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Tianshu He,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how speaking, writing, and vocabulary. I paid more attention to the tones of the language in speaking, handwriting became easier as we learned components, and my vocabulary expanded."
CHINESE-101-001_He__Tianshu_Fall_2023.html,Fall 2023,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Tianshu He,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I increased my ability in pattern recognition in language acquisition. Also, due to the sheer amount of characters needed to learn, I increased my skill at rote memorization."
CHINESE-101-001_He__Tianshu_Fall_2023.html,Fall 2023,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Tianshu He,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Speaking and writing.
CHINESE-101-001_He__Tianshu_Fall_2023.html,Fall 2023,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Tianshu He,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","During this course, I learned how to identify more characters. I also improved my listening skills, lastly, I've improved my skills at listening and identifying tones."
CHINESE-101-001_He__Tianshu_Fall_2023.html,Fall 2023,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Tianshu He,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned how to recognize Chinese characters. I also learned how to discuss a variety of conversational topics such as course schedules and family. I also learned how to recognize tones more accurately.
CHINESE-101-001_He__Tianshu_Fall_2023.html,Fall 2023,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Tianshu He,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",learned alot since we met 5 times per week.
CHINESE-101-001_He__Tianshu_Fall_2023.html,Fall 2023,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Tianshu He,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","discernment of tones in chinese, speaking skills in mandarin, how to use different grammatical structures / phrases to express different sentences"
CHINESE-101-001_He__Tianshu_Fall_2023.html,Fall 2023,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Tianshu He,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","This course is very interactive, which facilitates a more intuitive grasp of language."
CHINESE-101-001_He__Tianshu_Fall_2023.html,Fall 2023,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Tianshu He,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",My teacher helped engage all students during lectures
CHINESE-101-001_He__Tianshu_Fall_2023.html,Fall 2023,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Tianshu He,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","Individual one-on-one sessions, weekly writing/listening quizzes to practice those skills"
CHINESE-101-001_He__Tianshu_Fall_2023.html,Fall 2023,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Tianshu He,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Learning different components on the slideshows in class was helpful. Color coding the characters based on their tones was also helpful.
CHINESE-101-001_He__Tianshu_Fall_2023.html,Fall 2023,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Tianshu He,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","The small class sizes and multiple methods of learning such as writing, character memorization, listening, and speaking really make sure that you get a full elementary understanding of the language. Having mutliple teachers who all have different voices also helps you learn very well, in addition to listening to your own classmates speak as well."
CHINESE-101-001_He__Tianshu_Fall_2023.html,Fall 2023,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Tianshu He,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Yes. I liked how there were out of class opportunities to practice and gain culture experience such as through the Chinese language table
CHINESE-101-001_He__Tianshu_Fall_2023.html,Fall 2023,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Tianshu He,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I liked the presentations and some of the activities.
CHINESE-101-001_He__Tianshu_Fall_2023.html,Fall 2023,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Tianshu He,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I think calling on people randomly throughout the class kept me engaged. I would keep this method.
CHINESE-101-001_He__Tianshu_Fall_2023.html,Fall 2023,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Tianshu He,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",The weekly quizzes certainly helped facilitate learning although it was sometimes inconvenient to study for them. I think they helped the most with recognizing tones and recognizing the pinyin of spoken language. There was also continual engagement throughout class which gave lots of practice with speaking and pronunciation.
CHINESE-101-001_He__Tianshu_Fall_2023.html,Fall 2023,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Tianshu He,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",alot of intimate practice in a small setting
CHINESE-101-001_He__Tianshu_Fall_2023.html,Fall 2023,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Tianshu He,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","encouragement in class to practice speaking skills, use of only mandarin as language immersion, lessons on chinese culture to accompany language learning at times"
CHINESE-101-001_He__Tianshu_Fall_2023.html,Fall 2023,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Tianshu He,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,This class was stimulating because students were expected to engage the material during lectures
CHINESE-101-001_He__Tianshu_Fall_2023.html,Fall 2023,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Tianshu He,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"I already had some Chinese background, so a lot of the vocabulary and structures were review."
CHINESE-101-001_He__Tianshu_Fall_2023.html,Fall 2023,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Tianshu He,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,The slideshows interspersed with practice helped make the class stimulating.
CHINESE-101-001_He__Tianshu_Fall_2023.html,Fall 2023,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Tianshu He,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,It was very stimulating. The class times are 4 times a week plus an individual tutoring session and the short class times ensure that you are engaged throughout the entire class every day. They are either 50 min or 75 min blocks which makes for a great learning environment.
CHINESE-101-001_He__Tianshu_Fall_2023.html,Fall 2023,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Tianshu He,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,The group activities we did.
CHINESE-101-001_He__Tianshu_Fall_2023.html,Fall 2023,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Tianshu He,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,I think the roleplaying and the exercises to practice certain sentence patterns made it more intellectually stimulating.
