filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,9/13 (69.23%),4.78,0.44,5.00
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,9/13 (69.23%),4.78,0.44,5.00
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),0,0.00%,9/13 (69.23%),4.78,0.44,5.00
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),2,22.22%,9/13 (69.23%),4.78,0.44,5.00
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),7,77.78%,9/13 (69.23%),4.78,0.44,5.00
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,9/13 (69.23%),4.89,0.33,5.00
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,9/13 (69.23%),4.89,0.33,5.00
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),0,0.00%,9/13 (69.23%),4.89,0.33,5.00
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),1,11.11%,9/13 (69.23%),4.89,0.33,5.00
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),8,88.89%,9/13 (69.23%),4.89,0.33,5.00
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),0,0.00%,9/13 (69.23%),4.89,0.33,5.00
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),0,0.00%,9/13 (69.23%),4.89,0.33,5.00
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Average,(3),0,0.00%,9/13 (69.23%),4.89,0.33,5.00
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Very Good,(4),1,11.11%,9/13 (69.23%),4.89,0.33,5.00
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Excellent,(5),8,88.89%,9/13 (69.23%),4.89,0.33,5.00
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,,,
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,8,The course was difficult.,Strongly disagree,(1),0,0.00%,9/13 (69.23%),3.44,1.01,4.00
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,8,The course was difficult.,Disagree,(2),2,22.22%,9/13 (69.23%),3.44,1.01,4.00
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,8,The course was difficult.,Neither agree nor disagree,(3),2,22.22%,9/13 (69.23%),3.44,1.01,4.00
CHINESE-101-001_Guo__Jiali_Spring_2024.html,Spring 2024,CHINESE-101-001 : FIRST-YEAR CHINESE I.CHINESE-101-001.,Jiali Guo,8,The course was difficult.,Agree,(4),4,44.44%,9/13 (69.23%),3.44,1.01,4.00
