uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
154503_9169_12241457_27991638,AMES-609S-01,TRANSPACIFIC ASIA/AMERICA.AMES-609S-01.AADS-609S-01.ARTHIST-609S-01.CINE-609S-01.CULANTH-609S-01.GSF-609S-01.,"Kwon, Aimee",Fall 2023,AMES,"7 of 13  responded (53.85%)



 View Report
                            



 Download PDF","AMES, AADS, ARTHIST, CINE, CULANTH, GSF",98815,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,KgUhuWA7zJhVEbLWwcER8g%3d%3d,1iujJodvK%2b%2f%2f%2bHqanSIZ8A%3d%3d,2025-11-24T15:53:34.738626
154503_9169_12241490_27991659,CINE-749S-01,CINEMATOGRAPHY.CINE-749S-01.VMS-760S-01.,"Milligan, Stephen",Fall 2023,ART&AHIST,"5 of 5  responded (100.00%)



 View Report
                            



 Download PDF","CINE, VMS",98816,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,VGWHslmC4OxEzjsbe6CQlg%3d%3d,fk4leEtkwsLaRJT7XpC1ww%3d%3d,2025-11-24T15:53:34.738715
154503_9169_12241590_27466645,FRENCH-510-01,CITIZEN GODARD.FRENCH-510-01.CINE-642-01.LIT-510-01.VMS-552-01.,"Saliot, Anne-Gaelle",Fall 2023,ROMANCE,"5 of 12  responded (41.67%)



 View Report
                            



 Download PDF","FRENCH, CINE, LIT, VMS",98885,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,02ZPuhBy%2bSdYZxifx3wYhw%3d%3d,Z7Z28P1U53siqyLVTWp%2bGw%3d%3d,2025-11-24T15:53:34.738790
154503_9169_12241594_27445875,ARTSVIS-640S-01,EXPANDED CINEMA.ARTSVIS-640S-01.CINE-639S-01.DOCST-640S-01.LIT-545S-01.VMS-640S-01.,"Kaul, Shambhavi",Fall 2023,ART&AHIST,"11 of 13  responded (84.62%)



 View Report
                            



 Download PDF","ARTSVIS, CINE, DOCST, LIT, VMS",98816,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,HcNw7UeBT78tifHQs%2ftnwQ%3d%3d,mMabPAiKivv7K2c78pHwlw%3d%3d,2025-11-24T15:53:34.738862
154503_9169_12241647_27991676,AMES-631-01,NATIONAL CINEMAS.AMES-631-01.CINE-632-01.LIT-632-01.VMS-632-01.,"Hong, Guo-Juin",Fall 2023,AMES,"7 of 8  responded (87.50%)



 View Report
                            



 Download PDF","AMES, CINE, LIT, VMS",98815,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,YakjV5PPAveEJl6yMZqypw%3d%3d,Gue8wq%2fp%2buXf%2bpoRatUq3A%3d%3d,2025-11-24T15:53:34.738932
153858_9169_12282766_27991628,CINE-202-01,HISTORY OF DOCUMENTARY FILM.CINE-202-01.DOCST-107-01.VMS-265-01.,"Hill, Madison",Fall 2023,ART&AHIST,"13 of 14  responded (92.86%)



 View Report
                            



 Download PDF","CINE, DOCST, VMS",98967,CtmkEaIRhsSP75R5T115eg%3d%3d,OxIAxH77XurFiS9n2kYl7g%3d%3d,XH2XGVsbFjP85uG%2fUXMI5A%3d%3d,2025-11-24T15:53:34.739003
153858_9169_12282797_27675586,CINE-301S-01,MOVING IMAGE PRACTICE.CINE-301S-01.VMS-261S-01.,"Boyette, Archer",Fall 2023,ART&AHIST,"8 of 14  responded (57.14%)



 View Report
                            



 Download PDF","CINE, VMS",98967,CtmkEaIRhsSP75R5T115eg%3d%3d,k1xHmjCZZg6EgtpmjkMQrw%3d%3d,G4ayOH3Ysq2%2fYt2E05L5tA%3d%3d,2025-11-24T15:53:34.739073
153858_9169_12282852_28112107,ARTSVIS-326S-01,FILM ANIMATION PRODUCTION.ARTSVIS-326S-01.CINE-320S-01.VMS-271S-01.,"Herbert, Casey",Fall 2023,ART&AHIST,"6 of 14  responded (42.86%)



 View Report
                            



 Download PDF","ARTSVIS, CINE, VMS",98967,CtmkEaIRhsSP75R5T115eg%3d%3d,tnXo4vwmwOIScGpRRLL0DQ%3d%3d,5Xul2zlOsrsTBQiiYQMr0Q%3d%3d,2025-11-24T15:53:34.739142
153858_9169_12282872_27991676,AMES-129-01,MASTERS OF CHINESE CINEMA.AMES-129-01.CINE-250-01.LIT-214-01.VMS-235-01.,"Hong, Guo-Juin",Fall 2023,AMES,"10 of 16  responded (62.50%)



 View Report
                            



 Download PDF","AMES, CINE, LIT, VMS",98965,CtmkEaIRhsSP75R5T115eg%3d%3d,pq7CskY1fqIReeTN6Ti8hg%3d%3d,Gue8wq%2fp%2buXf%2bpoRatUq3A%3d%3d,2025-11-24T15:53:34.739212
153858_9169_12282894_28112071,THEATRST-275S-01,ACTING FOR THE CAMERA.THEATRST-275S-01.CINE-310S-01.,"Irving, Chauntee'",Fall 2023,THEATRST,"8 of 9  responded (88.89%)



 View Report
                            



 Download PDF","THEATRST, CINE",99035,CtmkEaIRhsSP75R5T115eg%3d%3d,A235FY0g4iVmkbv2UH35Yg%3d%3d,JuWoD1qgPLqTHS1lGEE8Tg%3d%3d,2025-11-24T15:53:34.739283
