uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
149911_8928_11987227_27466679,CLST-340A-01,ROME: HISTORY OF CITY.CLST-340A-01.ARTHIST-209A-01.HISTORY-238A-01.,"Casias, Cassandra",Summer I 2023,CLASSICAL,"5 of 11  responded (45.45%)



 View Report
                            



 Download PDF","CLST, ARTHIST, HISTORY",98974,R3taZNKnw14IRH7UBESaUg%3d%3d,%2fFWFjJZ6kIsg49D1mLU%2bBw%3d%3d,aY64I15J7j0YoYpvSZvf%2bA%3d%3d,2025-11-24T15:54:13.558890
154503_9169_12241491_27445979,RELIGION-885-01,CHRISTIAN MANUSCRIPT CULTURE.RELIGION-885-01.CLST-881-01.HISTORY-881-01.,"Knust, Jennifer",Fall 2023,RELIGION,"9 of 11  responded (81.82%)



 View Report
                            



 Download PDF","RELIGION, CLST, HISTORY",98883,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,%2ff9Gc2AGvvKUNwIxskMudA%3d%3d,vy1gy1wVu8adBDwwmtCBmw%3d%3d,2025-11-24T15:54:13.558982
153858_9169_12282764_28112134,ETHICS-365-01,HOW TO RULE THE WORLD.ETHICS-365-01.CLST-277-01.POLSCI-334-01.,"Watkins, Alfredo",Fall 2023,ETHICS,"13 of 15  responded (86.67%)



 View Report
                            



 Download PDF","ETHICS, CLST, POLSCI",98991,CtmkEaIRhsSP75R5T115eg%3d%3d,HaW0mS4hqaI0LKlme7ipbQ%3d%3d,2gjZ9ggij0UTfRMtr0jZOg%3d%3d,2025-11-24T15:54:13.559058
153858_9169_12282790_27991707,ARTHIST-89S-02,FIRST-YEAR SEMINAR (TOP).ARTHIST-89S-02.CLST-89S-02.,"Forte, Maurizio",Fall 2023,ART&AHIST,"14 of 16  responded (87.50%)



 View Report
                            



 Download PDF","ARTHIST, CLST",98967,CtmkEaIRhsSP75R5T115eg%3d%3d,XFCLQjc2Oh1cJGUts%2bcBDQ%3d%3d,5YgJdEgqfwkv78eOl2QmQw%3d%3d,2025-11-24T15:54:13.559129
153858_9169_12282794_27445826,CLST-214-01,MEDICINE AND HUMAN FLOURISHING.CLST-214-01.ETHICS-214-01.GLHLTH-238-01.,"Gonzalez, Jose",Fall 2023,CLASSICAL,"9 of 25  responded (36.00%)



 View Report
                            



 Download PDF","CLST, ETHICS, GLHLTH",98974,CtmkEaIRhsSP75R5T115eg%3d%3d,VjLftEIiQdcVZ64stjffyA%3d%3d,Io5kFdzHTTjsLWEVZRX0Rg%3d%3d,2025-11-24T15:54:13.559201
153858_9169_12282857_27445955,CLST-210-01,THE GOOD LIFE.CLST-210-01.ETHICS-210-01.PHIL-214-01.PUBPOL-229-01.RELIGION-210-01.,"Atkins, Jed",Fall 2023,CLASSICAL,"48 of 122  responded (39.34%)



 View Report
                            



 Download PDF","CLST, ETHICS, PHIL, PUBPOL, RELIGION",98974,CtmkEaIRhsSP75R5T115eg%3d%3d,3fw10u9O%2fpjBJyGrp3s%2bcQ%3d%3d,cagrsFCAf5fxNvz1I8o%2bfg%3d%3d,2025-11-24T15:54:13.559272
153858_9169_12283019_27991793,ARTHIST-334-01,ROMAN SPECTACLE.ARTHIST-334-01.CLST-354-01.VMS-334-01.,"Dillon, Sheila",Fall 2023,ART&AHIST,"7 of 20  responded (35.00%)



 View Report
                            



 Download PDF","ARTHIST, CLST, VMS",98967,CtmkEaIRhsSP75R5T115eg%3d%3d,UEsB2UHQtPXK3AlJgCYpYA%3d%3d,puMPi0bW3HbPHtr4JK1t7g%3d%3d,2025-11-24T15:54:13.559345
153858_9169_12283077_28112049,CLST-304-01,DRAMA OF ANCIENT ROME.CLST-304-01.THEATRST-227-01.VMS-240-01.,"Ginsberg, Lauren",Fall 2023,CLASSICAL,"5 of 18  responded (27.78%)



 View Report
                            



 Download PDF","CLST, THEATRST, VMS",98974,CtmkEaIRhsSP75R5T115eg%3d%3d,tz48c%2fpE4LTcCMSmFg02Sw%3d%3d,JiZG5GQGqiXCmB3gOcrCHA%3d%3d,2025-11-24T15:54:13.559416
153858_9169_12283111_27797712,CLST-283-01,GREEK HISTORY.CLST-283-01.HISTORY-230-01.,"Sosin, Joshua",Fall 2023,CLASSICAL,"20 of 32  responded (62.50%)



 View Report
                            



 Download PDF","CLST, HISTORY",98974,CtmkEaIRhsSP75R5T115eg%3d%3d,R32%2bRV2HfqRjW993B8Iduw%3d%3d,iQw4tN%2fOx9WkzH8YJdJbEQ%3d%3d,2025-11-24T15:54:13.559542
161337_9470_12750852_27466679,CLST-290S-02,SPECIAL TOPICS.CLST-290S-02.HISTORY-290S-02.,"Casias, Cassandra",Spring 2024,CLASSICAL,"7 of 17  responded (41.18%)



 View Report
                            



 Download PDF","CLST, HISTORY",98974,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,1cT312A0IpBhu6%2f0IeJgyA%3d%3d,aY64I15J7j0YoYpvSZvf%2bA%3d%3d,2025-11-24T15:54:13.559621
