filename,semester,course,instructor,question_number,question_text,response_text
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned mostly about the methodology in Proteomics, such as MS, TMT labeling, PRM"
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned more about experimental design
I got a basic understanding of current proteomic methods
I gained insight to how grad students think as an undergrad"
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I think I got a surface-level understanding of different mass spec methods and the specific steps for sample preparation, digestion, and analysis."
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned how to choose mass spectrometry-based proteomics techniques to best fit my biological questions. I also now have a great deal of understanding regarding how mass spectrometry works and what variables must be considered when designing proteomics experiments.
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned the details of various different quantitative proteomic methods. I learned how to evaluate the strengths and weakness of scientific papers by reading primary sources and high impact papers. I learned how to directly interpret mass spectrometry data. I learned how to apply quantitative proteomic methods to biological research.
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I developed knowledge on more established techniques and current/innovative techniques. I gained insight into the possible questions these methods could answer with the strengths and weaknesses of each. It introduced me to how the results can give us new insights into the molecular mechanisms that are occurring or the broad information for population studies.
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about mass spectrometry, the technical details, how it can be applied, and how to make decisions about mass spec in future projects. We also worked on reading papers, group work, and communicating high level information."
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I think I got better working with groups. The stimulated group discussions were nice and I think it is something that should be kept. I also improved my knowledge on proteomics by a lot, even though I am not even close to be a specialist, I think i got a good grasp on the content."
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned many things about proteomics and plenty of ways to improve the process from the complicated improvement to some simple modification that can benefit the result. I learned also the types of proteomics that exist out there and a little of data processing of the result of the proteomics.
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","-I didn't previously think about how proteomics could be applied to my own research. Thinking about this during the course assignments helped me think about my projects from a new lens. 
-I learned about different proteomics methods and their specific applications.
-The course provided a unique opportunity to learn from my peers as it was very interactive."
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","The course forced me to apply multiple biological concepts at once. Before this course, I'd only ever heard of mass spectrometry with regard to chemistry and percent abundance and it's kind of always been a very elusive and confusing topic. This class helped me learn a lot about proteomics and become more comfortable with mass spectrometry."
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned very awesome proteomics technology from this class, including the proteomics development history, for example how the TMT quantification method developed, and some very recent proteomics method such as single cell proteomics, and how these method can used to answer some specific scientific questions."
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how mass spectrometry works. I learned about the development of the field from the beginning to where it is today. I learned how proteomics can be used to answer a wide range of biological questions, and how many diverse proteomics techniques there are."
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1. The differences between translational and transcriptional processes, and the various factors that can influence protein quantity.
2. The strengths and limitations of current proteomic methodologies.
3. Enhanced techniques for designing effective proteomic experiments."
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I think the discussion on the primary literature accompanied with further explanation by the instructor on the experimental design really helped me to understand the research.
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","The seminar style class setting helped with the learning environment, I would keep that for the future. And Dr. Silva facilitated the discussion very well."
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I think the pre-reading guides were helpful, and the small group discussions were good to converse with my fellow classmates."
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","Group work and class presentations made this class very engaging and entertaining. Additionally, the diverse set of papers and mini-lectures taught me many different techniques. I would keep all aspects for future years."
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",The instructor focused on a collaborative or group style learning method. There was a lot of casual group presentations and pair and share type discussion in class. This facilitated a casual learning environment that made it feel easy and safe to ask questions to peers. I think this was incredibly valuable.
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Discussion and group activities facilitated my learning. I like the structure reviews and then research articles. I also like that we worked in smaller groups for a good portion of the class.
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I enjoyed the group work and getting to know my peers. I think that having lots of discussion and repetition of different topics helped me learn the material. I also enjoyed the papers we read and thought they provided a good overview of the variety of proteomics methods and applications. I also felt the homeworks were good prep for discussion of the papers, and the final presentations were a good test of the material and the decision-making that goes into using proteomics."
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Yes in general. I felt sometimes things were a bit rushed and I did not get the directions. Maybe the layout of the course should be better organized.
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I think the discussion in the class help to understand the material better.
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",-I enjoyed the interactive component of the class. This was my most student engagement requiring class I've ever taken. It helped more learn more by thinking and communicating with my peers. This should remain part of the course in the upcoming years.
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Splitting up into small groups to digest the weekly articles was very helpful. There were a lot of group activities that encouraged students to bounce ideas off each other.
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","the instructor encourage us to engage in the class, we form study groups and we study by teach others. I think this is the best method to learn, and I do actually learn a lot. I will keep this method future years."
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","The classroom environment was definitely welcoming and a place where anyone could participate and say their thoughts or ask questions. Professor Silva was very kind and supportive. He also released a mid-semester survey to check in on how we were doing in general and how we felt about the class, which I really appreciated."
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","1. Peer discussions following paper readings deepened our understanding of the material, particularly regarding the reasoning and rationale behind the chosen proteomic methods.
2. The final project, structured as a proposal, effectively consolidated our learning and prepared us for applying these concepts to our own proteomic studies."
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,the class is stimulating because everyone is encouraged to ask questions and everyone is involved in discussion
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,Having a better understanding of the topics being discussed
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,I think more in-depth discussions of the papers and methods would be more useful. Treating this as a more formal journal club would help.
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,The group setting and class assignments. The final project was also fun.
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,As an undergraduate I was exposed to a lot of graduate students in this class who are far more experienced than I am in the field of biological research. They asked some really amazing questions and applied their own background knowledge to the material we were learning in class. I learned a lot from just observing them about the art of asking a question. I think the group work of the class made it easier to get involved and engaged with the content.
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,active discussion made this class stimulating
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"I think class discussion and drawing on the board was stimulating. I think some of the activities could have been more challenging - instead of just summarizing a figure or a technique, maybe think of an ideal application. I felt that lots of our pros and cons lists were helpful but somewhat abstract and not tied to applications of the techniques."
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"I think that the environment was chill and people were nice and understanding, so I did not think that people were fighting for attention or something like that."
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"I think when people ask questions and have discussions, it helps me to stimulate my brain intellectually as most of the time I tend not to know what I don't know."
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"I believe we should have gone deeper into specific proteomics technologies and dissect their working principles to be more intellectually stimulating. Perhaps even a field trip to a mass spectromoter lab could be interesting,"
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,Group discussions were helpful. The weekly articles were quite dense and force you to think deeply about different biological concepts. I liked splitting up into small groups and coming back at the end to share what everyone had found/learned.
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,I think this course is good enough.
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"The subject matter was very interesting. Each paper we were assigned was very unique and showed us a totally different way that proteomics could be used. The final project was very intellectually stimulating, allowing me to synthesize my current knowledge of proteomics and apply it to an interesting research project."
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"The course was intellectually stimulating, largely due to the assignment design (pre-class readings and the final project) which encouraged deep engagement with the material. The peer discussions and whiteboard brainstorming sessions were particularly valuable, fostering creative thinking and learning from peers."
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,7,What would you like to say about this course to a student who is considering taking it in the future?,"Challenging topics, but not too much coursework. Very interesting class, would recommend"
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,7,What would you like to say about this course to a student who is considering taking it in the future?,Take it if you are considering going into biological research.
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,7,What would you like to say about this course to a student who is considering taking it in the future?,I would tell the student to make sure to allot a good amount of time to really dig into the papers that are assigned so they get the most out of the course. I would tell them to really focus on what good questions are and learning how to ask them.
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,7,What would you like to say about this course to a student who is considering taking it in the future?,It is a great course if you do or do not have a proteomics background. It will challenge you and help you improve on discussing research and your research project.
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,7,What would you like to say about this course to a student who is considering taking it in the future?,"I think this class is a great way to learn about proteomics, but it is mostly group work and students teaching each other. Professor Silva is a good and motivating instructor, and he clearly has lots of expertise in proteomics, but for a more structured or foundational introduction to proteomics, a lecture based course might be better."
