filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,15/15 (100%),4.13,0.83,4.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),1,6.67%,15/15 (100%),4.13,0.83,4.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),1,6.67%,15/15 (100%),4.13,0.83,4.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),8,53.33%,15/15 (100%),4.13,0.83,4.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),5,33.33%,15/15 (100%),4.13,0.83,4.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,14/15 (93.33%),4.00,0.78,4.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),1,7.14%,14/15 (93.33%),4.00,0.78,4.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),1,7.14%,14/15 (93.33%),4.00,0.78,4.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),9,64.29%,14/15 (93.33%),4.00,0.78,4.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),3,21.43%,14/15 (93.33%),4.00,0.78,4.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),0,0.00%,15/15 (100%),4.27,0.96,5.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),1,6.67%,15/15 (100%),4.27,0.96,5.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Average,(3),2,13.33%,15/15 (100%),4.27,0.96,5.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Very Good,(4),4,26.67%,15/15 (100%),4.27,0.96,5.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Excellent,(5),8,53.33%,15/15 (100%),4.27,0.96,5.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,,,
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,8,The course was difficult.,Strongly disagree,(1),0,0.00%,15/15 (100%),3.07,0.88,3.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,8,The course was difficult.,Disagree,(2),4,26.67%,15/15 (100%),3.07,0.88,3.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,8,The course was difficult.,Neither agree nor disagree,(3),7,46.67%,15/15 (100%),3.07,0.88,3.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,8,The course was difficult.,Agree,(4),3,20.00%,15/15 (100%),3.07,0.88,3.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,8,The course was difficult.,Strongly agree,(5),1,6.67%,15/15 (100%),3.07,0.88,3.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,1,(1),0,0.00%,15/15 (100%),3.20,1.21,3.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,2,(2),5,33.33%,15/15 (100%),3.20,1.21,3.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,3,(3),5,33.33%,15/15 (100%),3.20,1.21,3.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,4,(4),3,20.00%,15/15 (100%),3.20,1.21,3.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,5,(5),1,6.67%,15/15 (100%),3.20,1.21,3.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,6,(6),1,6.67%,15/15 (100%),3.20,1.21,3.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,7,(7),0,0.00%,15/15 (100%),3.20,1.21,3.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,8,(8),0,0.00%,15/15 (100%),3.20,1.21,3.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,9,(9),0,0.00%,15/15 (100%),3.20,1.21,3.00
BIOLOGY-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,10+,(10),0,0.00%,15/15 (100%),3.20,1.21,3.00
CMB-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
CMB-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
CMB-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,15/15 (100%),4.13,0.83,4.00
CMB-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),1,6.67%,15/15 (100%),4.13,0.83,4.00
CMB-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),1,6.67%,15/15 (100%),4.13,0.83,4.00
CMB-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),8,53.33%,15/15 (100%),4.13,0.83,4.00
CMB-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),5,33.33%,15/15 (100%),4.13,0.83,4.00
CMB-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
CMB-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,14/15 (93.33%),4.00,0.78,4.00
CMB-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),1,7.14%,14/15 (93.33%),4.00,0.78,4.00
CMB-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),1,7.14%,14/15 (93.33%),4.00,0.78,4.00
CMB-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),9,64.29%,14/15 (93.33%),4.00,0.78,4.00
CMB-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),3,21.43%,14/15 (93.33%),4.00,0.78,4.00
CMB-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),0,0.00%,15/15 (100%),4.27,0.96,5.00
CMB-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),1,6.67%,15/15 (100%),4.27,0.96,5.00
CMB-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Average,(3),2,13.33%,15/15 (100%),4.27,0.96,5.00
CMB-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Very Good,(4),4,26.67%,15/15 (100%),4.27,0.96,5.00
CMB-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Excellent,(5),8,53.33%,15/15 (100%),4.27,0.96,5.00
CMB-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,,,
CMB-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,8,The course was difficult.,Strongly disagree,(1),0,0.00%,15/15 (100%),3.07,0.88,3.00
CMB-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,8,The course was difficult.,Disagree,(2),4,26.67%,15/15 (100%),3.07,0.88,3.00
CMB-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,8,The course was difficult.,Neither agree nor disagree,(3),7,46.67%,15/15 (100%),3.07,0.88,3.00
CMB-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,8,The course was difficult.,Agree,(4),3,20.00%,15/15 (100%),3.07,0.88,3.00
CMB-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,8,The course was difficult.,Strongly agree,(5),1,6.67%,15/15 (100%),3.07,0.88,3.00
CMB-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,1,(1),0,0.00%,15/15 (100%),3.20,1.21,3.00
CMB-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,2,(2),5,33.33%,15/15 (100%),3.20,1.21,3.00
CMB-525S-01_Monteiro_Silva__Gustavo_Fall_2023.html,Fall 2023,BIOLOGY-525S-01 : PROTEOMICS.BIOLOGY-525S-01.CMB-525S-01.,Gustavo Silva,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,3,(3),5,33.33%,15/15 (100%),3.20,1.21,3.00
