filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
BME-590-02_Chatterjee__Pranam_Spring_2025.html,Spring 2025,BME-590-02 : SPECIAL TOPICS.BME-590-02.COMPSCI-590-07.,Pranam Chatterjee,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
BME-590-02_Chatterjee__Pranam_Spring_2025.html,Spring 2025,BME-590-02 : SPECIAL TOPICS.BME-590-02.COMPSCI-590-07.,Pranam Chatterjee,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
BME-590-02_Chatterjee__Pranam_Spring_2025.html,Spring 2025,BME-590-02 : SPECIAL TOPICS.BME-590-02.COMPSCI-590-07.,Pranam Chatterjee,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",22/34 (64.71%),4.55,0.60,5.00,22,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (4.55%); Very Good: 8 (36.36%); Excellent: 13 (59.09%)
BME-590-02_Chatterjee__Pranam_Spring_2025.html,Spring 2025,BME-590-02 : SPECIAL TOPICS.BME-590-02.COMPSCI-590-07.,Pranam Chatterjee,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
BME-590-02_Chatterjee__Pranam_Spring_2025.html,Spring 2025,BME-590-02 : SPECIAL TOPICS.BME-590-02.COMPSCI-590-07.,Pranam Chatterjee,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",22/34 (64.71%),4.18,0.91,4.00,22,Poor: 0 (0.00%); Marginal: 1 (4.55%); Average: 4 (18.18%); Very Good: 7 (31.82%); Excellent: 10 (45.45%)
BME-590-02_Chatterjee__Pranam_Spring_2025.html,Spring 2025,BME-590-02 : SPECIAL TOPICS.BME-590-02.COMPSCI-590-07.,Pranam Chatterjee,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",22/34 (64.71%),4.23,1.07,5.00,22,Poor: 0 (0.00%); Marginal: 3 (13.64%); Average: 1 (4.55%); Very Good: 6 (27.27%); Excellent: 12 (54.55%)
BME-590-02_Chatterjee__Pranam_Spring_2025.html,Spring 2025,BME-590-02 : SPECIAL TOPICS.BME-590-02.COMPSCI-590-07.,Pranam Chatterjee,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
BME-590-02_Chatterjee__Pranam_Spring_2025.html,Spring 2025,BME-590-02 : SPECIAL TOPICS.BME-590-02.COMPSCI-590-07.,Pranam Chatterjee,8,The course was difficult.,22/34 (64.71%),3.86,0.89,4.00,22,Strongly disagree: 1 (4.55%); Disagree: 0 (0.00%); Neither agree nor disagree: 4 (18.18%); Agree: 13 (59.09%); Strongly agree: 4 (18.18%)
BME-590-02_Chatterjee__Pranam_Spring_2025.html,Spring 2025,BME-590-02 : SPECIAL TOPICS.BME-590-02.COMPSCI-590-07.,Pranam Chatterjee,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,22/34 (64.71%),6.55,1.99,6.00,22,1: 0 (0.00%); 2: 0 (0.00%); 3: 0 (0.00%); 4: 4 (18.18%); 5: 3 (13.64%); 6: 6 (27.27%); 7: 2 (9.09%); 8: 3 (13.64%); 9: 1 (4.55%); 10+: 3 (13.64%)
BME-590-04_Chatterjee__Pranam_Spring_2024.html,Spring 2024,BME-590-04 : SPECIAL TOPICS.BME-590-04.COMPSCI-590-04.,Pranam Chatterjee,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
BME-590-04_Chatterjee__Pranam_Spring_2024.html,Spring 2024,BME-590-04 : SPECIAL TOPICS.BME-590-04.COMPSCI-590-04.,Pranam Chatterjee,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
BME-590-04_Chatterjee__Pranam_Spring_2024.html,Spring 2024,BME-590-04 : SPECIAL TOPICS.BME-590-04.COMPSCI-590-04.,Pranam Chatterjee,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",7/28 (25%),4.57,0.79,5.00,7,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (14.29%); Very Good: 1 (14.29%); Excellent: 5 (71.43%)
BME-590-04_Chatterjee__Pranam_Spring_2024.html,Spring 2024,BME-590-04 : SPECIAL TOPICS.BME-590-04.COMPSCI-590-04.,Pranam Chatterjee,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
BME-590-04_Chatterjee__Pranam_Spring_2024.html,Spring 2024,BME-590-04 : SPECIAL TOPICS.BME-590-04.COMPSCI-590-04.,Pranam Chatterjee,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",7/28 (25%),4.14,0.90,4.00,7,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 2 (28.57%); Very Good: 2 (28.57%); Excellent: 3 (42.86%)
BME-590-04_Chatterjee__Pranam_Spring_2024.html,Spring 2024,BME-590-04 : SPECIAL TOPICS.BME-590-04.COMPSCI-590-04.,Pranam Chatterjee,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",7/28 (25%),4.43,0.79,5.00,7,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (14.29%); Very Good: 2 (28.57%); Excellent: 4 (57.14%)
BME-590-04_Chatterjee__Pranam_Spring_2024.html,Spring 2024,BME-590-04 : SPECIAL TOPICS.BME-590-04.COMPSCI-590-04.,Pranam Chatterjee,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
BME-590-04_Chatterjee__Pranam_Spring_2024.html,Spring 2024,BME-590-04 : SPECIAL TOPICS.BME-590-04.COMPSCI-590-04.,Pranam Chatterjee,8,The course was difficult.,7/28 (25%),4.00,0.82,4.00,7,Strongly disagree: 0 (0.00%); Disagree: 0 (0.00%); Neither agree nor disagree: 2 (28.57%); Agree: 3 (42.86%); Strongly agree: 2 (28.57%)
