filename,semester,course,instructor,question_number,question_text,response_text
CREOLE-101-01_Pierre__Jacques_Fall_2024.html,Fall 2024,CREOLE-101-01 : ELEMENTARY CREOLE I.CREOLE-101-01.,Jacques Pierre,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned the language through speaking a lot in class and with the professor which was more constructive than textbook learning. His methods of teaching made it easier to learn the language compared to my previous experiences with learning new languages. Three things I learned about was the similarities to French, the construction of sentences and grammar, and that the pronunciation of words/letters are complete (you pronounce every letter unlike in English)"
CREOLE-101-01_Pierre__Jacques_Fall_2024.html,Fall 2024,CREOLE-101-01 : ELEMENTARY CREOLE I.CREOLE-101-01.,Jacques Pierre,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about gardening, I learned how to count, and I learned colors in Creole."
CREOLE-101-01_Pierre__Jacques_Fall_2024.html,Fall 2024,CREOLE-101-01 : ELEMENTARY CREOLE I.CREOLE-101-01.,Jacques Pierre,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned a lot in the course. Language, culture, and politics in Haiti."
CREOLE-101-01_Pierre__Jacques_Fall_2024.html,Fall 2024,CREOLE-101-01 : ELEMENTARY CREOLE I.CREOLE-101-01.,Jacques Pierre,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","How to read and write in creole. 
Properly speak creole and hold a conversation."
CREOLE-101-01_Pierre__Jacques_Fall_2024.html,Fall 2024,CREOLE-101-01 : ELEMENTARY CREOLE I.CREOLE-101-01.,Jacques Pierre,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I think the way he starts each class is beneficial to the learning because it’s simply conversing but with sentences you would use daily and it instills the language in our heads. This more than anything has helped me learn.
CREOLE-101-01_Pierre__Jacques_Fall_2024.html,Fall 2024,CREOLE-101-01 : ELEMENTARY CREOLE I.CREOLE-101-01.,Jacques Pierre,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",He was very easy to talk to and worked with us at our specific levels.
CREOLE-101-01_Pierre__Jacques_Fall_2024.html,Fall 2024,CREOLE-101-01 : ELEMENTARY CREOLE I.CREOLE-101-01.,Jacques Pierre,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",He was very helpful. He met with me individually outside of class so that I could participate
CREOLE-101-01_Pierre__Jacques_Fall_2024.html,Fall 2024,CREOLE-101-01 : ELEMENTARY CREOLE I.CREOLE-101-01.,Jacques Pierre,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Having conversations in the beginning of the class helped me retain the language better.
CREOLE-101-01_Pierre__Jacques_Fall_2024.html,Fall 2024,CREOLE-101-01 : ELEMENTARY CREOLE I.CREOLE-101-01.,Jacques Pierre,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,The cultural components that we learned about.
CREOLE-101-01_Pierre__Jacques_Fall_2024.html,Fall 2024,CREOLE-101-01 : ELEMENTARY CREOLE I.CREOLE-101-01.,Jacques Pierre,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,He was very communicative with everyone
CREOLE-101-01_Pierre__Jacques_Fall_2024.html,Fall 2024,CREOLE-101-01 : ELEMENTARY CREOLE I.CREOLE-101-01.,Jacques Pierre,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,The professor was very engaging and made it welcoming for us to learn.
CREOLE-101-01_Pierre__Jacques_Fall_2024.html,Fall 2024,CREOLE-101-01 : ELEMENTARY CREOLE I.CREOLE-101-01.,Jacques Pierre,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,The content was interesting and
CREOLE-101-01_Pierre__Jacques_Fall_2024.html,Fall 2024,CREOLE-101-01 : ELEMENTARY CREOLE I.CREOLE-101-01.,Jacques Pierre,7,What would you like to say about this course to a student who is considering taking it in the future?,I would definitely recommend that someone takes it. I didn’t believe the professor when he told us in two months we’d be able to speak the language well but he was right and I credit him for teaching us so well.
CREOLE-101-01_Pierre__Jacques_Fall_2024.html,Fall 2024,CREOLE-101-01 : ELEMENTARY CREOLE I.CREOLE-101-01.,Jacques Pierre,7,What would you like to say about this course to a student who is considering taking it in the future?,"Take it, he's a great teacher"
CREOLE-101-01_Pierre__Jacques_Fall_2024.html,Fall 2024,CREOLE-101-01 : ELEMENTARY CREOLE I.CREOLE-101-01.,Jacques Pierre,7,What would you like to say about this course to a student who is considering taking it in the future?,"A lot of work, but the work is necessary to help you learn the language better."
CREOLE-101-01_Pierre__Jacques_Fall_2024.html,Fall 2024,CREOLE-101-01 : ELEMENTARY CREOLE I.CREOLE-101-01.,Jacques Pierre,7,What would you like to say about this course to a student who is considering taking it in the future?,If you are committed and try your best. You will succeed.
CREOLE-101-01_Pierre__Jacques_Fall_2024.html,Fall 2024,CREOLE-101-01 : ELEMENTARY CREOLE I.CREOLE-101-01.,Jacques Pierre,7,What would you like to say about this course to a student who is considering taking it in the future?,Practice speaking every day.
