filename,semester,course,instructor,question_number,question_text,response_text
CULANTH-101D-01D_Starn__Orin_Spring_2025.html,Spring 2025,CULANTH-101D-01D : INTRO TO CULTURAL ANTHRO.CULANTH-101D-01D.ICS-101D-01D.,Orin Starn,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Reading cultural anthropology articles, relating culanth concepts back to our own lives, overview of many different topics covered by cultural anthropologists"
CULANTH-101D-01D_Starn__Orin_Spring_2025.html,Spring 2025,CULANTH-101D-01D : INTRO TO CULTURAL ANTHRO.CULANTH-101D-01D.ICS-101D-01D.,Orin Starn,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about how anthropologists conduct fieldwork
I learned about the anthropology of sports, gender, and children
I learned about Native American history"
CULANTH-101D-01D_Starn__Orin_Spring_2025.html,Spring 2025,CULANTH-101D-01D : INTRO TO CULTURAL ANTHRO.CULANTH-101D-01D.ICS-101D-01D.,Orin Starn,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1. learned more about basic anthropological theory 
2. was able to formalize more of my experiences and thoughts through the lens of anthropology
3. learned a new method of small group discussion/presentation in groups"
CULANTH-101D-01D_Starn__Orin_Spring_2025.html,Spring 2025,CULANTH-101D-01D : INTRO TO CULTURAL ANTHRO.CULANTH-101D-01D.ICS-101D-01D.,Orin Starn,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about many different fields within anthropology, practiced reading more theoretical text, and also worked on analyzing rather than just observing."
CULANTH-101D-01D_Starn__Orin_Spring_2025.html,Spring 2025,CULANTH-101D-01D : INTRO TO CULTURAL ANTHRO.CULANTH-101D-01D.ICS-101D-01D.,Orin Starn,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Understanding different cultures, bringing to attention things that subtly affect our perception of others, and learning about how history is recorded and told in the future."
CULANTH-101D-01D_Starn__Orin_Spring_2025.html,Spring 2025,CULANTH-101D-01D : INTRO TO CULTURAL ANTHRO.CULANTH-101D-01D.ICS-101D-01D.,Orin Starn,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","It was just your typical discussion section, we talked about each of our weekly readings as a class and the TAs helped facilitate by asking leading questions. Our TAs did a very good job with this and they were very friendly and approachable. Also I liked their format of having us discuss in small groups before opening the discussion to the whole class"
CULANTH-101D-01D_Starn__Orin_Spring_2025.html,Spring 2025,CULANTH-101D-01D : INTRO TO CULTURAL ANTHRO.CULANTH-101D-01D.ICS-101D-01D.,Orin Starn,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I really enjoyed the small group discussion, I thought that was a great way to facilitate conversation in a class that was otherwise a little quiet."
CULANTH-101D-01D_Starn__Orin_Spring_2025.html,Spring 2025,CULANTH-101D-01D : INTRO TO CULTURAL ANTHRO.CULANTH-101D-01D.ICS-101D-01D.,Orin Starn,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","Dr. Starn's grading is very lenient, and he's very understanding. I also liked the smaller groups during discussion."
CULANTH-101D-01D_Starn__Orin_Spring_2025.html,Spring 2025,CULANTH-101D-01D : INTRO TO CULTURAL ANTHRO.CULANTH-101D-01D.ICS-101D-01D.,Orin Starn,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",The slides and videos were engaging.
CULANTH-101D-01D_Starn__Orin_Spring_2025.html,Spring 2025,CULANTH-101D-01D : INTRO TO CULTURAL ANTHRO.CULANTH-101D-01D.ICS-101D-01D.,Orin Starn,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,The TAs did a great job of asking questions to help guide the discussion and they were very receptive to all of our ideas
CULANTH-101D-01D_Starn__Orin_Spring_2025.html,Spring 2025,CULANTH-101D-01D : INTRO TO CULTURAL ANTHRO.CULANTH-101D-01D.ICS-101D-01D.,Orin Starn,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"I think the discussion made the course really stimulating, and more discussion could've made it more stimulating."
