uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
154503_9169_12241529_27446177,DANCE-771S-01,THEORIES OF CORPOREALITY.DANCE-771S-01.GSF-771S-01.MUSIC-771S-01.,"Wilbur, Sarah",Fall 2023,DANCE,"6 of 13  responded (46.15%)



 View Report
                            



 Download PDF","DANCE, GSF, MUSIC",98830,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,5n3ZKX0oiTQeXTtnYBNiLw%3d%3d,IebDOBGbJC1wD17SY8MpNg%3d%3d,2025-11-24T16:00:19.665166
153858_9169_12282661_28111981,DANCE-131-01,CAPOEIRA: DANCE/MARTIAL ART.DANCE-131-01.,"Wesolowski, Katya",Fall 2023,DANCE,"6 of 7  responded (85.71%)



 View Report
                            



 Download PDF",DANCE,98979,CtmkEaIRhsSP75R5T115eg%3d%3d,M16uMx%2buph%2bLyA%2bqXU6%2f3Q%3d%3d,GCc%2b5%2b6LNP05dXLd0DwlbA%3d%3d,2025-11-24T16:00:19.665293
153858_9169_12282707_28111983,DANCE-120-01,BEGINNING BALLET.DANCE-120-01.,"Baker, Alyah",Fall 2023,DANCE,"5 of 17  responded (29.41%)



 View Report
                            



 Download PDF",DANCE,98979,CtmkEaIRhsSP75R5T115eg%3d%3d,N2UKGIVr8Gp9x0r27FlnaA%3d%3d,V8TZmuoTGsvwOwRj4IJYLA%3d%3d,2025-11-24T16:00:19.665392
153858_9169_12282708_27445900,DANCE-130-01,AFRICAN DANCE TECH I.DANCE-130-01.,"Vinesett, Ava",Fall 2023,DANCE,"5 of 5  responded (100.00%)



 View Report
                            



 Download PDF",DANCE,98979,CtmkEaIRhsSP75R5T115eg%3d%3d,YTD0sLVeDWP1fDw9%2fu0Rqw%3d%3d,GxXuU22ZtVxd8Kn0gxeBRw%3d%3d,2025-11-24T16:00:19.665483
153858_9169_12282753_28111985,DANCE-142-01,HIP HOP I.DANCE-142-01.,"Presswood, Ife",Fall 2023,DANCE,"6 of 13  responded (46.15%)



 View Report
                            



 Download PDF",DANCE,98979,CtmkEaIRhsSP75R5T115eg%3d%3d,KFWQyXB573pmXrHSSaNsXw%3d%3d,GFTQ5j2W5GWrL5Bt%2fH%2bZNg%3d%3d,2025-11-24T16:00:19.665592
153858_9169_12282837_28112000,DANCE-240-01,JAZZ DANCE II.DANCE-240-01.,"Wheeler, Nina",Fall 2023,DANCE,"6 of 17  responded (35.29%)



 View Report
                            



 Download PDF",DANCE,98979,CtmkEaIRhsSP75R5T115eg%3d%3d,Vxvt3NZSCZ9dzywJB42WPA%3d%3d,FjJnLNLoYRhLdGFDbzZFlA%3d%3d,2025-11-24T16:00:19.665750
153858_9169_12282957_27446026,WRITING-199FS-01,KNOWING THROUGH PERFORMANCE.WRITING-199FS-01.DANCE-199FS-01.MUSIC-199FS-01.THEATRST-199FS-01.,"Rego, Marcia",Fall 2023,UWC,"5 of 5  responded (100.00%)



 View Report
                            



 Download PDF",,99036,CtmkEaIRhsSP75R5T115eg%3d%3d,Cd%2fVB89aLWywJLQvs1%2fb5A%3d%3d,7Og6tQ5N%2f5JzSUkrXd0E1w%3d%3d,2025-11-24T16:00:19.665839
153858_9169_12283005_28111981,CULANTH-221SL-001,CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-001.AAAS-221SL-001.DANCE-235SL-001.ROMST-235SL-001.,"Wesolowski, Katya",Fall 2023,CULANTHRO,"10 of 14  responded (71.43%)



 View Report
                            



 Download PDF",,98978,CtmkEaIRhsSP75R5T115eg%3d%3d,9AtIEol8Xrt%2fZ%2fvLm1w%2fBQ%3d%3d,GCc%2b5%2b6LNP05dXLd0DwlbA%3d%3d,2025-11-24T16:00:19.665924
153858_9169_12283042_28111704,THEATRST-125S-01,AMERICAN MUSICALS.THEATRST-125S-01.DANCE-125S-01.MUSIC-243S-01.,"Donovan, Ryan",Fall 2023,THEATRST,"11 of 12  responded (91.67%)



 View Report
                            



 Download PDF","THEATRST, DANCE, MUSIC",99035,CtmkEaIRhsSP75R5T115eg%3d%3d,03rrOMQx8B4%2bTslo64AVRw%3d%3d,n1egeJ2ogrx9a4n8659KKQ%3d%3d,2025-11-24T16:00:19.666007
153858_9169_12283192_28111981,CULANTH-221SL-01L,CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,"Wesolowski, Katya",Fall 2023,CULANTHRO,"9 of 14  responded (64.29%)



 View Report
                            



 Download PDF",,98978,CtmkEaIRhsSP75R5T115eg%3d%3d,K7BQpv5DBNIEeOCcRpcSPA%3d%3d,GCc%2b5%2b6LNP05dXLd0DwlbA%3d%3d,2025-11-24T16:00:19.666091
