filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
DECSCI-101-01_Huettel__Scott_Fall_2023.html,Fall 2023,DECSCI-101-01 : FNDMNTLS OF DECISION SCIENCE.DECSCI-101-01.PSY-141-01.,Scott Huettel,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
DECSCI-101-01_Huettel__Scott_Fall_2023.html,Fall 2023,DECSCI-101-01 : FNDMNTLS OF DECISION SCIENCE.DECSCI-101-01.PSY-141-01.,Scott Huettel,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
DECSCI-101-01_Huettel__Scott_Fall_2023.html,Fall 2023,DECSCI-101-01 : FNDMNTLS OF DECISION SCIENCE.DECSCI-101-01.PSY-141-01.,Scott Huettel,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",42/113 (37.17%),4.21,0.84,4.00,42,Poor: 0 (0.00%); Marginal: 1 (2.38%); Average: 8 (19.05%); Very Good: 14 (33.33%); Excellent: 19 (45.24%)
DECSCI-101-01_Huettel__Scott_Fall_2023.html,Fall 2023,DECSCI-101-01 : FNDMNTLS OF DECISION SCIENCE.DECSCI-101-01.PSY-141-01.,Scott Huettel,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
DECSCI-101-01_Huettel__Scott_Fall_2023.html,Fall 2023,DECSCI-101-01 : FNDMNTLS OF DECISION SCIENCE.DECSCI-101-01.PSY-141-01.,Scott Huettel,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",42/113 (37.17%),4.21,0.98,4.50,42,Poor: 1 (2.38%); Marginal: 1 (2.38%); Average: 7 (16.67%); Very Good: 12 (28.57%); Excellent: 21 (50.00%)
DECSCI-101-01_Huettel__Scott_Fall_2023.html,Fall 2023,DECSCI-101-01 : FNDMNTLS OF DECISION SCIENCE.DECSCI-101-01.PSY-141-01.,Scott Huettel,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",42/113 (37.17%),4.50,0.71,5.00,42,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 5 (11.90%); Very Good: 11 (26.19%); Excellent: 26 (61.90%)
DECSCI-101-01_Huettel__Scott_Fall_2023.html,Fall 2023,DECSCI-101-01 : FNDMNTLS OF DECISION SCIENCE.DECSCI-101-01.PSY-141-01.,Scott Huettel,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
DECSCI-101-01_Huettel__Scott_Fall_2023.html,Fall 2023,DECSCI-101-01 : FNDMNTLS OF DECISION SCIENCE.DECSCI-101-01.PSY-141-01.,Scott Huettel,8,The course was difficult.,42/113 (37.17%),3.64,0.88,4.00,42,Strongly disagree: 1 (2.38%); Disagree: 2 (4.76%); Neither agree nor disagree: 14 (33.33%); Agree: 19 (45.24%); Strongly agree: 6 (14.29%)
DECSCI-101-01_Huettel__Scott_Fall_2023.html,Fall 2023,DECSCI-101-01 : FNDMNTLS OF DECISION SCIENCE.DECSCI-101-01.PSY-141-01.,Scott Huettel,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,42/113 (37.17%),3.74,2.02,3.00,42,1: 3 (7.14%); 2: 9 (21.43%); 3: 10 (23.81%); 4: 10 (23.81%); 5: 4 (9.52%); 6: 2 (4.76%); 7: 1 (2.38%); 8: 1 (2.38%); 9: 1 (2.38%); 10+: 1 (2.38%)
DECSCI-101-01_Huettel__Scott_Fall_2024.html,Fall 2024,DECSCI-101-01 : FNDMNTLS OF DECISION SCIENCE.DECSCI-101-01.PSY-141-01.,Scott Huettel,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
