uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
152527_9107_12076172_27445801,DOCST-101-01,TRADITIONS IN DOC STUDIES.DOCST-101-01.VMS-103-01.ICS-111-01.,"Sims, Christopher",Summer II 2023,DOCST,"6 of 15  responded (40.00%)



 View Report
                            



 Download PDF","DOCST, VMS, ICS",98982,4TxgzUHg4Suz2MS8X7frbw%3d%3d,INBLWBvCr2ugXvMft6C2XA%3d%3d,P0MP4YBAKgKe%2budlQRWrlg%3d%3d,2025-11-24T16:00:47.087430
154503_9169_12241594_27445875,ARTSVIS-640S-01,EXPANDED CINEMA.ARTSVIS-640S-01.CINE-639S-01.DOCST-640S-01.LIT-545S-01.VMS-640S-01.,"Kaul, Shambhavi",Fall 2023,ART&AHIST,"11 of 13  responded (84.62%)



 View Report
                            



 Download PDF","ARTSVIS, CINE, DOCST, LIT, VMS",98816,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,HcNw7UeBT78tifHQs%2ftnwQ%3d%3d,mMabPAiKivv7K2c78pHwlw%3d%3d,2025-11-24T16:00:47.087522
153858_9169_12282766_27991628,CINE-202-01,HISTORY OF DOCUMENTARY FILM.CINE-202-01.DOCST-107-01.VMS-265-01.,"Hill, Madison",Fall 2023,ART&AHIST,"13 of 14  responded (92.86%)



 View Report
                            



 Download PDF","CINE, DOCST, VMS",98967,CtmkEaIRhsSP75R5T115eg%3d%3d,OxIAxH77XurFiS9n2kYl7g%3d%3d,XH2XGVsbFjP85uG%2fUXMI5A%3d%3d,2025-11-24T16:00:47.087601
153858_9169_12282853_28112162,PJMS-366S-01,LONG-FORM JOURNALISM.PJMS-366S-01.DOCST-356S-01.PUBPOL-366S-01.,"Yeoman, Barry",Fall 2023,POLICYJRNL,"10 of 10  responded (100.00%)



 View Report
                            



 Download PDF","PJMS, DOCST, PUBPOL",99025,CtmkEaIRhsSP75R5T115eg%3d%3d,xSP9DpLI9x%2fTix3dUZwzVQ%3d%3d,BQR%2f%2b5Tj61UaulG2fV7Xlg%3d%3d,2025-11-24T16:00:47.087678
153858_9169_12282939_28112110,CINE-357S-01,EDITING FOR FILM AND VIDEO.CINE-357S-01.DOCST-288S-01.VMS-356S-01.,"Haverkamp, James",Fall 2023,ART&AHIST,"9 of 14  responded (64.29%)



 View Report
                            



 Download PDF","CINE, DOCST, VMS",98967,CtmkEaIRhsSP75R5T115eg%3d%3d,Ce9XtPt7qxTH5Kk7o9WTVg%3d%3d,B6IX8098ku1D7GunVAZ7Ug%3d%3d,2025-11-24T16:00:47.087754
153858_9169_12282948_28112053,ENGLISH-360S-01,"ENVIRONMENT IN LIT, LAW & SCI.ENGLISH-360S-01.DOCST-370S-01.ENVIRON-385S-01.SCISOC-360S-01.","Wald, Priscilla",Fall 2023,ENGLISH,"5 of 15  responded (33.33%)



 View Report
                            



 Download PDF","ENGLISH, DOCST, ENVIRON, SCISOC",98988,CtmkEaIRhsSP75R5T115eg%3d%3d,J6dmFbs41vVsKb%2fj%2bwXUUA%3d%3d,n9SQVT%2fPwjtrirNgyN6NPQ%3d%3d,2025-11-24T16:00:47.087829
153858_9169_12282986_27991628,ARTSVIS-356S-01,16MM FILM PRODUCTION.ARTSVIS-356S-01.CINE-356S-01.DOCST-357S-01.VMS-362S-01.,"Hill, Madison",Fall 2023,ART&AHIST,"6 of 8  responded (75.00%)



 View Report
                            



 Download PDF","ARTSVIS, CINE, DOCST, VMS",98967,CtmkEaIRhsSP75R5T115eg%3d%3d,I%2bgoj42mTLTKKWQe%2fwjXbw%3d%3d,XH2XGVsbFjP85uG%2fUXMI5A%3d%3d,2025-11-24T16:00:47.087905
153858_9169_12283000_27991539,DOCST-179FS-01,YOUTH JUSTICE MOVEMENTS.DOCST-179FS-01.ETHICS-179FS-01.PUBPOL-189FS-01.,"Hogan, Wesley",Fall 2023,DOCST,"10 of 16  responded (62.50%)



 View Report
                            



 Download PDF",,98982,CtmkEaIRhsSP75R5T115eg%3d%3d,chp%2b1MrBHj3sOvMRfaq0Iw%3d%3d,bqVyaGI0V2MBuPv81W7zQw%3d%3d,2025-11-24T16:00:47.087978
153858_9169_12283008_28112043,PJMS-371-01,NEWS/MORAL BATTLEGROUND.PJMS-371-01.CINE-371-01.DOCST-371-01.ETHICS-259-01.POLSCI-375-01.PUBPOL-371-01.RIGHTS-371-01.,"Adair, William",Fall 2023,POLICYJRNL,"16 of 23  responded (69.57%)



 View Report
                            



 Download PDF","PJMS, CINE, DOCST, ETHICS, POLSCI, PUBPOL, RIGHTS",99025,CtmkEaIRhsSP75R5T115eg%3d%3d,mDe3r%2bkGahrtBHnw32JwSg%3d%3d,hY%2f57We%2f8YJUrGeXgnv4yw%3d%3d,2025-11-24T16:00:47.088052
153858_9169_12283076_28112068,RELIGION-268-01,RELIGION AND FILM.RELIGION-268-01.CINE-273-01.DOCST-268-01.VMS-269-01.,"Coates, Andrew",Fall 2023,RELIGION,"7 of 34  responded (20.59%)



 View Report
                            



 Download PDF","RELIGION, CINE, DOCST, VMS",99028,CtmkEaIRhsSP75R5T115eg%3d%3d,zzJZ1GHsO5Tl01CC4CD1hw%3d%3d,QXlcIjbJA8RgZRyW3mLY%2fA%3d%3d,2025-11-24T16:00:47.088253
153858_9169_12283109_28112103,PJMS-390-10,SPECIAL TOPICS.PJMS-390-10.DOCST-190-10.POLSCI-290-10.PUBPOL-290-10.,"Napoli, Philip",Fall 2023,POLICYJRNL,"16 of 21  responded (76.19%)



 View Report
                            



 Download PDF","PJMS, DOCST, POLSCI, PUBPOL",99025,CtmkEaIRhsSP75R5T115eg%3d%3d,u%2f3gknvUuWAGfh9hH6JCYw%3d%3d,aT71ZYo9Koa8O4Dkc2QWhQ%3d%3d,2025-11-24T16:00:47.088383
153858_9169_12283109_28112106,PJMS-390-10,SPECIAL TOPICS.PJMS-390-10.DOCST-190-10.POLSCI-290-10.PUBPOL-290-10.,"Sullivan, Margaret",Fall 2023,POLICYJRNL,"16 of 21  responded (76.19%)



 View Report
                            



 Download PDF","PJMS, DOCST, POLSCI, PUBPOL",99025,CtmkEaIRhsSP75R5T115eg%3d%3d,u%2f3gknvUuWAGfh9hH6JCYw%3d%3d,pS3iTOT%2f9k9NOa7Y24z0eg%3d%3d,2025-11-24T16:00:47.088469
153858_9169_12283149_27991634,DOCST-236S-01,COLOR PHOTOGRAPHY.DOCST-236S-01.ARTSVIS-240S-01.VMS-227S-01.,"Bamberger, William",Fall 2023,DOCST,"9 of 11  responded (81.82%)



 View Report
                            



 Download PDF","DOCST, ARTSVIS, VMS",98982,CtmkEaIRhsSP75R5T115eg%3d%3d,sYuKe%2bvrKIpEp9izjVNC6g%3d%3d,FVLruqTl3rHvfYPPd%2fD5QA%3d%3d,2025-11-24T16:00:47.088547
153858_9169_12283165_28112163,ENVIRON-315S-01,ENVIRON. ISSUES & THE DOC ARTS.ENVIRON-315S-01.CINE-315S-01.DOCST-315S-01.LATAMER-315S-01.VMS-309S-01.,"Rojas Sotelo, Miguel",Fall 2023,NSOE,"10 of 17  responded (58.82%)



 View Report
                            



 Download PDF","ENVIRON, CINE, DOCST, LATAMER, VMS",99019,CtmkEaIRhsSP75R5T115eg%3d%3d,EqGkoSyI%2bGtEDBrUB09%2fsA%3d%3d,S7AUUG3voCSGomOCsb%2bo9A%3d%3d,2025-11-24T16:00:47.088708
