filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
ARTSVIS-119S-01_Velazquez__Juan_Spring_2024.html,Spring 2024,ARTSVIS-119S-01 : INTRO TO DIGITAL PHOTOGRAPHY.ARTSVIS-119S-01.DOCST-119S-01.,Juan Velazquez,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
ARTSVIS-119S-01_Velazquez__Juan_Spring_2024.html,Spring 2024,ARTSVIS-119S-01 : INTRO TO DIGITAL PHOTOGRAPHY.ARTSVIS-119S-01.DOCST-119S-01.,Juan Velazquez,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
ARTSVIS-119S-01_Velazquez__Juan_Spring_2024.html,Spring 2024,ARTSVIS-119S-01 : INTRO TO DIGITAL PHOTOGRAPHY.ARTSVIS-119S-01.DOCST-119S-01.,Juan Velazquez,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),1,7.14%,14/14 (100%),3.64,1.08,4.00
ARTSVIS-119S-01_Velazquez__Juan_Spring_2024.html,Spring 2024,ARTSVIS-119S-01 : INTRO TO DIGITAL PHOTOGRAPHY.ARTSVIS-119S-01.DOCST-119S-01.,Juan Velazquez,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),1,7.14%,14/14 (100%),3.64,1.08,4.00
ARTSVIS-119S-01_Velazquez__Juan_Spring_2024.html,Spring 2024,ARTSVIS-119S-01 : INTRO TO DIGITAL PHOTOGRAPHY.ARTSVIS-119S-01.DOCST-119S-01.,Juan Velazquez,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),2,14.29%,14/14 (100%),3.64,1.08,4.00
ARTSVIS-119S-01_Velazquez__Juan_Spring_2024.html,Spring 2024,ARTSVIS-119S-01 : INTRO TO DIGITAL PHOTOGRAPHY.ARTSVIS-119S-01.DOCST-119S-01.,Juan Velazquez,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),8,57.14%,14/14 (100%),3.64,1.08,4.00
ARTSVIS-119S-01_Velazquez__Juan_Spring_2024.html,Spring 2024,ARTSVIS-119S-01 : INTRO TO DIGITAL PHOTOGRAPHY.ARTSVIS-119S-01.DOCST-119S-01.,Juan Velazquez,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),2,14.29%,14/14 (100%),3.64,1.08,4.00
ARTSVIS-119S-01_Velazquez__Juan_Spring_2024.html,Spring 2024,ARTSVIS-119S-01 : INTRO TO DIGITAL PHOTOGRAPHY.ARTSVIS-119S-01.DOCST-119S-01.,Juan Velazquez,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
ARTSVIS-119S-01_Velazquez__Juan_Spring_2024.html,Spring 2024,ARTSVIS-119S-01 : INTRO TO DIGITAL PHOTOGRAPHY.ARTSVIS-119S-01.DOCST-119S-01.,Juan Velazquez,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),1,7.14%,14/14 (100%),3.64,1.01,4.00
ARTSVIS-119S-01_Velazquez__Juan_Spring_2024.html,Spring 2024,ARTSVIS-119S-01 : INTRO TO DIGITAL PHOTOGRAPHY.ARTSVIS-119S-01.DOCST-119S-01.,Juan Velazquez,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,14/14 (100%),3.64,1.01,4.00
ARTSVIS-119S-01_Velazquez__Juan_Spring_2024.html,Spring 2024,ARTSVIS-119S-01 : INTRO TO DIGITAL PHOTOGRAPHY.ARTSVIS-119S-01.DOCST-119S-01.,Juan Velazquez,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),4,28.57%,14/14 (100%),3.64,1.01,4.00
ARTSVIS-119S-01_Velazquez__Juan_Spring_2024.html,Spring 2024,ARTSVIS-119S-01 : INTRO TO DIGITAL PHOTOGRAPHY.ARTSVIS-119S-01.DOCST-119S-01.,Juan Velazquez,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),7,50.00%,14/14 (100%),3.64,1.01,4.00
ARTSVIS-119S-01_Velazquez__Juan_Spring_2024.html,Spring 2024,ARTSVIS-119S-01 : INTRO TO DIGITAL PHOTOGRAPHY.ARTSVIS-119S-01.DOCST-119S-01.,Juan Velazquez,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),2,14.29%,14/14 (100%),3.64,1.01,4.00
