filename,semester,course,instructor,question_number,question_text,response_text
EAS-508-01_Simon__Denis_Fall_2024.html,Fall 2024,EAS-508-01 : CHINA S&T POLICY & INNOVATION.EAS-508-01.AMES-523-01.POLSCI-523-01.PUBPOL-512-01.SCISOC-508-01.,Denis Simon,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",How to deal with charts and raise policy suggestions
EAS-508-01_Simon__Denis_Fall_2024.html,Fall 2024,EAS-508-01 : CHINA S&T POLICY & INNOVATION.EAS-508-01.AMES-523-01.POLSCI-523-01.PUBPOL-512-01.SCISOC-508-01.,Denis Simon,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Understanding the Evolution of China's S&T Policy, Analysis of China's R&D Ecosystem, Exploring the Role of International Cooperation"
EAS-508-01_Simon__Denis_Fall_2024.html,Fall 2024,EAS-508-01 : CHINA S&T POLICY & INNOVATION.EAS-508-01.AMES-523-01.POLSCI-523-01.PUBPOL-512-01.SCISOC-508-01.,Denis Simon,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","This is a great course. Though there are a lotta readings, Professor Simon tries to find intriguing and latest news and readings for us to provide a comprehensive understanding of the topic, appreciate that! He is awesome and undesrtanding professor."
EAS-508-01_Simon__Denis_Fall_2024.html,Fall 2024,EAS-508-01 : CHINA S&T POLICY & INNOVATION.EAS-508-01.AMES-523-01.POLSCI-523-01.PUBPOL-512-01.SCISOC-508-01.,Denis Simon,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Learned about many different aspects of technology and innovation policymaking, including the history and development of this policy under different leaders, as well as the the current state of things."
EAS-508-01_Simon__Denis_Fall_2024.html,Fall 2024,EAS-508-01 : CHINA S&T POLICY & INNOVATION.EAS-508-01.AMES-523-01.POLSCI-523-01.PUBPOL-512-01.SCISOC-508-01.,Denis Simon,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","In this class, I learned about Chinese S&T policy including specific topics such as talent pool, IP rights, higher education, the history of S&T in China, etc."
EAS-508-01_Simon__Denis_Fall_2024.html,Fall 2024,EAS-508-01 : CHINA S&T POLICY & INNOVATION.EAS-508-01.AMES-523-01.POLSCI-523-01.PUBPOL-512-01.SCISOC-508-01.,Denis Simon,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","- The breadth of knowledge sharing, and frameworks to speak about such a large topic was very enlightening.
- The lived experience and professional background of the instructor allowed for significant depth of discussion. 
- Richer understanding of the nuance and complexities when discussing China policy ; more confident in self to articulate ideas and have conversations to engage in intellectual debate -- rather than previous tendency of fear of confrontation."
EAS-508-01_Simon__Denis_Fall_2024.html,Fall 2024,EAS-508-01 : CHINA S&T POLICY & INNOVATION.EAS-508-01.AMES-523-01.POLSCI-523-01.PUBPOL-512-01.SCISOC-508-01.,Denis Simon,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Strategic thinking, critical thinking, analytical thinking."
EAS-508-01_Simon__Denis_Fall_2024.html,Fall 2024,EAS-508-01 : CHINA S&T POLICY & INNOVATION.EAS-508-01.AMES-523-01.POLSCI-523-01.PUBPOL-512-01.SCISOC-508-01.,Denis Simon,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I gained knowledge and experience in the development of science and technology in China. The wide range of readings provided me with a deep understanding of China's current issues and relations with other countries.
EAS-508-01_Simon__Denis_Fall_2024.html,Fall 2024,EAS-508-01 : CHINA S&T POLICY & INNOVATION.EAS-508-01.AMES-523-01.POLSCI-523-01.PUBPOL-512-01.SCISOC-508-01.,Denis Simon,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","The professor's deep expertise was truly evident throughout the course, and I felt that I learned a tremendous amount from his insights and structured approach. His ability to present complex topics in a clear, well-organized manner made the learning experience highly effective. The thoughtfully curated course content and his ability to connect theoretical frameworks with real-world applications greatly enhanced my understanding of China's S&T policies and innovation strategies."
EAS-508-01_Simon__Denis_Fall_2024.html,Fall 2024,EAS-508-01 : CHINA S&T POLICY & INNOVATION.EAS-508-01.AMES-523-01.POLSCI-523-01.PUBPOL-512-01.SCISOC-508-01.,Denis Simon,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I think the readings and the structure of the course was good, the only thing I'd change is collecting the course materials in advance and having them accessible on the syllabus."
EAS-508-01_Simon__Denis_Fall_2024.html,Fall 2024,EAS-508-01 : CHINA S&T POLICY & INNOVATION.EAS-508-01.AMES-523-01.POLSCI-523-01.PUBPOL-512-01.SCISOC-508-01.,Denis Simon,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I think the overall learning environment of the class was good. Prof. Simon is clearly very knowledgable in the topic.
EAS-508-01_Simon__Denis_Fall_2024.html,Fall 2024,EAS-508-01 : CHINA S&T POLICY & INNOVATION.EAS-508-01.AMES-523-01.POLSCI-523-01.PUBPOL-512-01.SCISOC-508-01.,Denis Simon,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","- Powerpoints are always overwhelming with information -- very good. Especially the frameworks and mental models to think about topics in China S&T. 
- Readings were also very enjoyable and complimentary to the teaching."
EAS-508-01_Simon__Denis_Fall_2024.html,Fall 2024,EAS-508-01 : CHINA S&T POLICY & INNOVATION.EAS-508-01.AMES-523-01.POLSCI-523-01.PUBPOL-512-01.SCISOC-508-01.,Denis Simon,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","It was very nice to have professional lectures by inviting outside experts, and the local experience of many Chinese students also helped me to understand the lectures."
EAS-508-01_Simon__Denis_Fall_2024.html,Fall 2024,EAS-508-01 : CHINA S&T POLICY & INNOVATION.EAS-508-01.AMES-523-01.POLSCI-523-01.PUBPOL-512-01.SCISOC-508-01.,Denis Simon,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,Nothing specific
EAS-508-01_Simon__Denis_Fall_2024.html,Fall 2024,EAS-508-01 : CHINA S&T POLICY & INNOVATION.EAS-508-01.AMES-523-01.POLSCI-523-01.PUBPOL-512-01.SCISOC-508-01.,Denis Simon,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"This class is stimulating because of its real-world relevance and multidisciplinary approach. The rich use of case studies and examples brought concepts to life. The interactive format encouraged participation and critical thinking, making the learning experience engaging and thought-provoking."
EAS-508-01_Simon__Denis_Fall_2024.html,Fall 2024,EAS-508-01 : CHINA S&T POLICY & INNOVATION.EAS-508-01.AMES-523-01.POLSCI-523-01.PUBPOL-512-01.SCISOC-508-01.,Denis Simon,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,Professor Simon himself is the reason.  He is smart and knowledgeable!
EAS-508-01_Simon__Denis_Fall_2024.html,Fall 2024,EAS-508-01 : CHINA S&T POLICY & INNOVATION.EAS-508-01.AMES-523-01.POLSCI-523-01.PUBPOL-512-01.SCISOC-508-01.,Denis Simon,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"I found the course content extremely interesting, and we covered many different aspects of it through the readings and lecture."
EAS-508-01_Simon__Denis_Fall_2024.html,Fall 2024,EAS-508-01 : CHINA S&T POLICY & INNOVATION.EAS-508-01.AMES-523-01.POLSCI-523-01.PUBPOL-512-01.SCISOC-508-01.,Denis Simon,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"The class was very stimulating and enjoyable -- breaking down China S&T in a scientific way to understand the multiple components. The delivery of the material was also objective -- I wish I could emphasis this point more -- because given the sensitivity about China / US, to be able to enjoy a course and discussion about this topic objectively."
EAS-508-01_Simon__Denis_Fall_2024.html,Fall 2024,EAS-508-01 : CHINA S&T POLICY & INNOVATION.EAS-508-01.AMES-523-01.POLSCI-523-01.PUBPOL-512-01.SCISOC-508-01.,Denis Simon,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,It would be nice to see more active discussion.
EAS-508-01_Simon__Denis_Fall_2024.html,Fall 2024,EAS-508-01 : CHINA S&T POLICY & INNOVATION.EAS-508-01.AMES-523-01.POLSCI-523-01.PUBPOL-512-01.SCISOC-508-01.,Denis Simon,7,What would you like to say about this course to a student who is considering taking it in the future?,You can take it if you are interested in the topic.
EAS-508-01_Simon__Denis_Fall_2024.html,Fall 2024,EAS-508-01 : CHINA S&T POLICY & INNOVATION.EAS-508-01.AMES-523-01.POLSCI-523-01.PUBPOL-512-01.SCISOC-508-01.,Denis Simon,7,What would you like to say about this course to a student who is considering taking it in the future?,"Professor Denis is fantastic! Not only is he incredibly knowledgeable, but he also brings a wealth of experience and insight to the class. His ability to connect theoretical concepts with real-world applications makes the material engaging and relevant. He encourages thoughtful discussions and challenges students to think critically, creating a stimulating and supportive learning environment. You will get a thorough understanding of China's science and technology policies, focusing on real-world challenges and innovations. The multidisciplinary approach helps you connect political economy, technology, and global relations. With rich case studies, interactive discussions, and high-quality readings, it fosters critical thinking and practical knowledge. This course is perfect for students interested in global innovation dynamics, China's technological rise, or the intersection of policy and science. And, Professor Simon is definitely the one to guide you through this complex and fascinating subject. His passion for the topic and dedication to his students make the learning experience truly exceptional. If you want to gain a deep understanding of China's innovation strategies and their global impact, this course, led by Professor Denis Simon, is an opportunity you shouldn’t miss."
EAS-508-01_Simon__Denis_Fall_2024.html,Fall 2024,EAS-508-01 : CHINA S&T POLICY & INNOVATION.EAS-508-01.AMES-523-01.POLSCI-523-01.PUBPOL-512-01.SCISOC-508-01.,Denis Simon,7,What would you like to say about this course to a student who is considering taking it in the future?,"The weekly reading is a lot, but prepares you for the midterms very well. Overall, the grading is not too harse."
EAS-508-01_Simon__Denis_Fall_2024.html,Fall 2024,EAS-508-01 : CHINA S&T POLICY & INNOVATION.EAS-508-01.AMES-523-01.POLSCI-523-01.PUBPOL-512-01.SCISOC-508-01.,Denis Simon,7,What would you like to say about this course to a student who is considering taking it in the future?,Un-learn what you think you know about China/US relations. It is difficult to step out of binaries of liberalism/socialism but to reduce topics such as China based on prior subjectivity may reduce what you can get out of this course.
EAS-508-01_Simon__Denis_Fall_2024.html,Fall 2024,EAS-508-01 : CHINA S&T POLICY & INNOVATION.EAS-508-01.AMES-523-01.POLSCI-523-01.PUBPOL-512-01.SCISOC-508-01.,Denis Simon,7,What would you like to say about this course to a student who is considering taking it in the future?,"It is highly recommended for students who want to become experts on China, and it is also beneficial for students who want to interact with Chinese students."
EAS-700-01_Chow__Eileen_Fall_2023.html,Fall 2023,EAS-700-01 : EAST ASIAN STUDIES CORE COURSE.EAS-700-01.AMES-700-01.HISTORY-707-01.RELIGION-700-01.,Eileen Chow,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learnt various knowledge and methods across different disciplines including dance, theatre study, anthropology, history, etc"
EAS-700-01_Chow__Eileen_Fall_2023.html,Fall 2023,EAS-700-01 : EAST ASIAN STUDIES CORE COURSE.EAS-700-01.AMES-700-01.HISTORY-707-01.RELIGION-700-01.,Eileen Chow,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learn how to communicate with my peers and share my thoughts and the methods of EAS
EAS-700-01_Chow__Eileen_Fall_2023.html,Fall 2023,EAS-700-01 : EAST ASIAN STUDIES CORE COURSE.EAS-700-01.AMES-700-01.HISTORY-707-01.RELIGION-700-01.,Eileen Chow,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","My interdisciplinary approaches, disciplinary positionally, and capacity to listen and collect information were jointly developed and reinforced."
EAS-700-01_Chow__Eileen_Fall_2023.html,Fall 2023,EAS-700-01 : EAST ASIAN STUDIES CORE COURSE.EAS-700-01.AMES-700-01.HISTORY-707-01.RELIGION-700-01.,Eileen Chow,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Best course this semester
EAS-700-01_Chow__Eileen_Fall_2023.html,Fall 2023,EAS-700-01 : EAST ASIAN STUDIES CORE COURSE.EAS-700-01.AMES-700-01.HISTORY-707-01.RELIGION-700-01.,Eileen Chow,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","First of all, I developed critical understanding of the context and imperatives of East Asian Studies. The question of what it means to be an Asian Asianist allowed me to deeply engage with our reading materials and speakers from various academic and disciplinary backgrounds. Secondly, I developed writing skills on generalizing and discussing about the arguments made by our speakers. Thirdly, I was able to reflect on the possibilities and limitations of my own discipline and at the same time bridging conversation with other disciplines."
EAS-700-01_Chow__Eileen_Fall_2023.html,Fall 2023,EAS-700-01 : EAST ASIAN STUDIES CORE COURSE.EAS-700-01.AMES-700-01.HISTORY-707-01.RELIGION-700-01.,Eileen Chow,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I've learned a great deal about the ""secrets of academia."" Professor Chow meticulously introduces disciplines and methodologies by inviting professors from different fields each week, a valuable experience not easily found elsewhere. Through interactions with these professors, I've grasped the subtle nuances between disciplines, topics, academic institutions, and departments. This understanding will be immensely helpful for my future doctoral applications."
EAS-700-01_Chow__Eileen_Fall_2023.html,Fall 2023,EAS-700-01 : EAST ASIAN STUDIES CORE COURSE.EAS-700-01.AMES-700-01.HISTORY-707-01.RELIGION-700-01.,Eileen Chow,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","We get to know more about the concepts of Asia and academic disciplines through this course, and we meet and talk to so many outstanding professors of our discipline."
EAS-700-01_Chow__Eileen_Fall_2023.html,Fall 2023,EAS-700-01 : EAST ASIAN STUDIES CORE COURSE.EAS-700-01.AMES-700-01.HISTORY-707-01.RELIGION-700-01.,Eileen Chow,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",The guest speakers are all very inspiring.
EAS-700-01_Chow__Eileen_Fall_2023.html,Fall 2023,EAS-700-01 : EAST ASIAN STUDIES CORE COURSE.EAS-700-01.AMES-700-01.HISTORY-707-01.RELIGION-700-01.,Eileen Chow,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","The second half guest speaker section was definitely novel and inspiring to me, which I would strongly recommend to keep in the future."
EAS-700-01_Chow__Eileen_Fall_2023.html,Fall 2023,EAS-700-01 : EAST ASIAN STUDIES CORE COURSE.EAS-700-01.AMES-700-01.HISTORY-707-01.RELIGION-700-01.,Eileen Chow,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","The learning environment of this class is inclusive and supportive. Students were often give the chance to speak up and interact with each other. The speaker sessions are also very helpful to bridge conversation between various disciplines and research topics. Additionally, students were given the chance to introduce themselves succinctly to the speakers. This allowed us to practice and improve our elevator pitch."
EAS-700-01_Chow__Eileen_Fall_2023.html,Fall 2023,EAS-700-01 : EAST ASIAN STUDIES CORE COURSE.EAS-700-01.AMES-700-01.HISTORY-707-01.RELIGION-700-01.,Eileen Chow,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","The classroom atmosphere is incredibly dynamic and diverse. The academic materials introduced in this class are highly significant and core works within the field, which I intend to utilize in my following projects."
EAS-700-01_Chow__Eileen_Fall_2023.html,Fall 2023,EAS-700-01 : EAST ASIAN STUDIES CORE COURSE.EAS-700-01.AMES-700-01.HISTORY-707-01.RELIGION-700-01.,Eileen Chow,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",The course incorporates both methodology and real-life experiences. It indeed urges me to reflect my position as an Asianist.
