uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
149911_8928_11987235_27466681,ECE-250D-001,COMPUTER ARCHITECTURE.ECE-250D-001.COMPSCI-250D-001.,"Bletsch, Tyler",Summer I 2023,ELEC&CMP,"20 of 25  responded (80.00%)



 View Report
                            



 Download PDF","ECE, COMPSCI",99040,R3taZNKnw14IRH7UBESaUg%3d%3d,5iHN8OV7P4%2b9WbwVpE3KvQ%3d%3d,bwRIT1mm3qlDOjDNe1v%2bcQ%3d%3d,2025-11-24T16:01:19.024576
149911_8928_11987247_27466681,ECE-250D-01D,COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,"Bletsch, Tyler",Summer I 2023,ELEC&CMP,"11 of 25  responded (44.00%)



 View Report
                            



 Download PDF",,99040,R3taZNKnw14IRH7UBESaUg%3d%3d,ZwDEYajNaO6skFmA6j30Gw%3d%3d,bwRIT1mm3qlDOjDNe1v%2bcQ%3d%3d,2025-11-24T16:01:19.024672
154503_9169_12241348_27445952,ECE-661-01,COMP ENG ML & DEEP NEURAL NETS.ECE-661-01.,"Li, Hai",Fall 2023,ELEC&CMP,"42 of 101  responded (41.58%)



 View Report
                            



 Download PDF",ECE,98391,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,TqfMzaiag8y1ptFzXhgbEg%3d%3d,rShwsKoT%2bzttqOadIYVuDg%3d%3d,2025-11-24T16:01:19.024784
154503_9169_12241355_27991352,ECE-684-01,NATURAL LANGUAGE PROCESSING.ECE-684-01.,"Wang, Patrick",Fall 2023,ELEC&CMP,"31 of 80  responded (38.75%)



 View Report
                            



 Download PDF",ECE,98391,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,Hsq6Q19BhsKFdmjEyOw%2bIA%3d%3d,LX9BvtE4FESBCYXc4XOTDQ%3d%3d,2025-11-24T16:01:19.024863
154503_9169_12241358_27991596,ECE-590-06,ADVANCED TOPICS IN ECE.ECE-590-06.,"Rahbar, Afsaneh",Fall 2023,ELEC&CMP,"26 of 31  responded (83.87%)



 View Report
                            



 Download PDF",ECE,98391,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,Ccwo109p%2bxi7cfwMHKyeFQ%3d%3d,e9OXTN18FUv15BZYgIpMsw%3d%3d,2025-11-24T16:01:19.024940
154503_9169_12241361_27991601,ECE-520-01,GRAD INTRO QUANTUM ENGINEERING.ECE-520-01.,"Brown, Kenneth",Fall 2023,ELEC&CMP,"6 of 16  responded (37.50%)



 View Report
                            



 Download PDF",ECE,98391,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,8%2beimz71NH4Ex6lObSZfIg%3d%3d,qdOTC%2bnkh26rPz4ZLnNLtQ%3d%3d,2025-11-24T16:01:19.025014
154503_9169_12241365_27991617,ECE-565-01,PERFORMANCE OPTIMIZ & PARALLEL.ECE-565-01.,"Rogers, Brian",Fall 2023,ELEC&CMP,"13 of 29  responded (44.83%)



 View Report
                            



 Download PDF",ECE,98391,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,ToiSWyjDwP%2fTfFpPDIO1wg%3d%3d,Aw1yMo5mjlOmOhKtcVeYXQ%3d%3d,2025-11-24T16:01:19.025088
154503_9169_12241371_27991581,ECE-551D-001,"PROG, DATA STRUC & ALGO IN C++.ECE-551D-001.","Lipp, Genevieve",Fall 2023,ELEC&CMP,"46 of 54  responded (85.19%)



 View Report
                            



 Download PDF",ECE,98391,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,%2bYd4t2pt9fdWnZIYPS88mg%3d%3d,2DETG7i%2fjrqOyLob%2bZMgtQ%3d%3d,2025-11-24T16:01:19.025163
154503_9169_12241372_27991576,ECE-588-01,IMAGE & VIDEO PROCESSING.ECE-588-01.,"Di Martino, Juan",Fall 2023,ELEC&CMP,"25 of 74  responded (33.78%)



 View Report
                            



 Download PDF",ECE,98391,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,WTBA2unc2X8vNcNIpb0AJA%3d%3d,IVrG1wF4%2bAicOThvlWxyBw%3d%3d,2025-11-24T16:01:19.025237
154503_9169_12241373_27991588,ECE-550D-001,FUND COMP SYSTEM & ENGINEERING.ECE-550D-001.,"Younes, Rabih",Fall 2023,ELEC&CMP,"29 of 32  responded (90.63%)



 View Report
                            



 Download PDF",ECE,98391,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,3GsbpivWske9teNPTRR8ig%3d%3d,qgfRtoalCYnlpLsVNbkwzA%3d%3d,2025-11-24T16:01:19.025312
