uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
149911_8928_11987226_27466668,I&E-271A-01,BLDG/SUSTAIN A SUCCESS ENTERPR.I&E-271A-01.ECON-281A-01.,"Park, Isaac",Summer I 2023,I&E,"8 of 20  responded (40.00%)



 View Report
                            



 Download PDF","I&E, ECON",98999,R3taZNKnw14IRH7UBESaUg%3d%3d,gQNmBagSPCW23Jag9bbh3g%3d%3d,SfarxJWNcFzfy4sT2IFwZQ%3d%3d,2025-11-24T16:03:12.352791
149911_8928_11987226_27466671,I&E-271A-01,BLDG/SUSTAIN A SUCCESS ENTERPR.I&E-271A-01.ECON-281A-01.,"Jones, Jamie",Summer I 2023,I&E,"8 of 20  responded (40.00%)



 View Report
                            



 Download PDF","I&E, ECON",98999,R3taZNKnw14IRH7UBESaUg%3d%3d,gQNmBagSPCW23Jag9bbh3g%3d%3d,2uYkpvQEGQKwK5nLLpPtWw%3d%3d,2025-11-24T16:03:12.353041
149911_8928_11987226_27466674,I&E-271A-01,BLDG/SUSTAIN A SUCCESS ENTERPR.I&E-271A-01.ECON-281A-01.,"Amato, Katharine",Summer I 2023,I&E,"8 of 20  responded (40.00%)



 View Report
                            



 Download PDF","I&E, ECON",98999,R3taZNKnw14IRH7UBESaUg%3d%3d,gQNmBagSPCW23Jag9bbh3g%3d%3d,b7uApLyoxjd8YYRCzJgfag%3d%3d,2025-11-24T16:03:12.353177
149911_8928_11987243_27466669,GERMAN-362SA-01,ECONOMICS OF GREEN GERMANY.GERMAN-362SA-01.ENVIRON-367SA-01.ECON-331SA-01.,"Huey, Douglas",Summer I 2023,GERMAN,"7 of 7  responded (100.00%)



 View Report
                            



 Download PDF",,98994,R3taZNKnw14IRH7UBESaUg%3d%3d,9i1vfHc33cMXTJXcQJTv5Q%3d%3d,5f4xZNJIJoyIXG2Teu8Rqg%3d%3d,2025-11-24T16:03:12.353271
152527_9107_12076175_27675584,ECON-307A-01,UNDERSTANDING FIN CRISES.ECON-307A-01.,"Caccavale, John",Summer II 2023,ECONOMICS,"13 of 15  responded (86.67%)



 View Report
                            



 Download PDF",ECON,98985,4TxgzUHg4Suz2MS8X7frbw%3d%3d,Pi%2brtQmaPBrcAxZ7NIsptw%3d%3d,Hdqvv%2fKNZCUFBSeK28t2og%3d%3d,2025-11-24T16:03:12.353353
152527_9107_12076176_27675589,ECON-368A-01,BEHAVIORAL FINANCE.ECON-368A-01.PSY-368A-01.,"Rasiel, Emma",Summer II 2023,ECONOMICS,"13 of 15  responded (86.67%)



 View Report
                            



 Download PDF","ECON, PSY",98985,4TxgzUHg4Suz2MS8X7frbw%3d%3d,qZDCHF8aEbjLDEwbDAhtMw%3d%3d,2EzwzwJ4Sj%2b2wFsOkrpH4w%3d%3d,2025-11-24T16:03:12.353437
152527_9107_12076199_27675600,PHIL-237A-01,POL PHIL OF GLOBALIZATION.PHIL-237A-01.POLSCI-297A-01.PUBPOL-204A-01.ECON-303A-01.,"Rosenberg, Alexander",Summer II 2023,PHILOSOPHY,"7 of 23  responded (30.43%)



 View Report
                            



 Download PDF","PHIL, POLSCI, PUBPOL, ECON",99022,4TxgzUHg4Suz2MS8X7frbw%3d%3d,VR74XlQyfCw7jcSYhNOYRw%3d%3d,2fSVEyuQfgHiMPlxQIEbMA%3d%3d,2025-11-24T16:03:12.353550
154503_9169_12241390_27991578,ECON-825-01,INDUSTRIAL ORGANIZATION.ECON-825-01.,"Collard-Wexler, Allan",Fall 2023,ECONOMICS,"9 of 15  responded (60.00%)



 View Report
                            



 Download PDF",ECON,98837,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,4S222vtXRNQDFFESV1fipQ%3d%3d,1STFVRbmuSQ6f%2b165ykLIA%3d%3d,2025-11-24T16:03:12.353644
154503_9169_12241390_27991622,ECON-825-01,INDUSTRIAL ORGANIZATION.ECON-825-01.,"Xu, Daniel",Fall 2023,ECONOMICS,"9 of 15  responded (60.00%)



 View Report
                            



 Download PDF",ECON,98837,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,4S222vtXRNQDFFESV1fipQ%3d%3d,YlKCPVdNd%2bJIA2clWOFk7g%3d%3d,2025-11-24T16:03:12.353755
154503_9169_12241395_27991586,ECON-671-01,FINANCIAL MRKT AND INVESTMENTS.ECON-671-01.,"Bollerslev, Tim",Fall 2023,ECONOMICS,"7 of 14  responded (50.00%)



 View Report
                            



 Download PDF",ECON,98837,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,VlTnW%2bJPPK4wUwhbrhKbDQ%3d%3d,uFiin3mDScZQY9T%2bVh9hPg%3d%3d,2025-11-24T16:03:12.353841
