filename,semester,course,instructor,question_number,question_text,response_text
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1. I learned to think about social standards of education and to remember those because they are a common theme in the class. 
2. I learned to think about how service learning isn't about ""helping"" the community or about what I can bring to them. 
3. I learned to be present at service learning sessions because we reflect on it in class and the kids deserve my attention."
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Learning the history of curriculum and schooling and how to criticize educational systems while also providing other ideas for how they could be better. I also learned how to help kids in school hands on with the service learning aspect.
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned a lot about the education system and got a variety of different perspectives about public education that I didn't know about. I also learned what was critical pedagogy
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",learned how to think more expansively and examine definitions of words before applying concepts
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","-- more about educational approaches 
-- importance of understanding educator perspectives & efforts state is taking to improve education 
-- what social justice looks like in education"
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about the significance of service learning, how early intervention education programs can support under-resourced schools, and ways to create social equity within education systems."
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to get along with a group of children, I learned how to reflect during service learning opportunities, and I learned about the equity and inequity in education-related policies."
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about the curriculum standards that North Carolina has for their public schools. I also learned how to think about equitable education. A way of thinking that will stick with me is that you will never have the holistic insight about a school system only based on your experiences. You will never know the resources the lower-income student had, the student with disabilities had, or others with disadvantages without being in their spaces."
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",The professor facilitated my learning because she is very understanding and sweet. She also values multiple creative outlets and isn't strict on how people express themselves for assignments.
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",The instructor was very kind and always facilitated kind conversations. I appreciated how open she was to new ideas.
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","Dr Amy was super flexible, knowledge about the content, and really cared about our well being too. She would make sure to check up on us and offered us her help whenever we needed it."
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I loved having the ability to reflect and have in depth discussions and use whiteboards.
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","-- discussions, lectures, incremental assignments"
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",This course was constructed very well. I loved that this class allowed us to interact directly with a school and first grade class. I also enjoyed our research project that was completed through the whole semester. It kept us engaged in our own projects and relating them to our class work.
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I think that I like the reflection and check-in parts of our class. I enjoy going to Lakewood, going to other schools could also be fine. I also love that we are going for a walk down Lakewood."
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",The professor was very open about helping students outside of class. I felt no pressure about assignments and would recommend this course to any first-year interested in education.
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,The class was stimulating because I was presented with new methods of education standards that I didn't know existed and I also got to be myself in the classroom.
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,The class seemed a little repetitive with the discussions we were having. It was as if each class had the same conversation. I would appreciate her introducing new ideas.
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"The content in it self, my classmates, and professor were all really engaged, however, I wish we would've covered more new content after fall break."
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,Open dialogue & opportunity to choose our own project
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"-- more perspectives of education, case studies, historical deep dives, law cases"
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"This class was stimulating because we used class lesson, conversations with one another, and research to use it in the classrooms at Lakewood."
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"I think that because this class has an aspect of service learning, I am very stimulated by the class."
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,The discussions about service-learning made this class stimulating as I have never reflected about a school that was not my own.
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,7,What would you like to say about this course to a student who is considering taking it in the future?,Don't be scared to be wrong in class because Dr. Amy is very understanding and will help you in anyway. The service learning component is enlightening and a big part of the course so only do it if you're comfortable with that.
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,7,What would you like to say about this course to a student who is considering taking it in the future?,very kind professor.
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,7,What would you like to say about this course to a student who is considering taking it in the future?,I would definitely recommned it. You get to hear a lot about diverse educational experiences and the instructor is amazing.
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,7,What would you like to say about this course to a student who is considering taking it in the future?,its a great way to dive into educational inequities and the service learning component is super fun
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,7,What would you like to say about this course to a student who is considering taking it in the future?,This class will change your viewpoints of the education systems in the United states. Service learning serves to help a community work with their individuals to grow and receive support instead of trying to change the community as a whole.
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,7,What would you like to say about this course to a student who is considering taking it in the future?,"I think if you are interested in policies, education, or other aspects, this will be the perfect match for you."
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,7,What would you like to say about this course to a student who is considering taking it in the future?,Your service-learning experience is going to be great and you will enjoy class time and having the opportunity to explore any part of school you care about!
EDUC-115FS-01_Ramirez-Deltoro__Virginia_Fall_2023.html,Fall 2023,EDUC-115FS-01 : CLASSROOM CULTURE.EDUC-115FS-01.,Virginia Ramirez-Deltoro,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1. The discourse around classroom education and theory became much clearer. I now have a solid grasp of my own thoughts and opinions about pedagogy backed by academic works and personal experience.
2. I have a keen understanding of how to write good reflective work, with emphasis on sitting down and fully understanding the motivation behind my work.
3. I learned how to better communicate with others in stressful environments."
EDUC-115FS-01_Ramirez-Deltoro__Virginia_Fall_2023.html,Fall 2023,EDUC-115FS-01 : CLASSROOM CULTURE.EDUC-115FS-01.,Virginia Ramirez-Deltoro,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1. This class helped me to understand how biases affect the classroom and everyday life.
2. I learned how to be a better communicator and facilitate healthy dialogue during discourse.
3. I was able to engage with students and understand ways that create a better learning environment."
EDUC-115FS-01_Ramirez-Deltoro__Virginia_Fall_2023.html,Fall 2023,EDUC-115FS-01 : CLASSROOM CULTURE.EDUC-115FS-01.,Virginia Ramirez-Deltoro,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned more about how and why we teach. I really appreciated what we learned about cell phone use because it helps me understand my own experience. I'm more aware of how these principles are evident in my life, and I'm more able to consider my own upbringing and education."
EDUC-115FS-01_Ramirez-Deltoro__Virginia_Fall_2023.html,Fall 2023,EDUC-115FS-01 : CLASSROOM CULTURE.EDUC-115FS-01.,Virginia Ramirez-Deltoro,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about pedagogical theories, both with professional language through various research articles and bell hooks's book as well as casually in terms of experience through personal application and Vivian Gussin Paley's novel. I learned improvisation activities that I have since implemented in other areas of my life. I learned more factual information about smartphone usage in adolescents."
EDUC-115FS-01_Ramirez-Deltoro__Virginia_Fall_2023.html,Fall 2023,EDUC-115FS-01 : CLASSROOM CULTURE.EDUC-115FS-01.,Virginia Ramirez-Deltoro,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about the culture of American classrooms; specifically about implicit biases, the impact of stereotypes, and understanding someone's background."
EDUC-115FS-01_Ramirez-Deltoro__Virginia_Fall_2023.html,Fall 2023,EDUC-115FS-01 : CLASSROOM CULTURE.EDUC-115FS-01.,Virginia Ramirez-Deltoro,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",How to understand different learning styles
EDUC-115FS-01_Ramirez-Deltoro__Virginia_Fall_2023.html,Fall 2023,EDUC-115FS-01 : CLASSROOM CULTURE.EDUC-115FS-01.,Virginia Ramirez-Deltoro,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Being able to relate to younger kids and knowing more and more about social norms.
EDUC-115FS-01_Ramirez-Deltoro__Virginia_Fall_2023.html,Fall 2023,EDUC-115FS-01 : CLASSROOM CULTURE.EDUC-115FS-01.,Virginia Ramirez-Deltoro,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1.I learned a lot about skills in the classroom surrounding language and how it can be constructive and but also damaging
2.I also learned about the effects of stereotypes as they relate to collectivizing demographics under ""one story""
3.Also I learned a lot about the youth and how they use the phones/social media"
