filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",8/9 (88.89%),3.75,1.04,4.00,8,Poor: 0 (0.00%); Marginal: 1 (12.50%); Average: 2 (25.00%); Very Good: 3 (37.50%); Excellent: 2 (25.00%)
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",8/9 (88.89%),3.63,0.74,4.00,8,Poor: 0 (0.00%); Marginal: 1 (12.50%); Average: 1 (12.50%); Very Good: 6 (75.00%); Excellent: 0 (0.00%)
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",8/9 (88.89%),4.25,0.71,4.00,8,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (12.50%); Very Good: 4 (50.00%); Excellent: 3 (37.50%)
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,8,The course was difficult.,8/9 (88.89%),1.38,0.52,1.00,8,Strongly disagree: 5 (62.50%); Disagree: 3 (37.50%); Neither agree nor disagree: 0 (0.00%); Agree: 0 (0.00%); Strongly agree: 0 (0.00%)
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,8/9 (88.89%),1.75,0.71,2.00,8,1: 3 (37.50%); 2: 4 (50.00%); 3: 1 (12.50%); 4: 0 (0.00%); 5: 0 (0.00%); 6: 0 (0.00%); 7: 0 (0.00%); 8: 0 (0.00%); 9: 0 (0.00%); 10+: 0 (0.00%)
EDUC-115FS-01_Ramirez-Deltoro__Virginia_Fall_2023.html,Fall 2023,EDUC-115FS-01 : CLASSROOM CULTURE.EDUC-115FS-01.,Virginia Ramirez-Deltoro,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
EDUC-115FS-01_Ramirez-Deltoro__Virginia_Fall_2023.html,Fall 2023,EDUC-115FS-01 : CLASSROOM CULTURE.EDUC-115FS-01.,Virginia Ramirez-Deltoro,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
EDUC-115FS-01_Ramirez-Deltoro__Virginia_Fall_2023.html,Fall 2023,EDUC-115FS-01 : CLASSROOM CULTURE.EDUC-115FS-01.,Virginia Ramirez-Deltoro,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",11/12 (91.67%),4.82,0.40,5.00,11,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 2 (18.18%); Excellent: 9 (81.82%)
EDUC-115FS-01_Ramirez-Deltoro__Virginia_Fall_2023.html,Fall 2023,EDUC-115FS-01 : CLASSROOM CULTURE.EDUC-115FS-01.,Virginia Ramirez-Deltoro,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
EDUC-115FS-01_Ramirez-Deltoro__Virginia_Fall_2023.html,Fall 2023,EDUC-115FS-01 : CLASSROOM CULTURE.EDUC-115FS-01.,Virginia Ramirez-Deltoro,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",12/12 (100%),4.83,0.39,5.00,12,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 2 (16.67%); Excellent: 10 (83.33%)
EDUC-115FS-01_Ramirez-Deltoro__Virginia_Fall_2023.html,Fall 2023,EDUC-115FS-01 : CLASSROOM CULTURE.EDUC-115FS-01.,Virginia Ramirez-Deltoro,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",12/12 (100%),5.00,0.00,5.00,12,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 0 (0.00%); Excellent: 12 (100.00%)
EDUC-115FS-01_Ramirez-Deltoro__Virginia_Fall_2023.html,Fall 2023,EDUC-115FS-01 : CLASSROOM CULTURE.EDUC-115FS-01.,Virginia Ramirez-Deltoro,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
EDUC-115FS-01_Ramirez-Deltoro__Virginia_Fall_2023.html,Fall 2023,EDUC-115FS-01 : CLASSROOM CULTURE.EDUC-115FS-01.,Virginia Ramirez-Deltoro,8,The course was difficult.,12/12 (100%),2.33,0.78,2.00,12,Strongly disagree: 1 (8.33%); Disagree: 7 (58.33%); Neither agree nor disagree: 3 (25.00%); Agree: 1 (8.33%); Strongly agree: 0 (0.00%)
