filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,8/9 (88.89%),3.75,1.04,4.00
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),1,12.50%,8/9 (88.89%),3.75,1.04,4.00
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),2,25.00%,8/9 (88.89%),3.75,1.04,4.00
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),3,37.50%,8/9 (88.89%),3.75,1.04,4.00
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),2,25.00%,8/9 (88.89%),3.75,1.04,4.00
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,8/9 (88.89%),3.63,0.74,4.00
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),1,12.50%,8/9 (88.89%),3.63,0.74,4.00
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),1,12.50%,8/9 (88.89%),3.63,0.74,4.00
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),6,75.00%,8/9 (88.89%),3.63,0.74,4.00
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),0,0.00%,8/9 (88.89%),3.63,0.74,4.00
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),0,0.00%,8/9 (88.89%),4.25,0.71,4.00
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),0,0.00%,8/9 (88.89%),4.25,0.71,4.00
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Average,(3),1,12.50%,8/9 (88.89%),4.25,0.71,4.00
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Very Good,(4),4,50.00%,8/9 (88.89%),4.25,0.71,4.00
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Excellent,(5),3,37.50%,8/9 (88.89%),4.25,0.71,4.00
EDUC-111FS-01_Anderson__Amy_Fall_2024.html,Fall 2024,EDUC-111FS-01 : RETHINKING SCHOOL: SOC JUSTICE.EDUC-111FS-01.RIGHTS-111FS-01.,Amy Anderson,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,,,
