uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
154498_9169_12229801_27959529,EGR-706-03,ACAD&PROF WRITING FOR ENGIN II.EGR-706-03.,"Bowers, Angus",Fall 2023,EGRDEPT,"9 of 17  responded (52.94%)



 View Report
                            



 Download PDF",EGR,98896,5NQVVcqSmy0g70dgOR1wxw%3d%3d,fkAIJs9jCMt%2bDUGuZwCo6Q%3d%3d,1Y7psumuRwoJ9SerGkU3wA%3d%3d,2025-11-24T16:06:57.705645
154498_9169_12229802_27959520,EGR-590-1-14,SPECIAL TOPICS.EGR-590-1-14.,"Benjamin, Chloe",Fall 2023,EGRDEPT,"10 of 25  responded (40.00%)



 View Report
                            



 Download PDF",EGR,98896,5NQVVcqSmy0g70dgOR1wxw%3d%3d,HV2tzjWxrUlE%2fXfz7NFWLg%3d%3d,nzJN80PNcFZ7qeonvrMWKw%3d%3d,2025-11-24T16:06:57.705738
154498_9169_12229804_27959516,EGR-590-1-16,SPECIAL TOPICS.EGR-590-1-16.,"Babwah, Lorelle",Fall 2023,EGRDEPT,"17 of 24  responded (70.83%)



 View Report
                            



 Download PDF",EGR,98896,5NQVVcqSmy0g70dgOR1wxw%3d%3d,irDyFiiw%2bKvRJBibZgPZfQ%3d%3d,8LqebvuCfOqB3W%2bJU2DnUA%3d%3d,2025-11-24T16:06:57.705814
154498_9169_12229805_27959517,EGR-705-03,ACAD PRESENTATIONS FOR ENGIN.EGR-705-03.,"Carroll, Patty",Fall 2023,EGRDEPT,"8 of 12  responded (66.67%)



 View Report
                            



 Download PDF",EGR,98896,5NQVVcqSmy0g70dgOR1wxw%3d%3d,NNNvNgAs8Pq9EBgtnlTzPA%3d%3d,VINfJJztLMlieSOUA%2b6jEQ%3d%3d,2025-11-24T16:06:57.705909
154498_9169_12229806_27959530,EGR-706-02,ACAD&PROF WRITING FOR ENGIN II.EGR-706-02.,"Pachino, Marcie",Fall 2023,EGRDEPT,"10 of 12  responded (83.33%)



 View Report
                            



 Download PDF",EGR,98896,5NQVVcqSmy0g70dgOR1wxw%3d%3d,uMgzvUv%2fAgu0x40DmoizyA%3d%3d,6DDwY7I6bmMPBBBIkNSXAA%3d%3d,2025-11-24T16:06:57.705996
154498_9169_12229811_27959514,EGR-590-1-19,SPECIAL TOPICS.EGR-590-1-19.,"Carlson, Sarah",Fall 2023,EGRDEPT,"10 of 21  responded (47.62%)



 View Report
                            



 Download PDF",EGR,98896,5NQVVcqSmy0g70dgOR1wxw%3d%3d,0NnBU77u9h9kjGunrM5%2fzA%3d%3d,ICAqswxOYG7sN12uv4uvlA%3d%3d,2025-11-24T16:06:57.706071
154498_9169_12229813_27959528,EGR-705-01,ACAD PRESENTATIONS FOR ENGIN.EGR-705-01.,"Palmer, Ilana",Fall 2023,EGRDEPT,"9 of 12  responded (75.00%)



 View Report
                            



 Download PDF",EGR,98896,5NQVVcqSmy0g70dgOR1wxw%3d%3d,yNGr1vz1%2b0RpJgRa6Q2L%2fg%3d%3d,mvNbUOX86wx4Kgv8qpEi1Q%3d%3d,2025-11-24T16:06:57.706146
154498_9169_12229814_27959520,EGR-590-1-13,SPECIAL TOPICS.EGR-590-1-13.,"Benjamin, Chloe",Fall 2023,EGRDEPT,"16 of 22  responded (72.73%)



 View Report
                            



 Download PDF",EGR,98896,5NQVVcqSmy0g70dgOR1wxw%3d%3d,JowH9FuA6LnBE2zKHGNSSw%3d%3d,nzJN80PNcFZ7qeonvrMWKw%3d%3d,2025-11-24T16:06:57.706224
154498_9169_12229817_27959515,EGR-590-1-18,SPECIAL TOPICS.EGR-590-1-18.,"Sloop Johnson, Virginia",Fall 2023,EGRDEPT,"17 of 24  responded (70.83%)



 View Report
                            



 Download PDF",EGR,98896,5NQVVcqSmy0g70dgOR1wxw%3d%3d,Tm7XYnSm%2bWTfOxE2mx6oYQ%3d%3d,kBmCt8t6Rb68DWdeRedwLA%3d%3d,2025-11-24T16:06:57.706296
154498_9169_12229819_27959519,EGR-590-1-12,SPECIAL TOPICS.EGR-590-1-12.,"Blanks, Angelica",Fall 2023,EGRDEPT,"12 of 22  responded (54.55%)



 View Report
                            



 Download PDF",EGR,98896,5NQVVcqSmy0g70dgOR1wxw%3d%3d,whqHhmvcGLEQUsDR%2fjvTgA%3d%3d,VaRHHuok5dqVkoMxHo0Stg%3d%3d,2025-11-24T16:06:57.706369
