filename,semester,course,instructor,question_number,question_text,response_text
EGR-101L-001_Curtarolo__Stefano_Fall_2023.html,Fall 2023,EGR-101L-001 : ENGR DESIGN & COMMUNICATION.EGR-101L-001.,Stefano Curtarolo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Collaboration, Inovation, Coding, CAD, soldering"
EGR-101L-001_Curtarolo__Stefano_Fall_2023.html,Fall 2023,EGR-101L-001 : ENGR DESIGN & COMMUNICATION.EGR-101L-001.,Stefano Curtarolo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","How to think and design iteratively, how to present technical information, how to write technical memos"
EGR-101L-001_Curtarolo__Stefano_Fall_2023.html,Fall 2023,EGR-101L-001 : ENGR DESIGN & COMMUNICATION.EGR-101L-001.,Stefano Curtarolo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to use CAD, 3D-print, and laser cut."
EGR-101L-001_Curtarolo__Stefano_Fall_2023.html,Fall 2023,EGR-101L-001 : ENGR DESIGN & COMMUNICATION.EGR-101L-001.,Stefano Curtarolo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","how to effectively communicate my engineering ideas, CAD, 3d printing"
EGR-101L-001_Curtarolo__Stefano_Fall_2023.html,Fall 2023,EGR-101L-001 : ENGR DESIGN & COMMUNICATION.EGR-101L-001.,Stefano Curtarolo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1) I learned how to work with a team of people that are very different from me
2) I gained technical skills and knowledge, like how to use CAD and laser cut
3) I used communication skills to work with our client and technical mentor"
EGR-101L-001_Curtarolo__Stefano_Fall_2023.html,Fall 2023,EGR-101L-001 : ENGR DESIGN & COMMUNICATION.EGR-101L-001.,Stefano Curtarolo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Working as a team. 3D Printing. Project planning.
EGR-101L-001_Curtarolo__Stefano_Fall_2023.html,Fall 2023,EGR-101L-001 : ENGR DESIGN & COMMUNICATION.EGR-101L-001.,Stefano Curtarolo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I developed significant problem solving skills and grew a passion for engineering. I learned how to acrylic bend and 3D print. I learned so much about materials, such as PVC, Wood, acrylic, glue, screws and more."
EGR-101L-001_Curtarolo__Stefano_Fall_2023.html,Fall 2023,EGR-101L-001 : ENGR DESIGN & COMMUNICATION.EGR-101L-001.,Stefano Curtarolo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to effectively communicate with a team, I learned about electronics and how to wire, also I started learning how to code."
EGR-101L-001_Curtarolo__Stefano_Fall_2023.html,Fall 2023,EGR-101L-001 : ENGR DESIGN & COMMUNICATION.EGR-101L-001.,Stefano Curtarolo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned the egr design process
EGR-101L-001_Curtarolo__Stefano_Fall_2023.html,Fall 2023,EGR-101L-001 : ENGR DESIGN & COMMUNICATION.EGR-101L-001.,Stefano Curtarolo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","How working with a client works, how to use certain tools (eg jigsaw and foam cutter), how to prepare for engineering presentations."
