filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
EGR-101L-001_Curtarolo__Stefano_Fall_2023.html,Fall 2023,EGR-101L-001 : ENGR DESIGN & COMMUNICATION.EGR-101L-001.,Stefano Curtarolo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
EGR-101L-001_Curtarolo__Stefano_Fall_2023.html,Fall 2023,EGR-101L-001 : ENGR DESIGN & COMMUNICATION.EGR-101L-001.,Stefano Curtarolo,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
EGR-101L-001_Curtarolo__Stefano_Fall_2023.html,Fall 2023,EGR-101L-001 : ENGR DESIGN & COMMUNICATION.EGR-101L-001.,Stefano Curtarolo,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",20/22 (90.91%),4.45,0.69,5.00,20,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 2 (10.00%); Very Good: 7 (35.00%); Excellent: 11 (55.00%)
EGR-101L-001_Curtarolo__Stefano_Fall_2023.html,Fall 2023,EGR-101L-001 : ENGR DESIGN & COMMUNICATION.EGR-101L-001.,Stefano Curtarolo,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
EGR-101L-001_Curtarolo__Stefano_Fall_2023.html,Fall 2023,EGR-101L-001 : ENGR DESIGN & COMMUNICATION.EGR-101L-001.,Stefano Curtarolo,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",21/22 (95.45%),4.57,0.51,5.00,21,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 9 (42.86%); Excellent: 12 (57.14%)
EGR-101L-001_Curtarolo__Stefano_Fall_2023.html,Fall 2023,EGR-101L-001 : ENGR DESIGN & COMMUNICATION.EGR-101L-001.,Stefano Curtarolo,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",21/22 (95.45%),4.43,0.93,5.00,21,Poor: 0 (0.00%); Marginal: 1 (4.76%); Average: 3 (14.29%); Very Good: 3 (14.29%); Excellent: 14 (66.67%)
EGR-101L-001_Curtarolo__Stefano_Fall_2023.html,Fall 2023,EGR-101L-001 : ENGR DESIGN & COMMUNICATION.EGR-101L-001.,Stefano Curtarolo,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
EGR-101L-001_Curtarolo__Stefano_Fall_2023.html,Fall 2023,EGR-101L-001 : ENGR DESIGN & COMMUNICATION.EGR-101L-001.,Stefano Curtarolo,8,The course was difficult.,21/22 (95.45%),2.90,0.70,3.00,21,Strongly disagree: 0 (0.00%); Disagree: 6 (28.57%); Neither agree nor disagree: 11 (52.38%); Agree: 4 (19.05%); Strongly agree: 0 (0.00%)
EGR-101L-001_Curtarolo__Stefano_Fall_2023.html,Fall 2023,EGR-101L-001 : ENGR DESIGN & COMMUNICATION.EGR-101L-001.,Stefano Curtarolo,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,21/22 (95.45%),4.81,2.56,4.00,21,1: 1 (4.76%); 2: 3 (14.29%); 3: 3 (14.29%); 4: 4 (19.05%); 5: 4 (19.05%); 6: 1 (4.76%); 7: 1 (4.76%); 8: 2 (9.52%); 9: 0 (0.00%); 10+: 2 (9.52%)
EGR-101L-001_Rizk__Michael_Spring_2024.html,Spring 2024,EGR-101L-001 : ENGR DESIGN & COMMUNICATION.EGR-101L-001.,Michael Rizk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
EGR-101L-001_Rizk__Michael_Spring_2024.html,Spring 2024,EGR-101L-001 : ENGR DESIGN & COMMUNICATION.EGR-101L-001.,Michael Rizk,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
EGR-101L-001_Rizk__Michael_Spring_2024.html,Spring 2024,EGR-101L-001 : ENGR DESIGN & COMMUNICATION.EGR-101L-001.,Michael Rizk,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",24/26 (92.31%),4.29,0.62,4.00,24,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 2 (8.33%); Very Good: 13 (54.17%); Excellent: 9 (37.50%)
EGR-101L-001_Rizk__Michael_Spring_2024.html,Spring 2024,EGR-101L-001 : ENGR DESIGN & COMMUNICATION.EGR-101L-001.,Michael Rizk,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
EGR-101L-001_Rizk__Michael_Spring_2024.html,Spring 2024,EGR-101L-001 : ENGR DESIGN & COMMUNICATION.EGR-101L-001.,Michael Rizk,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",24/26 (92.31%),4.08,0.72,4.00,24,Poor: 0 (0.00%); Marginal: 1 (4.17%); Average: 2 (8.33%); Very Good: 15 (62.50%); Excellent: 6 (25.00%)
