filename,semester,course,instructor,question_number,question_text,response_text
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I've learned hands-on engineering skills in areas such as woodworking and circuit design. I've also learned how to express engineering results and ideas in words - namely in the form of memos.
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","CAD modeling, soldering, memo writing, technical skills and soft skills like accountability, integrity,"
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I developed a lot of technical skills through this course from soldering to 3d printing.  I also learned the proper way to go about a engineering project and the steps to do along the way.
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","-woodworking
-laser cutting
-3d printing
-problem solving"
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I developed a few technical skills such as learning how to laser cut properly, along with many insightful ideas about how to brainstorm properly, how to evaluate solutions and select the best one and how to properly communicate and collaborate with my team and help each other build off of the skills we have."
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned how to persevere through failure and find new ways of thinking. Also I learned how to work. in an enginnering setting and with a group. c
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I really learned how to think outside of the box, and explore new methods to solve a problem and create an idea."
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I think the most important thing I learned was how to navigate problems. Once I encounter a difficulty/barrier, what are the solutions/skills I have to overcome it?"
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I developed organizational skills from this course, including planning and documentation that allowed me to stay on task. My way of thinking certainly changed as this course differed from the typical acadmeic course in that I was able to problem solve with the actual prototype at my hands instead of on a laptop like typical math and science courses."
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to work in a team and manage all the different interests of group members.
I learned how to think about engineering with a design first perspective.
I learned how to maintain discipline when things do not go well for the group."
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",This class taught me how to think like an engineer and refine my decision-making and brainstorming processes. I really enjoyed the project-based nature of the class as it allowed us to experiment more and be creative in our design process.
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","-Basic Ideas and structure of the design process
-basic skills on how to use different tools including laser cutter and CAD Software
-Developed communication skills in presenting and team building work ethic skills"
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to laser cut
I learned about the engineering design process
It showed me what a real life experience in engineering would be like"
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Collaboration, creative thinking and problem solving, CAD and 3D printing"
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","The instructor gave us time for hand-ons prototyping and design; in the beginning of the course, we also had ""toolbits"" where we learned different engineering skills such as woodworking."
