filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,16/23 (69.57%),4.38,0.62,4.00
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,16/23 (69.57%),4.38,0.62,4.00
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),1,6.25%,16/23 (69.57%),4.38,0.62,4.00
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),8,50.00%,16/23 (69.57%),4.38,0.62,4.00
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),7,43.75%,16/23 (69.57%),4.38,0.62,4.00
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,16/23 (69.57%),4.38,0.81,4.50
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),1,6.25%,16/23 (69.57%),4.38,0.81,4.50
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),0,0.00%,16/23 (69.57%),4.38,0.81,4.50
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),7,43.75%,16/23 (69.57%),4.38,0.81,4.50
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),8,50.00%,16/23 (69.57%),4.38,0.81,4.50
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),0,0.00%,16/23 (69.57%),4.50,0.52,4.50
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),0,0.00%,16/23 (69.57%),4.50,0.52,4.50
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Average,(3),0,0.00%,16/23 (69.57%),4.50,0.52,4.50
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Very Good,(4),8,50.00%,16/23 (69.57%),4.50,0.52,4.50
EGR-101L-001a_Rizk__Michael_Spring_2025.html,Spring 2025,EGR-101L-001a : ENGR DESIGN & COMMUNICATION.EGR-101L-001a.,Michael Rizk,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Excellent,(5),8,50.00%,16/23 (69.57%),4.50,0.52,4.50
