filename,semester,course,instructor,question_number,question_text,response_text
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Discussion helped me immensely with my projects, which were a key component of the class structure. Also, they helped me consolidate my learning from previous classes, and ensure a good understanding of topics. Finally, they were an effective moment to socialize with my peers and discuss communal growth and understanding of the course content."
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","- Logisim
- Coding in MIPS and C
- no more magic"
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Practical applications of computer architecture
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Learning how a computer works front-to-back. This was what made everything I'd learned up until now really click
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","- How to ask for help
- How to translate C into MIPS
- How to start early"
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Mips, C, CPU Design"
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Same as the lecture eval.
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Recitation was good!
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","Discussion had well-written and polished documents to guide my learning, and a syllabus that closely connected to and extended classroom learning. Indeed, it is in discussion that I gained the valuable practice that helped me do well in homework."
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","instructor provided ample time for questions, office hours, and support that challenged the student and forced them to learn the content"
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","The summer structure with lecture in the morning, recitation in the afternoon, then office hours was very good for me. Bletsch's teaching style flows very well and he always brings so much enthusiasm about the material"
