filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",10/25 (40%),4.70,0.48,5.00,10,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 3 (30.00%); Excellent: 7 (70.00%)
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",10/25 (40%),4.80,0.42,5.00,10,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 2 (20.00%); Excellent: 8 (80.00%)
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",10/25 (40%),4.90,0.32,5.00,10,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 1 (10.00%); Excellent: 9 (90.00%)
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,8,The course was difficult.,10/25 (40%),4.00,0.94,4.00,10,Strongly disagree: 0 (0.00%); Disagree: 1 (10.00%); Neither agree nor disagree: 1 (10.00%); Agree: 5 (50.00%); Strongly agree: 3 (30.00%)
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,10/25 (40%),8.70,2.58,10.00,10,1: 0 (0.00%); 2: 1 (10.00%); 3: 0 (0.00%); 4: 0 (0.00%); 5: 0 (0.00%); 6: 0 (0.00%); 7: 1 (10.00%); 8: 1 (10.00%); 9: 0 (0.00%); 10+: 7 (70.00%)
ECE-270DL-001_Cummer__Steven_Fall_2024.html,Fall 2024,ECE-270DL-001 : FIELDS AND WAVES.ECE-270DL-001.,Steven Cummer,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
