filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,10/25 (40%),4.70,0.48,5.00
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,10/25 (40%),4.70,0.48,5.00
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),0,0.00%,10/25 (40%),4.70,0.48,5.00
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),3,30.00%,10/25 (40%),4.70,0.48,5.00
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),7,70.00%,10/25 (40%),4.70,0.48,5.00
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,10/25 (40%),4.80,0.42,5.00
ECE-250D-01D_Bletsch__Tyler_Summer_I_2023.html,Summer I 2023,ECE-250D-01D : COMPUTER ARCHITECTURE.ECE-250D-01D.COMPSCI-250D-01D.,Tyler Bletsch,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,10/25 (40%),4.80,0.42,5.00
