uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
154503_9169_12241341_27991616,ENERGY-790-1-01,SPECIAL TOPICS IN ENERGY.ENERGY-790-1-01.,"Rohlfing, Eric",Fall 2023,ENVS,"15 of 30  responded (50.00%)



 View Report
                            



 Download PDF",ENERGY,98805,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,oiQQ04KX8JIywR8ZhJ%2fzPA%3d%3d,M4oLY72GRe8HEj6CghFBrg%3d%3d,2025-11-24T16:08:29.810704
154503_9169_12241458_27991650,ENERGY-578-01,ESG INVESTING.ENERGY-578-01.ECON-578-01.,"Wedding, Gary",Fall 2023,ENVS,"19 of 44  responded (43.18%)



 View Report
                            



 Download PDF","ENERGY, ECON",98805,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,rg9PVIdS3%2bOodn2aa6rwBg%3d%3d,hvn%2bm4v4EuVR4cxW5vLvzA%3d%3d,2025-11-24T16:08:29.810847
154503_9169_12241501_27991685,ENVIRON-716L-01L,MODELING FOR ENERGY SYSTEMS.ENVIRON-716L-01L.ENERGY-716L-01L.,"Patino Echeverri, Dalia",Fall 2023,NSOE,"13 of 32  responded (40.63%)



 View Report
                            



 Download PDF",,98299,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,qjF8Z5ysrfqtxUoG56kC8A%3d%3d,bEfuUxB%2flBZwM5mwUUfk0A%3d%3d,2025-11-24T16:08:29.810938
154503_9169_12241501_27991687,ENVIRON-716L-01L,MODELING FOR ENERGY SYSTEMS.ENVIRON-716L-01L.ENERGY-716L-01L.,"Floros, Dimitrios",Fall 2023,NSOE,"13 of 32  responded (40.63%)



 View Report
                            



 Download PDF",,98299,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,qjF8Z5ysrfqtxUoG56kC8A%3d%3d,mCpGSZjTbnmkmLLDmGEdjQ%3d%3d,2025-11-24T16:08:29.811020
154503_9169_12241539_27991685,ENVIRON-716L-02L,MODELING FOR ENERGY SYSTEMS.ENVIRON-716L-02L.ENERGY-716L-02L.,"Patino Echeverri, Dalia",Fall 2023,NSOE,"12 of 29  responded (41.38%)



 View Report
                            



 Download PDF",,98299,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,42XWLE44lI%2bGR59G9rwbbQ%3d%3d,bEfuUxB%2flBZwM5mwUUfk0A%3d%3d,2025-11-24T16:08:29.811100
154503_9169_12241539_27991687,ENVIRON-716L-02L,MODELING FOR ENERGY SYSTEMS.ENVIRON-716L-02L.ENERGY-716L-02L.,"Floros, Dimitrios",Fall 2023,NSOE,"12 of 29  responded (41.38%)



 View Report
                            



 Download PDF",,98299,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,42XWLE44lI%2bGR59G9rwbbQ%3d%3d,mCpGSZjTbnmkmLLDmGEdjQ%3d%3d,2025-11-24T16:08:29.811176
154503_9169_12241550_27991685,ENVIRON-716L-001,MODELING FOR ENERGY SYSTEMS.ENVIRON-716L-001.ENERGY-716L-001.,"Patino Echeverri, Dalia",Fall 2023,NSOE,"34 of 62  responded (54.84%)



 View Report
                            



 Download PDF","ENVIRON, ENERGY",98299,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,aD%2faNonxwLQ%2bkzgG8ZqBow%3d%3d,bEfuUxB%2flBZwM5mwUUfk0A%3d%3d,2025-11-24T16:08:29.811254
154503_9169_12241562_27886263,ENVIRON-711-01,ENERGY & ENVIRONMENT.ENVIRON-711-01.ENERGY-711-01.,"Johnson, Timothy",Fall 2023,NSOE,"37 of 79  responded (46.84%)



 View Report
                            



 Download PDF","ENVIRON, ENERGY",98299,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,sxwLI%2bmLA9OJUcWAdYgioA%3d%3d,GZMG6J0eTjHgfX4Lb0uywA%3d%3d,2025-11-24T16:08:29.811331
154503_9169_12241597_27991450,ENVIRON-590-05,SPECIAL TOPICS.ENVIRON-590-05.ENERGY-590-05.,"Lima, Luana",Fall 2023,NSOE,"9 of 23  responded (39.13%)



 View Report
                            



 Download PDF","ENVIRON, ENERGY",98299,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,xaSqU653%2ffOfM1NwTyP6hw%3d%3d,VeOOrYe956eg%2frjveAliiQ%3d%3d,2025-11-24T16:08:29.811406
154503_9169_12241608_27991465,ENVIRON-811-01,BUSINESS AND ENVIRONMENT.ENVIRON-811-01.ENERGY-811-01.,"Emerson, Holly",Fall 2023,NSOE,"28 of 38  responded (73.68%)



 View Report
                            



 Download PDF","ENVIRON, ENERGY",98299,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,Armuw4kn42Vh1PWQhg5VuQ%3d%3d,sM2ZU5lh%2ffo2ndbDj%2fDCZQ%3d%3d,2025-11-24T16:08:29.811482
