filename,semester,course,instructor,question_number,question_text,response_text
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned how to develop research practices centered around energy-related issues. I also learned how demand responses tied to the integration of energy into the electrical grid operate and I learned how oil and gas prices and demand/supply complexities function in on a regional and international market level.
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Applying economic models practically. Evaluating energy policies.
Imoroved my presenting skills."
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",We learned about the different types of energy markets related to economic concepts.
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Energy Issues, Natural Gas, and Electricity"
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1. How to assess energy efficiency
2. The basic structure behind oil and natural gas markets
3. How principles behind energy demand"
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about the complexity of the energy markets, how policy issues, and the importance of understanding them."
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Learned to critically analyze the economics of energy. I never really understood why the U.S was so intertwined middle east and this class has taught me to think critically about energy and how it affects markets.The professor is very heavy on student presentations in the second half of the semester. I found this to be very useful as it helped me understand and poke at presentations and not take everything for a fact. He made us write a paper about another students presentation and what they could have improved upon.
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Economic tools to analyse energy issues
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I would say the most significant think I would say I learnt from this course is the method of applying economic theory and different models to real-life, practical markets. In core econ classes, we see how supply and demand and competitive equilibrium work, but I enjoyed applying those frameworks to coal production models and OPEC and thinking about how to world actually operates. I also would say my presentation skills improved through our final presentation. Finally, I did definitely learn a lot about the grid and the electricity system in the United States."
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Ability to ""sniff out BS"" and think critically not only about energy but economics. Present topics relevant to my interests and the interests of the coursework. Combine economic analysis with political analysis."
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned about how important and complex energy markets are. It was interesting to see how many details and difficult it was to get usable energy to customers.
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","i learned about energy markets, many energy technologies in the history and the future outlook of them"
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about oil and gas, foreign markets, and business cycles."
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about a sector that was completely new to me, the energy industry, and it opened my eyes to a completely different way of thinking. Specifically, I learned about natural gas markets, oil monopolies, coal, and renewable energy sources. Thinking about these from an engineering and economic perspective also benefitted me, as I never considered phenomena such as the resource trap, hedging, and futures markets. It was also cool to learn about the history of these markets and how they developed and changed alongside different regulations and policies."
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned how energy is bought from different power plants and how that bidding process works. I learned how to calculate whether a power plant is worth being built with levelized cost of energy. I learned about the energy efficiency gap and why it exists.
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","How to think about energy issues, presentation skills, and all of the different types of energies."
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",-overall understanding of current and past energy markets
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about the demand side of energy markets, the supply side of energy markets, and some energy policy."
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","He facilitated my learning through engaging lectures, readily accessible resources that were helpful and understandable as well as assignments that tested my understanding of topics and advanced my ability to conduct meaningful research."
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","The structure of the course (4 different units, no final) and the article reviews helped keeping attention without stressing out."
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",The most interesting part of the class were the presentations. It gave you the chance to research a topic that you were especially interested in.
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Reading and discussing daily energy issues were very interesting.
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I would keep the final presentation. Nice way for the entire class to get a taste of the huge amount of energy content out there
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I really like the discussion/seminar style for this topic. Additionally, I really enjoyed the final project as I got to go deep on a topic that was adjacently related that I found particularly interesting."
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",The professor went pretty heavy on graphs. I initially could not follow along because I am not a economics major but after practicing and studying with friends was able to understand it more. He also uses a bunch of real life examples what he is teaching about and I found it to be pretty cool to see these forces act out in real life.
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I enjoyed the seminar style, it was great to be able to discuss these topics in depth."
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Had lots of personal experience in the industry which he shared extensively with the class during lecture.
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I had to find recent news stories that related to class once a week, which was a nice way to see what we were learning about and how it actually worked in the real world."
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",his lectures were interesting and would keep them similar for future years
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",He is leaving anyway. nothing I would change.
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I appreciated the lecture-style class and the alignment of these with the exams: they provide the opportunity to demonstrate what we learned in class without questions that feel unfair or were not previously discussed. Thus, coming to lecture was essential to learning and learning should take place in the classroom, in an in-person environment. Since it is the last year of teaching this class, there is nothing I would change about future years (and even if so, I would keep the structure the same.)"
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Professor Gale Boyd was very clear in his presentations and his exams reflected class material very well. I thought the class was structured very well and would not change anything about his teaching. I also liked that the homework assignments made us find real world examples of the topics we discussed in class. This made the topics more interesting to me.
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",A lot of the course was lectures which I was not expecting since it is a seminar class but I do not think that was a bad thing.  I learned a lot from his lectures and thought they were helpful.
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",-tests ensured that I understood the material presented
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I really like the structure of the class. It is straightforward and manageable.
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,I think the general concepts and how they were applicable to real world issues was the most stimulating part of this course. Professor Boyd made these concepts relatable and encouraged us to think deeper and apply our understanding of these concepts to tangible scenarios.
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,The topics were not very diverse and rather isolated from other disciplines.
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,The lectures could have been more interactive.
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"I am a computer science major, and have never really been interested in economics. Taking this course was interesting in that it wasn't just about financials or abstract economic concepts, but really how economics powers the world. I had an enjoyable time learning learning about different energy markets and how they work."
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,Presentations
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,Seminar component and real-world focus made it stimulating.
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,The material and its relevance to modern economics and politics.
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,I was able to see how energy played a role in all parts of my life.
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,The content.
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"The opportunity to explore an energy topic of our choosing was empowering and intellectually stimulating. I also felt the EIA discussions on current energy issues were super relevant and I appreciated staying up to date on what was happening. The concepts were all very stimulating, and I felt the textbook could not offer the same clarity that lectures and talking out the class did. I often had study sessions with others in the class before exams and felt this was really useful."
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"There just wasn't a lot of information covered in the course. Because of this, it felt like an easy class but not one that was necessarily intellectually stimulating."
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,I was very interested in the topic so I think that helped.
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,The topic itself was stimulating.
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,7,What would you like to say about this course to a student who is considering taking it in the future?,Would definitely take it if you are an Econ major and need an elective or if you are interested in energy like I am
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,7,What would you like to say about this course to a student who is considering taking it in the future?,No need to read the text book. Rather easy comlares to other classes in the Econ Departement. Grading is fine.
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,7,What would you like to say about this course to a student who is considering taking it in the future?,"Students who are interested in Energy and Environment,"
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,7,What would you like to say about this course to a student who is considering taking it in the future?,I believe the course is ending.
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,7,What would you like to say about this course to a student who is considering taking it in the future?,"If you are remotely interested in Energy and the economics of our current Energy market take it. Also, if you like smaller class styles, take it."
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,7,What would you like to say about this course to a student who is considering taking it in the future?,take notes on lectures and pay attention to presentation. They are very important to tests and know every single slide in and out
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,7,What would you like to say about this course to a student who is considering taking it in the future?,It is easy to skip class because professor Boyd is lenient on this matter but it is not worth missing the material.
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,7,What would you like to say about this course to a student who is considering taking it in the future?,"Sorry bud, you can't."
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,7,What would you like to say about this course to a student who is considering taking it in the future?,Take it (even though it won't be offered/taught by Professor Boyd). It teaches you so much about an industry that is not going away and most likely will not for as long as humanity persists.
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,7,What would you like to say about this course to a student who is considering taking it in the future?,I enjoyed it!
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,7,What would you like to say about this course to a student who is considering taking it in the future?,its a pretty low stress way to learn more about the energy markets
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,7,What would you like to say about this course to a student who is considering taking it in the future?,Stay up to date with your assignments.
