filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,18/18 (100%),4.11,0.83,4.00
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),1,5.56%,18/18 (100%),4.11,0.83,4.00
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),2,11.11%,18/18 (100%),4.11,0.83,4.00
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),9,50.00%,18/18 (100%),4.11,0.83,4.00
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),6,33.33%,18/18 (100%),4.11,0.83,4.00
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,18/18 (100%),4.11,0.58,4.00
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,18/18 (100%),4.11,0.58,4.00
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),2,11.11%,18/18 (100%),4.11,0.58,4.00
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),12,66.67%,18/18 (100%),4.11,0.58,4.00
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),4,22.22%,18/18 (100%),4.11,0.58,4.00
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),0,0.00%,18/18 (100%),4.17,0.62,4.00
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),0,0.00%,18/18 (100%),4.17,0.62,4.00
ECON-325S-01_Boyd__Gale_Spring_2024.html,Spring 2024,ECON-325S-01 : ECON ANALYSIS OF ENERGY ISSUES.ECON-325S-01.ENERGY-325S-01.,Gale Boyd,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Average,(3),2,11.11%,18/18 (100%),4.17,0.62,4.00
