uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
154503_9169_12241354_27991590,ENGLISH-890S-04,SPECIAL TOPICS SEMINAR.ENGLISH-890S-04.,"Stan, Corina",Fall 2023,ENGLISH,"7 of 11  responded (63.64%)



 View Report
                            



 Download PDF",ENGLISH,98840,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,2lZZeCOgux8PXGzeijz7QA%3d%3d,H8XF3Gq%2bAw5u6Whu49Q2Uw%3d%3d,2025-11-24T16:08:59.982155
154503_9169_12241465_27991688,LIT-690S-02,SPECIAL TOPICS IN LITERATURE.LIT-690S-02.ENGLISH-590S-4-02.,"Wiegman, Robyn",Fall 2023,LITERATURE,"8 of 8  responded (100.00%)



 View Report
                            



 Download PDF","LIT, ENGLISH",98858,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,cMcIfC2IAq4pc4StMZeKgw%3d%3d,TIjz5uoYICBCfkDbxNSxYQ%3d%3d,2025-11-24T16:08:59.982725
154503_9169_12241582_27466686,RELIGION-765S-01,"EXISTENTIALISM, NIHILISM, RELI.RELIGION-765S-01.AAAS-765S-01.ENGLISH-765S-01.GSF-765S-01.","Winters, Joe",Fall 2023,RELIGION,"5 of 17  responded (29.41%)



 View Report
                            



 Download PDF","RELIGION, AAAS, ENGLISH, GSF",98883,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,UQovT%2fzn8OTmzL21U5owSg%3d%3d,WlPfLAockrXSNpuf%2bmBUlA%3d%3d,2025-11-24T16:08:59.982818
154503_9169_12241607_27991735,LIT-822S-01,WRITING IS THINKING.LIT-822S-01.ENGLISH-822S-01.,"Moi, Toril",Fall 2023,LITERATURE,"11 of 13  responded (84.62%)



 View Report
                            



 Download PDF","LIT, ENGLISH",98858,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,B4%2bVH%2bIxj%2bBLzyHVlBkuMw%3d%3d,DDfdrsZct0fBtxPSzi9RFQ%3d%3d,2025-11-24T16:08:59.982899
154503_9169_12241671_27991729,LIT-890S-03,SEMINARS IN LIT (TOPICS).LIT-890S-03.ARTHIST-790S-03.ENGLISH-890S-03.GERMAN-890S-03.PSY-890S-03.ROMST-790S-03.,"Khanna, Ranjana",Fall 2023,LITERATURE,"6 of 14  responded (42.86%)



 View Report
                            



 Download PDF","LIT, ARTHIST, ENGLISH, GERMAN, PSY, ROMST",98858,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,ltCpByzrdXm7vjqvrgAbbA%3d%3d,6AU1iaXLvaCvmkQpoCPk9A%3d%3d,2025-11-24T16:08:59.982978
153858_9169_12282467_28111968,ENGLISH-101S-04,THE ART OF READING.ENGLISH-101S-04.,"Black, Taylor",Fall 2023,ENGLISH,"5 of 11  responded (45.45%)



 View Report
                            



 Download PDF",ENGLISH,98988,CtmkEaIRhsSP75R5T115eg%3d%3d,lMCgJj1WnK8qS%2bdrgMB12g%3d%3d,phHolz4imVzcknpGfUia1Q%3d%3d,2025-11-24T16:08:59.983056
153858_9169_12282484_28111947,ENGLISH-271-01,CLASSICS OF AM LIT: 1915-1960.ENGLISH-271-01.,"Strandberg, Victor",Fall 2023,ENGLISH,"5 of 22  responded (22.73%)



 View Report
                            



 Download PDF",ENGLISH,98988,CtmkEaIRhsSP75R5T115eg%3d%3d,V2JJ0p41tDTw8QXMIdEhHw%3d%3d,5fuRTZRn%2fYwHZ4alp238%2bA%3d%3d,2025-11-24T16:08:59.983132
153858_9169_12282489_28111941,ENGLISH-221S-01,INTRO. TO THE WRITING OF FICT..ENGLISH-221S-01.,"Ahmad, Aminuddin",Fall 2023,ENGLISH,"6 of 12  responded (50.00%)



 View Report
                            



 Download PDF",ENGLISH,98988,CtmkEaIRhsSP75R5T115eg%3d%3d,4bLBFcSCqYoq%2fiA0XqytZg%3d%3d,c4XtzL3%2b8w0vWHZRwqSDhw%3d%3d,2025-11-24T16:08:59.983215
153858_9169_12282497_28111970,ENGLISH-90S-03,SPECIAL TOPICS IN LITERATURE.ENGLISH-90S-03.,"Jeong, Victor",Fall 2023,ENGLISH,"15 of 15  responded (100.00%)



 View Report
                            



 Download PDF",ENGLISH,98988,CtmkEaIRhsSP75R5T115eg%3d%3d,GER2Y8vdR4JgiNPOIMP8dA%3d%3d,2tw31ug%2b0yut1z0yVQfu2Q%3d%3d,2025-11-24T16:08:59.983290
153858_9169_12282513_28112037,ENGLISH-101S-01,THE ART OF READING.ENGLISH-101S-01.,"Werlin, Julianne",Fall 2023,ENGLISH,"6 of 14  responded (42.86%)



 View Report
                            



 Download PDF",ENGLISH,98988,CtmkEaIRhsSP75R5T115eg%3d%3d,mpcEsGHSdDIfD696J1RWDw%3d%3d,JI%2bAnVp9fqXp%2bpslb3JE9w%3d%3d,2025-11-24T16:08:59.983367
153858_9169_12282533_28111958,ENGLISH-110S-04,INTRO CREATIVE WRITING.ENGLISH-110S-04.,"Martinez de las rivas, Toby",Fall 2023,ENGLISH,"10 of 16  responded (62.50%)



 View Report
                            



 Download PDF",ENGLISH,98988,CtmkEaIRhsSP75R5T115eg%3d%3d,EnOdk7oP6JfAvdt6wnoKFQ%3d%3d,UFSdyp1F80nsJdo0YBx13A%3d%3d,2025-11-24T16:08:59.983530
153858_9169_12282548_28111955,ENGLISH-222S-01,INTRO TO THE WTG OF CREAT. N-F.ENGLISH-222S-01.,"Shuman, Cathy",Fall 2023,ENGLISH,"12 of 15  responded (80.00%)



 View Report
                            



 Download PDF",ENGLISH,98988,CtmkEaIRhsSP75R5T115eg%3d%3d,zbpk%2bdxwYg6sO3%2bVBf92xA%3d%3d,21p%2fsuGBh03zsguKfqeyPQ%3d%3d,2025-11-24T16:08:59.983617
153858_9169_12282561_28111951,ENGLISH-320S-01,INT. WORKSHOP IN WTG OF POETRY.ENGLISH-320S-01.,"Donahue, Joseph",Fall 2023,ENGLISH,"5 of 12  responded (41.67%)



 View Report
                            



 Download PDF",ENGLISH,98988,CtmkEaIRhsSP75R5T115eg%3d%3d,2VHi9I0LmhQeia5vxEA69A%3d%3d,NySADjBpoCte2sjrb1g4wA%3d%3d,2025-11-24T16:08:59.983699
153858_9169_12282569_28111973,ENGLISH-90S-01,SPECIAL TOPICS IN LITERATURE.ENGLISH-90S-01.,"Edelen, Britt",Fall 2023,ENGLISH,"8 of 10  responded (80.00%)



 View Report
                            



 Download PDF",ENGLISH,98988,CtmkEaIRhsSP75R5T115eg%3d%3d,%2bjanm%2fn4JmiQjXhA2%2bKc6g%3d%3d,t5EaPjJGUdfsc3GHNQ3nMA%3d%3d,2025-11-24T16:08:59.983779
153858_9169_12282584_28112035,ENGLISH-212S-01,WRITING ACROSS BORDERS.ENGLISH-212S-01.,"Fox, Faulkner",Fall 2023,ENGLISH,"13 of 14  responded (92.86%)



 View Report
                            



 Download PDF",ENGLISH,98988,CtmkEaIRhsSP75R5T115eg%3d%3d,v%2b8OOvgKCT%2bKiQX14yRnMQ%3d%3d,4t92F16hdsiZY7yOSTsm1A%3d%3d,2025-11-24T16:08:59.983856
153858_9169_12282586_28111958,ENGLISH-110S-03,INTRO CREATIVE WRITING.ENGLISH-110S-03.,"Martinez de las rivas, Toby",Fall 2023,ENGLISH,"10 of 15  responded (66.67%)



 View Report
                            



 Download PDF",ENGLISH,98988,CtmkEaIRhsSP75R5T115eg%3d%3d,DkkkVEaSj2X4vsX7Qm54IA%3d%3d,UFSdyp1F80nsJdo0YBx13A%3d%3d,2025-11-24T16:08:59.983933
153858_9169_12282594_27445789,ENGLISH-190FS-2-02,FOCUS PROG SEM LIT (TOP).ENGLISH-190FS-2-02.,"Vadde, Aarthi",Fall 2023,ENGLISH,"9 of 12  responded (75.00%)



 View Report
                            



 Download PDF",,98988,CtmkEaIRhsSP75R5T115eg%3d%3d,ibDcc39gHlXcRYnZHBA4xA%3d%3d,axKfJSh7UQIksgEli4QwoA%3d%3d,2025-11-24T16:08:59.984011
153858_9169_12282601_28111944,ENGLISH-321S-01,INT. WORKSHOP WTG OF FICT..ENGLISH-321S-01.,"Sharma, Akhil",Fall 2023,ENGLISH,"6 of 9  responded (66.67%)



 View Report
                            



 Download PDF",ENGLISH,98988,CtmkEaIRhsSP75R5T115eg%3d%3d,zOrQOayPldZgAVJVhebAlw%3d%3d,%2foKF2X0MKPCGr%2fEhVeVB%2bg%3d%3d,2025-11-24T16:08:59.984086
153858_9169_12282645_28111968,ENGLISH-190FS-2-01,FOCUS PROG SEM LIT (TOP).ENGLISH-190FS-2-01.,"Black, Taylor",Fall 2023,ENGLISH,"8 of 14  responded (57.14%)



 View Report
                            



 Download PDF",,98988,CtmkEaIRhsSP75R5T115eg%3d%3d,K210BLAOhuLBxlRz2Vii%2fw%3d%3d,phHolz4imVzcknpGfUia1Q%3d%3d,2025-11-24T16:08:59.984162
