filename,semester,course,instructor,question_number,question_text,response_text
AAAS-228S-01_Lubiano__Wahneema_Fall_2024.html,Fall 2024,AAAS-228S-01 : FICTIONS THAT MARK THE MOMENT.AAAS-228S-01.ENGLISH-379S-01.LIT-382S-01.,Wahneema Lubiano,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",None other than how to describe and listen very abstract concepts in literature.
AAAS-228S-01_Lubiano__Wahneema_Fall_2024.html,Fall 2024,AAAS-228S-01 : FICTIONS THAT MARK THE MOMENT.AAAS-228S-01.ENGLISH-379S-01.LIT-382S-01.,Wahneema Lubiano,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned to open myself up to new perspectives in writing, and go into deeper thinking into narrative themes and messages. I also learned how to correctly structure a reading response to my ideas are shown clearly. Finally, I learned how to have open discourse around a text and have meaningful conversations about what certain texts mean."
AAAS-228S-01_Lubiano__Wahneema_Fall_2024.html,Fall 2024,AAAS-228S-01 : FICTIONS THAT MARK THE MOMENT.AAAS-228S-01.ENGLISH-379S-01.LIT-382S-01.,Wahneema Lubiano,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1 - How to read a wide variety of style 
2 - How to format my thoughts into an essay
3 - How to focus on a lecture for a long period of time"
AAAS-228S-01_Lubiano__Wahneema_Fall_2024.html,Fall 2024,AAAS-228S-01 : FICTIONS THAT MARK THE MOMENT.AAAS-228S-01.ENGLISH-379S-01.LIT-382S-01.,Wahneema Lubiano,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","This course sparked new ways of thinking about texts.
I learned new methods of looking at texts. 
I gained appreciation of this field of intellectual thought."
AAAS-228S-01_Lubiano__Wahneema_Fall_2024.html,Fall 2024,AAAS-228S-01 : FICTIONS THAT MARK THE MOMENT.AAAS-228S-01.ENGLISH-379S-01.LIT-382S-01.,Wahneema Lubiano,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","This was my first humanities course at Duke so I learned a lot of technical jargon related to modern humanities studies. Specifically, I learned about marginalized characters asserting themselves into fictional text; why fictional text is important; and the concept of magical realism."
AAAS-228S-01_Lubiano__Wahneema_Fall_2024.html,Fall 2024,AAAS-228S-01 : FICTIONS THAT MARK THE MOMENT.AAAS-228S-01.ENGLISH-379S-01.LIT-382S-01.,Wahneema Lubiano,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned to approach fiction from a different perspective. I learned how to better articulate my thoughts in writing. I learned the ways that works of literature can be utilized in crafting narratives around different groups.
AAAS-228S-01_Lubiano__Wahneema_Fall_2024.html,Fall 2024,AAAS-228S-01 : FICTIONS THAT MARK THE MOMENT.AAAS-228S-01.ENGLISH-379S-01.LIT-382S-01.,Wahneema Lubiano,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Became a better writing
Was able to analyze content more thoroughly
Increased reading stamina"
AAAS-228S-01_Lubiano__Wahneema_Fall_2024.html,Fall 2024,AAAS-228S-01 : FICTIONS THAT MARK THE MOMENT.AAAS-228S-01.ENGLISH-379S-01.LIT-382S-01.,Wahneema Lubiano,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I thought the approach to looking at literature was very interesting, and the professor had a lot of insights into the work. The required readings also provided a lot of color, specifically into historical context and how one can read literature."
AAAS-228S-01_Lubiano__Wahneema_Fall_2024.html,Fall 2024,AAAS-228S-01 : FICTIONS THAT MARK THE MOMENT.AAAS-228S-01.ENGLISH-379S-01.LIT-382S-01.,Wahneema Lubiano,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I developed writing skills, learned about symbolism and identity in literature, and gained a better understanding of afro-pessimism and science fiction as genres."
AAAS-228S-01_Lubiano__Wahneema_Fall_2024.html,Fall 2024,AAAS-228S-01 : FICTIONS THAT MARK THE MOMENT.AAAS-228S-01.ENGLISH-379S-01.LIT-382S-01.,Wahneema Lubiano,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to integrate cultural theory with literature, perform close readings of fictions with other natal communities in mind, and see meaning-making as an act of co-creation between reader and writer."
AAAS-228S-01_Lubiano__Wahneema_Fall_2024.html,Fall 2024,AAAS-228S-01 : FICTIONS THAT MARK THE MOMENT.AAAS-228S-01.ENGLISH-379S-01.LIT-382S-01.,Wahneema Lubiano,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about the importance of fiction for marginalized individuals, how to do a close reading of literature, and how to develop better essays."
AAAS-228S-01_Lubiano__Wahneema_Fall_2024.html,Fall 2024,AAAS-228S-01 : FICTIONS THAT MARK THE MOMENT.AAAS-228S-01.ENGLISH-379S-01.LIT-382S-01.,Wahneema Lubiano,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","The environment was great, and the instructor allowed all students to share their thoughts and ideas in a welcome environment."
AAAS-228S-01_Lubiano__Wahneema_Fall_2024.html,Fall 2024,AAAS-228S-01 : FICTIONS THAT MARK THE MOMENT.AAAS-228S-01.ENGLISH-379S-01.LIT-382S-01.,Wahneema Lubiano,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I like that the professor is super helpful in writing essays and always engages and enhances what students say when they talk in class
AAAS-228S-01_Lubiano__Wahneema_Fall_2024.html,Fall 2024,AAAS-228S-01 : FICTIONS THAT MARK THE MOMENT.AAAS-228S-01.ENGLISH-379S-01.LIT-382S-01.,Wahneema Lubiano,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","The instructor is very accessible and supportive to students. I enjoyed individual sessions with my instructor. The teaching method greatly facilitated my learning. I think this was the best course I could have taken to satisfy my Trinity requirements. It did not feel like a fill-in course, rather like a course that greatly contributed to my learning and growth in how I write but also how I see the world."
