filename,semester,course,instructor,question_number,question_text,response_text
ECE-531-01_Peterchev__Angel_Spring_2024.html,Spring 2024,ECE-531-01 : PWR CKTS FOR ENERGY CONVERSION.ECE-531-01.ENRGYEGR-531-01.,Angel Peterchev,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","How to systematically analyze circuits, understand fundamental design tradeoffs in power converter design. Greatly improved my working understanding of general electrical engineering concepts related to power conversion."
ECE-531-01_Peterchev__Angel_Spring_2024.html,Spring 2024,ECE-531-01 : PWR CKTS FOR ENERGY CONVERSION.ECE-531-01.ENRGYEGR-531-01.,Angel Peterchev,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","The circuit simulation software PSIM was my first time using it and was too difficult to master, but it was a great way to learn a new skill. Theoretical knowledge of circuits sometimes requires strong logical thinking."
ECE-531-01_Peterchev__Angel_Spring_2024.html,Spring 2024,ECE-531-01 : PWR CKTS FOR ENERGY CONVERSION.ECE-531-01.ENRGYEGR-531-01.,Angel Peterchev,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned more about the field of power electronics, specifically with circuit analysis. One thing I learned was how to analyze circuits in steady state analysis. Going off of this, we also covered several different types of converters and their basic functions. Lastly, we covered AC circuits by gaining an understanding of how they differ from DC circuits and how they can be analyzed using different methods. Overall, although the course is designed to teach power electronics, by nature of the topic, there is a review of other electronics theories (with capacitors, inductors, power sources, etc)."
ECE-531-01_Peterchev__Angel_Spring_2024.html,Spring 2024,ECE-531-01 : PWR CKTS FOR ENERGY CONVERSION.ECE-531-01.ENRGYEGR-531-01.,Angel Peterchev,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned a lot about general circuit solving methods, and these skills are all skills I wish I had learned earlier. I learned specifically about power circuit analysis and also AC circuit analysis."
ECE-531-01_Peterchev__Angel_Spring_2024.html,Spring 2024,ECE-531-01 : PWR CKTS FOR ENERGY CONVERSION.ECE-531-01.ENRGYEGR-531-01.,Angel Peterchev,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I acquired basic understanding in power circuitry components such as converters and transformers. I obtained basic skills in building equivalent circuit for converters and capabilities in analyzing their conversion affect on AC/DC signals. I also learned about reading and understanding bode plots, and utilize them to help design compensators."
ECE-531-01_Peterchev__Angel_Spring_2024.html,Spring 2024,ECE-531-01 : PWR CKTS FOR ENERGY CONVERSION.ECE-531-01.ENRGYEGR-531-01.,Angel Peterchev,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",The purpose of transformers and their application to things like laptop chargers and larger scale solar and other energy generation devices
ECE-531-01_Peterchev__Angel_Spring_2024.html,Spring 2024,ECE-531-01 : PWR CKTS FOR ENERGY CONVERSION.ECE-531-01.ENRGYEGR-531-01.,Angel Peterchev,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",The lectures were very engaging and the detailed slides and recordings made reviewing lecture material very easy. The example problems for each chapter that were similar to homework problems were very helpful.
ECE-531-01_Peterchev__Angel_Spring_2024.html,Spring 2024,ECE-531-01 : PWR CKTS FOR ENERGY CONVERSION.ECE-531-01.ENRGYEGR-531-01.,Angel Peterchev,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I think the lecture was very structured and organized. I think the slides accompany the book so the only problem with that is if there's more context that students need to conceptualize, they only have one primary source as the slides are synopsis of the book rather than the professor's version. I loved the addition of the lab component where we got to build a converter and analyze it. Seeing the waveforms follow what should be expected by the math was very cool and working with physical component, power supplies, and oscilloscopes was great for me because I haven't in years!"
ECE-531-01_Peterchev__Angel_Spring_2024.html,Spring 2024,ECE-531-01 : PWR CKTS FOR ENERGY CONVERSION.ECE-531-01.ENRGYEGR-531-01.,Angel Peterchev,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Detailed teaching and learning process that is able to analyze and teach abstract issues concretely in response to students' questions.
ECE-531-01_Peterchev__Angel_Spring_2024.html,Spring 2024,ECE-531-01 : PWR CKTS FOR ENERGY CONVERSION.ECE-531-01.ENRGYEGR-531-01.,Angel Peterchev,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","It was also encouraged to ask questions, and oftentimes even if a question was slightly unrelated, the professor would still take time to address and answer it."
