uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
147440_8853_11752807_27091644,LAW-443-02,ENVIRONMENTAL LAW & POLICY CL.LAW-443-02.ENVIRON-869-01.,"Nowlin, Michelle",Spring 2023,LAW,"13 of 14  responded (92.86%)



 View Report
                            



 Download PDF","LAW, ENVIRON",98293,sMVrlhA1P6cQsUEEd%2b6D1g%3d%3d,b8lGmrnAdCs1bHoaALh5qg%3d%3d,7hWX%2fWD3T4fpgcvYkSWA4Q%3d%3d,2025-11-24T16:10:08.784551
147440_8853_11752807_27091646,LAW-443-02,ENVIRONMENTAL LAW & POLICY CL.LAW-443-02.ENVIRON-869-01.,"Longest, Ryke",Spring 2023,LAW,"13 of 14  responded (92.86%)



 View Report
                            



 Download PDF","LAW, ENVIRON",98293,sMVrlhA1P6cQsUEEd%2b6D1g%3d%3d,b8lGmrnAdCs1bHoaALh5qg%3d%3d,aXv%2brziCKHQQD%2fdXb1damw%3d%3d,2025-11-24T16:10:08.784667
149911_8928_11987207_27466661,ENVIRON-268-01,ENVIRONMENTAL INTERN ETHICS.ENVIRON-268-01.,"Vidra, Rebecca",Summer I 2023,NSOE,"6 of 35  responded (17.14%)



 View Report
                            



 Download PDF",ENVIRON,99019,R3taZNKnw14IRH7UBESaUg%3d%3d,9xv%2f2kzLQEX4zFGLPsCBpA%3d%3d,W57TKKy1P0TZgWbPGBJ8Mw%3d%3d,2025-11-24T16:10:08.784762
149911_8928_11987243_27466669,GERMAN-362SA-01,ECONOMICS OF GREEN GERMANY.GERMAN-362SA-01.ENVIRON-367SA-01.ECON-331SA-01.,"Huey, Douglas",Summer I 2023,GERMAN,"7 of 7  responded (100.00%)



 View Report
                            



 Download PDF",,98994,R3taZNKnw14IRH7UBESaUg%3d%3d,9i1vfHc33cMXTJXcQJTv5Q%3d%3d,5f4xZNJIJoyIXG2Teu8Rqg%3d%3d,2025-11-24T16:10:08.784846
152527_9107_12076198_27466683,BIOLOGY-288A-01,BIOGEO AUSTRALIAN CONTEX.BIOLOGY-288A-01.ENVIRON-288A-01.EOS-288A-01.ECS-288A-01.,"Glass, Alexander",Summer II 2023,BIOLOGY,"15 of 18  responded (83.33%)



 View Report
                            



 Download PDF","BIOLOGY, ENVIRON, EOS, ECS",98971,4TxgzUHg4Suz2MS8X7frbw%3d%3d,Focxq%2bs%2fyNwIvH%2fHdDR%2fyA%3d%3d,waNfm8tpMGpJwnFhupu9AA%3d%3d,2025-11-24T16:10:08.784938
154498_9169_12229830_27959559,EGR-590-01,SPECIAL TOPICS IN ENGINEERING.EGR-590-01.ENVIRON-590-01.I&E-590-03.,"Ledlee, Judy",Fall 2023,EGRDEPT,"9 of 20  responded (45.00%)



 View Report
                            



 Download PDF","EGR, ENVIRON, I&E",98896,5NQVVcqSmy0g70dgOR1wxw%3d%3d,a4qsGOoidc2Mb%2ftLu2XXvg%3d%3d,evfLjt0wXgpHPKt4x5ySGw%3d%3d,2025-11-24T16:10:08.785022
154454_9169_12239042_27091602,LAW-298-01,OCEAN & COASTAL LAW & POLICY.LAW-298-01.ENVIRON-775-01.,"Roady, Steve",Fall 2023,LAW,"29 of 39  responded (74.36%)



 View Report
                            



 Download PDF","LAW, ENVIRON",98293,bmBUOgqpON8KYRwGVAheRA%3d%3d,itEvcGmpAQ8Xn8Sd3rwnzA%3d%3d,V3CX8oNZmTA1WXOLqYIRqQ%3d%3d,2025-11-24T16:10:08.785103
154454_9169_12239043_27983681,LAW-636-01,FOOD LAW AND POLICY.LAW-636-01.ENVIRON-536S-01.,"Miller, Lee",Fall 2023,LAW,"20 of 24  responded (83.33%)



 View Report
                            



 Download PDF","LAW, ENVIRON",98293,bmBUOgqpON8KYRwGVAheRA%3d%3d,NtvDjmLWN1NOlIJFmi69yA%3d%3d,dL8j0JtgNKTcKsO%2fmczBPQ%3d%3d,2025-11-24T16:10:08.785182
154454_9169_12239047_27091644,LAW-443-01,ENVIRONMENTAL LAW & POLICY CL.LAW-443-01.ENVIRON-869-01.,"Nowlin, Michelle",Fall 2023,LAW,"14 of 14  responded (100.00%)



 View Report
                            



 Download PDF","LAW, ENVIRON",98293,bmBUOgqpON8KYRwGVAheRA%3d%3d,aJU8kPWhdao%2fsdy118xAcQ%3d%3d,7hWX%2fWD3T4fpgcvYkSWA4Q%3d%3d,2025-11-24T16:10:08.785263
154454_9169_12239047_27091646,LAW-443-01,ENVIRONMENTAL LAW & POLICY CL.LAW-443-01.ENVIRON-869-01.,"Longest, Ryke",Fall 2023,LAW,"14 of 14  responded (100.00%)



 View Report
                            



 Download PDF","LAW, ENVIRON",98293,bmBUOgqpON8KYRwGVAheRA%3d%3d,aJU8kPWhdao%2fsdy118xAcQ%3d%3d,aXv%2brziCKHQQD%2fdXb1damw%3d%3d,2025-11-24T16:10:08.785344
