filename,semester,course,instructor,question_number,question_text,response_text
ENERGY-178FS-01_Murray__Brian_Fall_2023.html,Fall 2023,ENERGY-178FS-01 : ENERGY POL FOR CHANGING WORLD.ENERGY-178FS-01.,Brian Murray,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Different complexities about policy, how policy and energy affect the economy and global markets, critical thinking, and looking at problems from different perspectives. Learned how to read energy diagrams and graphs."
ENERGY-178FS-01_Murray__Brian_Fall_2023.html,Fall 2023,ENERGY-178FS-01 : ENERGY POL FOR CHANGING WORLD.ENERGY-178FS-01.,Brian Murray,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned a lot about the energy transition politically and economically. I learned about how to analyze policy and peoples opinions. I learned how to research and read energy diagrams.
ENERGY-178FS-01_Murray__Brian_Fall_2023.html,Fall 2023,ENERGY-178FS-01 : ENERGY POL FOR CHANGING WORLD.ENERGY-178FS-01.,Brian Murray,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned a lot more about policy analysis, which was very useful because I wasn't familiar with that type of writing previously. Specifically in the way that policy analysis is a combination of political theory, economics, science, and overall understanding. I think it was also very helpful to learn more about the application of this knowledge in a shareable and often focused context whether that be in an analysis of a specific person or the form of discussion posts or the form of a podcast. It was all great! Lastly I think that I learned a lot about how to recognize that all sides have a reason and that none should be ignored for that reason."
ENERGY-178FS-01_Murray__Brian_Fall_2023.html,Fall 2023,ENERGY-178FS-01 : ENERGY POL FOR CHANGING WORLD.ENERGY-178FS-01.,Brian Murray,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I gained knowledge on policy analysis and learned about the complexity in energy policies. Also I developed my writing skills.
ENERGY-178FS-01_Murray__Brian_Fall_2023.html,Fall 2023,ENERGY-178FS-01 : ENERGY POL FOR CHANGING WORLD.ENERGY-178FS-01.,Brian Murray,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","This class was the only non-STEM class I took this semester, so taking this really gave me an opportunity to develop analysis and writing skills. I definitely understand the energy sector far better now and feel more prepared to analyze policies in the United States."
ENERGY-178FS-01_Murray__Brian_Fall_2023.html,Fall 2023,ENERGY-178FS-01 : ENERGY POL FOR CHANGING WORLD.ENERGY-178FS-01.,Brian Murray,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned a lot about how policy at mostly the federal level impacts the US's progress in the renewable energy transition. Specifically, the Inflation Reduction Act helped me gain a better understanding of how a policy plan can have a drastic effect on our energy sources. I also learned about how foreign policy has impacts across economic and resource-related sectors. I gained an appreciation for the work done by smaller businesses and governments towards making this transition possible."
ENERGY-178FS-01_Murray__Brian_Fall_2023.html,Fall 2023,ENERGY-178FS-01 : ENERGY POL FOR CHANGING WORLD.ENERGY-178FS-01.,Brian Murray,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about how interdisciplinary policies are to account for various effects in different aspects of life
I learned about media literacy, especially when it comes to energy and policy, so I feel more confident reading articles about current events in these fields.
I learned about how fluid careers are and how much can change even after you have graduated and entered the work force. I learned this through the various guest lecturers who recounted their journeys."
ENERGY-178FS-01_Murray__Brian_Fall_2023.html,Fall 2023,ENERGY-178FS-01 : ENERGY POL FOR CHANGING WORLD.ENERGY-178FS-01.,Brian Murray,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1. Became a more policy-oriented thinker, I had never studied public policy before.
2. Became more knowledgeable around the energy industry and system in general.
3. Research and writing skills"
ENERGY-178FS-01_Murray__Brian_Fall_2023.html,Fall 2023,ENERGY-178FS-01 : ENERGY POL FOR CHANGING WORLD.ENERGY-178FS-01.,Brian Murray,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I gained an extensive knowledge on all sides of the energy industry; I learned to thinking about problems from a policy standpoint; and I learned the opportunities and challenge in different sectors of the energy space through all of the interesting guest speakers and lectures
ENERGY-178FS-01_Murray__Brian_Fall_2023.html,Fall 2023,ENERGY-178FS-01 : ENERGY POL FOR CHANGING WORLD.ENERGY-178FS-01.,Brian Murray,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","- analyzing current events 
- policy development and analysis 
- connecting different areas of study (ex: policy, economics, science) and navigating the interconnectedness of pressing issues"
ENERGY-178FS-01_Murray__Brian_Fall_2023.html,Fall 2023,ENERGY-178FS-01 : ENERGY POL FOR CHANGING WORLD.ENERGY-178FS-01.,Brian Murray,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1. I learned the policy analysis framework.
2. I have more context about US energy use and its influence in the international relations
3. I know more deeply about energy technologies."
ENERGY-178FS-01_Murray__Brian_Fall_2023.html,Fall 2023,ENERGY-178FS-01 : ENERGY POL FOR CHANGING WORLD.ENERGY-178FS-01.,Brian Murray,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how energy policy is closely integrated with so many areas, including decarbonization, politics, business and more.
I learned how to ask deeper questions based on pre-readings and background knowledge.
I learned how to approach writing from a policy perspective."
ENERGY-178FS-01_Murray__Brian_Fall_2023.html,Fall 2023,ENERGY-178FS-01 : ENERGY POL FOR CHANGING WORLD.ENERGY-178FS-01.,Brian Murray,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","First, I learned about the general structure of the current energy system, including the ways that energy is currently produced, transmitted, and harnessed around the world. We learned why it is this way, and the benefits and drawbacks of the current system, including climate change. We learned about how the energy system is related to policy and the economy. Later in the course, we dived into the idea of the energy transition, why it is happening, and what current policies are fueling it. I learned to think about energy, and other issues, with a wider lens that does not just include my feelings on the subject."
ENERGY-178FS-01_Murray__Brian_Fall_2023.html,Fall 2023,ENERGY-178FS-01 : ENERGY POL FOR CHANGING WORLD.ENERGY-178FS-01.,Brian Murray,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","It was very discussion-based which made it nice to ask questions, clarify, and dive deeper into topics. It was very clear what we needed to have ready and prepared for every class."
ENERGY-178FS-01_Murray__Brian_Fall_2023.html,Fall 2023,ENERGY-178FS-01 : ENERGY POL FOR CHANGING WORLD.ENERGY-178FS-01.,Brian Murray,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",They brought in guest speakers and gave us numerous resources.
