filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
ENERGY-178FS-01_Murray__Brian_Fall_2023.html,Fall 2023,ENERGY-178FS-01 : ENERGY POL FOR CHANGING WORLD.ENERGY-178FS-01.,Brian Murray,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
ENERGY-178FS-01_Murray__Brian_Fall_2023.html,Fall 2023,ENERGY-178FS-01 : ENERGY POL FOR CHANGING WORLD.ENERGY-178FS-01.,Brian Murray,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
ENERGY-178FS-01_Murray__Brian_Fall_2023.html,Fall 2023,ENERGY-178FS-01 : ENERGY POL FOR CHANGING WORLD.ENERGY-178FS-01.,Brian Murray,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,12/13 (92.31%),4.67,0.49,5.00
ENERGY-178FS-01_Murray__Brian_Fall_2023.html,Fall 2023,ENERGY-178FS-01 : ENERGY POL FOR CHANGING WORLD.ENERGY-178FS-01.,Brian Murray,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,12/13 (92.31%),4.67,0.49,5.00
ENERGY-178FS-01_Murray__Brian_Fall_2023.html,Fall 2023,ENERGY-178FS-01 : ENERGY POL FOR CHANGING WORLD.ENERGY-178FS-01.,Brian Murray,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),0,0.00%,12/13 (92.31%),4.67,0.49,5.00
ENERGY-178FS-01_Murray__Brian_Fall_2023.html,Fall 2023,ENERGY-178FS-01 : ENERGY POL FOR CHANGING WORLD.ENERGY-178FS-01.,Brian Murray,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),4,33.33%,12/13 (92.31%),4.67,0.49,5.00
ENERGY-178FS-01_Murray__Brian_Fall_2023.html,Fall 2023,ENERGY-178FS-01 : ENERGY POL FOR CHANGING WORLD.ENERGY-178FS-01.,Brian Murray,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),8,66.67%,12/13 (92.31%),4.67,0.49,5.00
ENERGY-178FS-01_Murray__Brian_Fall_2023.html,Fall 2023,ENERGY-178FS-01 : ENERGY POL FOR CHANGING WORLD.ENERGY-178FS-01.,Brian Murray,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
ENERGY-178FS-01_Murray__Brian_Fall_2023.html,Fall 2023,ENERGY-178FS-01 : ENERGY POL FOR CHANGING WORLD.ENERGY-178FS-01.,Brian Murray,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,13/13 (100%),4.46,0.78,5.00
ENERGY-178FS-01_Murray__Brian_Fall_2023.html,Fall 2023,ENERGY-178FS-01 : ENERGY POL FOR CHANGING WORLD.ENERGY-178FS-01.,Brian Murray,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,13/13 (100%),4.46,0.78,5.00
