filename,semester,course,instructor,question_number,question_text,response_text
BIOLOGY-288A-01_Glass__Alexander_Summer_II_2023.html,Summer II 2023,BIOLOGY-288A-01 : BIOGEO AUSTRALIAN CONTEX.BIOLOGY-288A-01.ENVIRON-288A-01.EOS-288A-01.ECS-288A-01.,Alexander Glass,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","We learned to identify various species of flora and fauna from the places that we visited. Throughout this course, we learned to identify 150+ species. Additionally, we learned about the local indigenous cultures and traditions. We also learned about the history of places that we went such as Australia as a penal colony."
BIOLOGY-288A-01_Glass__Alexander_Summer_II_2023.html,Summer II 2023,BIOLOGY-288A-01 : BIOGEO AUSTRALIAN CONTEX.BIOLOGY-288A-01.ENVIRON-288A-01.EOS-288A-01.ECS-288A-01.,Alexander Glass,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I developed the skill of writing notes in the field, plant and animal identification, biogeography knowledge, ecology knowledge and insight into native culture. We learned about inter connectivity of ecosystems and how humans are involved in it."
BIOLOGY-288A-01_Glass__Alexander_Summer_II_2023.html,Summer II 2023,BIOLOGY-288A-01 : BIOGEO AUSTRALIAN CONTEX.BIOLOGY-288A-01.ENVIRON-288A-01.EOS-288A-01.ECS-288A-01.,Alexander Glass,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I developed the ability to identify so many different flora and fauna of Australia, including very primitive plants. I gained a new perspective on Australian culture and politics, particularly with Indigenous peoples as the traditional custodians of the land. I also took thorough field notes throughout the class, which increased my absorption of the content and enriched my learning."
BIOLOGY-288A-01_Glass__Alexander_Summer_II_2023.html,Summer II 2023,BIOLOGY-288A-01 : BIOGEO AUSTRALIAN CONTEX.BIOLOGY-288A-01.ENVIRON-288A-01.EOS-288A-01.ECS-288A-01.,Alexander Glass,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","-Learned about the what makes Australia the unique place it is today 
-I Learned to appreciate the natural world around me better and I now want to apply a similar method of studying ecosystems to my home in NC"
BIOLOGY-288A-01_Glass__Alexander_Summer_II_2023.html,Summer II 2023,BIOLOGY-288A-01 : BIOGEO AUSTRALIAN CONTEX.BIOLOGY-288A-01.ENVIRON-288A-01.EOS-288A-01.ECS-288A-01.,Alexander Glass,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to take active field notes in a skiable method to a true scientist. I developed a higher degree of flexibility in terms of educational style by learning in a variety of methods, locations and from different teaching styles."
BIOLOGY-288A-01_Glass__Alexander_Summer_II_2023.html,Summer II 2023,BIOLOGY-288A-01 : BIOGEO AUSTRALIAN CONTEX.BIOLOGY-288A-01.ENVIRON-288A-01.EOS-288A-01.ECS-288A-01.,Alexander Glass,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",The most important thing I learned from this course is how to appreciate wildlife. It has inspired me to learn more about my local wildlife and spend more time outdoors. I learned how to take marginally better notes which isn’t saying much but is a step in the right direction. I also learned valuable lessons about how to spot and identify wildlife.
BIOLOGY-288A-01_Glass__Alexander_Summer_II_2023.html,Summer II 2023,BIOLOGY-288A-01 : BIOGEO AUSTRALIAN CONTEX.BIOLOGY-288A-01.ENVIRON-288A-01.EOS-288A-01.ECS-288A-01.,Alexander Glass,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to identify around 200 species, I learned how geology impact landscapes, and I learned about the human history of Australia."
BIOLOGY-288A-01_Glass__Alexander_Summer_II_2023.html,Summer II 2023,BIOLOGY-288A-01 : BIOGEO AUSTRALIAN CONTEX.BIOLOGY-288A-01.ENVIRON-288A-01.EOS-288A-01.ECS-288A-01.,Alexander Glass,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1. I learned about the history of Australia
2. I learned about the flora, fauna, and geology of Australia
3. I learned about the culture of Aboriginal Peoples"
BIOLOGY-288A-01_Glass__Alexander_Summer_II_2023.html,Summer II 2023,BIOLOGY-288A-01 : BIOGEO AUSTRALIAN CONTEX.BIOLOGY-288A-01.ENVIRON-288A-01.EOS-288A-01.ECS-288A-01.,Alexander Glass,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Learned how to better understand a setting from a culture, societal, and biological perspective 
Learned to take good field notes and identity species in the field
Specifically learned to identify the major flora and fauna from Australia and their adaptations to the environment"
BIOLOGY-288A-01_Glass__Alexander_Summer_II_2023.html,Summer II 2023,BIOLOGY-288A-01 : BIOGEO AUSTRALIAN CONTEX.BIOLOGY-288A-01.ENVIRON-288A-01.EOS-288A-01.ECS-288A-01.,Alexander Glass,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","wildlife, aboriginal knowledge, and rock formation"
BIOLOGY-288A-01_Glass__Alexander_Summer_II_2023.html,Summer II 2023,BIOLOGY-288A-01 : BIOGEO AUSTRALIAN CONTEX.BIOLOGY-288A-01.ENVIRON-288A-01.EOS-288A-01.ECS-288A-01.,Alexander Glass,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","This course was incredible. Absolutely wonderful. I learned about the flora and fauna of Australia, Aboriginal cultures, and the fascinating geological processes that have shaped Australia's history, climate, and organisms. Alex Glass and Nancy Lauer connected everything in a beautiful way that really helped me appreciate the intricate links between geology, biology, and human societies."
BIOLOGY-288A-01_Glass__Alexander_Summer_II_2023.html,Summer II 2023,BIOLOGY-288A-01 : BIOGEO AUSTRALIAN CONTEX.BIOLOGY-288A-01.ENVIRON-288A-01.EOS-288A-01.ECS-288A-01.,Alexander Glass,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about the intricate aspects and relationships of flora, fauna, geology, and clumsier in Australia."
BIOLOGY-288A-01_Glass__Alexander_Summer_II_2023.html,Summer II 2023,BIOLOGY-288A-01 : BIOGEO AUSTRALIAN CONTEX.BIOLOGY-288A-01.ENVIRON-288A-01.EOS-288A-01.ECS-288A-01.,Alexander Glass,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about how the continent of Australia was formed, I learned about MANY of the plants and animals native to Australia, and I learned about the Aboriginal culture of Australia and how Europe has impacted it."
BIOLOGY-288A-01_Glass__Alexander_Summer_II_2023.html,Summer II 2023,BIOLOGY-288A-01 : BIOGEO AUSTRALIAN CONTEX.BIOLOGY-288A-01.ENVIRON-288A-01.EOS-288A-01.ECS-288A-01.,Alexander Glass,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","This course allowed me to learn ""on the go"". Writing in our field notebooks outside the traditional classroom setting for tours, hikes or at wildflife allowed me to take a step back and absorb the information I was learning. Being able to see, hear and then write about the flora and fauna we learned about allowed me to organize eveything in the brain, providing me a more enriching course."
BIOLOGY-288A-01_Glass__Alexander_Summer_II_2023.html,Summer II 2023,BIOLOGY-288A-01 : BIOGEO AUSTRALIAN CONTEX.BIOLOGY-288A-01.ENVIRON-288A-01.EOS-288A-01.ECS-288A-01.,Alexander Glass,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned about the culture and history of the Aboriginal People of Australia while also learning about the history of colonization and flora/fauna of the nation.
BIOLOGY-288A-01_Glass__Alexander_Summer_II_2023.html,Summer II 2023,BIOLOGY-288A-01 : BIOGEO AUSTRALIAN CONTEX.BIOLOGY-288A-01.ENVIRON-288A-01.EOS-288A-01.ECS-288A-01.,Alexander Glass,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","Dr. Glass and Dr. Lauer made this course incredibly engaging. During our outdoor activities such as hikes, they would point out prevalent species of plants and animals and talk about processes involved in that environment. We had a quiz for each leg of the trip and review sessions. Dr. Glass and Dr. Lauer were always open to and encouraged asking of questions. We also got to hear from a range of perspectives from our various guides. I particularly enjoyed the Kakadu camping expedition, Sydney tours, and activities at Cape Tribulation."
BIOLOGY-288A-01_Glass__Alexander_Summer_II_2023.html,Summer II 2023,BIOLOGY-288A-01 : BIOGEO AUSTRALIAN CONTEX.BIOLOGY-288A-01.ENVIRON-288A-01.EOS-288A-01.ECS-288A-01.,Alexander Glass,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","The field notebooks, hands on learning, hiking and fish surveys all facilitated learning. Our professors were able to use lectures in addition to in the field exploration."
BIOLOGY-288A-01_Glass__Alexander_Summer_II_2023.html,Summer II 2023,BIOLOGY-288A-01 : BIOGEO AUSTRALIAN CONTEX.BIOLOGY-288A-01.ENVIRON-288A-01.EOS-288A-01.ECS-288A-01.,Alexander Glass,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","The instructors talked to us about aspects of Australia, including flora and fauna, while at the specific sites and showing the specific aspects they were discussing as well. We had ""optional"" review sessions, although they were definitely necessary to succeed in this class and also enrich our learning. This program was absolutely wonderful."
BIOLOGY-288A-01_Glass__Alexander_Summer_II_2023.html,Summer II 2023,BIOLOGY-288A-01 : BIOGEO AUSTRALIAN CONTEX.BIOLOGY-288A-01.ENVIRON-288A-01.EOS-288A-01.ECS-288A-01.,Alexander Glass,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",-Lots of informative tours and field trips allowed me to gain a proper hands learning experience about Australia
BIOLOGY-288A-01_Glass__Alexander_Summer_II_2023.html,Summer II 2023,BIOLOGY-288A-01 : BIOGEO AUSTRALIAN CONTEX.BIOLOGY-288A-01.ENVIRON-288A-01.EOS-288A-01.ECS-288A-01.,Alexander Glass,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I loved the splitting up of the trip into four academic quarters. It made it easier to compartmentalism different knowledge. In addition, I really enjoyed having the presentations be due before I left for the trip. It eased the stress of having to do a presentation and allowed me a chance to do my own research and get excited about the program."
BIOLOGY-288A-01_Glass__Alexander_Summer_II_2023.html,Summer II 2023,BIOLOGY-288A-01 : BIOGEO AUSTRALIAN CONTEX.BIOLOGY-288A-01.ENVIRON-288A-01.EOS-288A-01.ECS-288A-01.,Alexander Glass,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Dr. Glass and Dr. Lauer are the best professors that I’ve had in any class ever. They are such interesting engaging kind wonderful people and I feel so lucky to know them. They’ve done such an amazing job designing this course. All the activities were educational and interesting and I’ve never learned so much and had so much fun doing it. I wouldn’t change anything about this class.
BIOLOGY-288A-01_Glass__Alexander_Summer_II_2023.html,Summer II 2023,BIOLOGY-288A-01 : BIOGEO AUSTRALIAN CONTEX.BIOLOGY-288A-01.ENVIRON-288A-01.EOS-288A-01.ECS-288A-01.,Alexander Glass,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I found the lectures by Dr. Lauer and Dr. Glass to be the most informative.
BIOLOGY-288A-01_Glass__Alexander_Summer_II_2023.html,Summer II 2023,BIOLOGY-288A-01 : BIOGEO AUSTRALIAN CONTEX.BIOLOGY-288A-01.ENVIRON-288A-01.EOS-288A-01.ECS-288A-01.,Alexander Glass,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I would keep the structure surrounding the blogs, presentations, and lectures/documentary quizzes. I liked that it gave students the opportunity to go at their own pace when completing the lectures/documentaries and that what we learned in them where things we saw in the field."
BIOLOGY-288A-01_Glass__Alexander_Summer_II_2023.html,Summer II 2023,BIOLOGY-288A-01 : BIOGEO AUSTRALIAN CONTEX.BIOLOGY-288A-01.ENVIRON-288A-01.EOS-288A-01.ECS-288A-01.,Alexander Glass,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",It was amazing- the low pressure nature of the Sakai quizzes and interesting assignments combined with all of the great excursions facilitated a positive learning environment rather than stressed memorization
BIOLOGY-288A-01_Glass__Alexander_Summer_II_2023.html,Summer II 2023,BIOLOGY-288A-01 : BIOGEO AUSTRALIAN CONTEX.BIOLOGY-288A-01.ENVIRON-288A-01.EOS-288A-01.ECS-288A-01.,Alexander Glass,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","we learned what we saw on the trip, not on the text book, this is great way to learn"
