uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
153858_9169_12282432_28112011,ETHICS-315S-01,PHILOSOPHY/ETHICS OF SPORT.ETHICS-315S-01.,"Kennedy, Christophe",Fall 2023,ETHICS,"7 of 16  responded (43.75%)



 View Report
                            



 Download PDF",ETHICS,98991,CtmkEaIRhsSP75R5T115eg%3d%3d,b9WyvLi0bqUYTMTu9t1Vyg%3d%3d,vJQ8oTHrOmgNjISVKazFZQ%3d%3d,2025-11-24T16:12:49.430903
153858_9169_12282493_28112006,ETHICS-189-04,WHAT NOW?.ETHICS-189-04.,"Ferney, Christian",Fall 2023,ETHICS,"6 of 13  responded (46.15%)



 View Report
                            



 Download PDF",ETHICS,98991,CtmkEaIRhsSP75R5T115eg%3d%3d,CX7d8Hq0wUgbA5Gd%2bx%2bpLA%3d%3d,nmlmKgrXcsCNTbHFkknanw%3d%3d,2025-11-24T16:12:49.431027
153858_9169_12282558_28112006,ETHICS-189-03,WHAT NOW?.ETHICS-189-03.,"Ferney, Christian",Fall 2023,ETHICS,"31 of 64  responded (48.44%)



 View Report
                            



 Download PDF",ETHICS,98991,CtmkEaIRhsSP75R5T115eg%3d%3d,Vli2KC2H8ZfPmdH28IG2HQ%3d%3d,nmlmKgrXcsCNTbHFkknanw%3d%3d,2025-11-24T16:12:49.431113
153858_9169_12282595_28112006,ETHICS-189-01,WHAT NOW?.ETHICS-189-01.,"Ferney, Christian",Fall 2023,ETHICS,"39 of 94  responded (41.49%)



 View Report
                            



 Download PDF",ETHICS,98991,CtmkEaIRhsSP75R5T115eg%3d%3d,fjFz%2fQUBdgowlUs6B4%2fDfA%3d%3d,nmlmKgrXcsCNTbHFkknanw%3d%3d,2025-11-24T16:12:49.431192
153858_9169_12282702_27991590,ENGLISH-290-7-01,SP TOP IN LANG & LIT.ENGLISH-290-7-01.ETHICS-290-01.GERMAN-290-1-01.LIT-290-01.,"Stan, Corina",Fall 2023,ENGLISH,"11 of 12  responded (91.67%)



 View Report
                            



 Download PDF","ENGLISH, ETHICS, GERMAN, LIT",98988,CtmkEaIRhsSP75R5T115eg%3d%3d,0eo%2b9w4uWNEDLs67rU6yaQ%3d%3d,H8XF3Gq%2bAw5u6Whu49Q2Uw%3d%3d,2025-11-24T16:12:49.431274
153858_9169_12282702_28080165,ENGLISH-290-7-01,SP TOP IN LANG & LIT.ENGLISH-290-7-01.ETHICS-290-01.GERMAN-290-1-01.LIT-290-01.,"Pfau, Thomas",Fall 2023,ENGLISH,"11 of 12  responded (91.67%)



 View Report
                            



 Download PDF","ENGLISH, ETHICS, GERMAN, LIT",98988,CtmkEaIRhsSP75R5T115eg%3d%3d,0eo%2b9w4uWNEDLs67rU6yaQ%3d%3d,35KfGioN89TNtCv1628PzQ%3d%3d,2025-11-24T16:12:49.431355
153858_9169_12282723_28112119,ETHICS-247S-01,"HUMAN FLOURISHING, DIGITAL AGE.ETHICS-247S-01.COMPSCI-247S-01.","Hartemink, Alexander",Fall 2023,ETHICS,"15 of 18  responded (83.33%)



 View Report
                            



 Download PDF","ETHICS, COMPSCI",98991,CtmkEaIRhsSP75R5T115eg%3d%3d,gggFLarBoEWG82BdsR2ZPA%3d%3d,sLBNzYN3EqRyh8RVpRUFzA%3d%3d,2025-11-24T16:12:49.431437
153858_9169_12282764_28112134,ETHICS-365-01,HOW TO RULE THE WORLD.ETHICS-365-01.CLST-277-01.POLSCI-334-01.,"Watkins, Alfredo",Fall 2023,ETHICS,"13 of 15  responded (86.67%)



 View Report
                            



 Download PDF","ETHICS, CLST, POLSCI",98991,CtmkEaIRhsSP75R5T115eg%3d%3d,HaW0mS4hqaI0LKlme7ipbQ%3d%3d,2gjZ9ggij0UTfRMtr0jZOg%3d%3d,2025-11-24T16:12:49.431516
153858_9169_12282794_27445826,CLST-214-01,MEDICINE AND HUMAN FLOURISHING.CLST-214-01.ETHICS-214-01.GLHLTH-238-01.,"Gonzalez, Jose",Fall 2023,CLASSICAL,"9 of 25  responded (36.00%)



 View Report
                            



 Download PDF","CLST, ETHICS, GLHLTH",98974,CtmkEaIRhsSP75R5T115eg%3d%3d,VjLftEIiQdcVZ64stjffyA%3d%3d,Io5kFdzHTTjsLWEVZRX0Rg%3d%3d,2025-11-24T16:12:49.431594
153858_9169_12282813_28112138,ETHICS-212-01,ECOLOGY AND THE HUMAN GOOD.ETHICS-212-01.ENVIRON-213-01.POLSCI-209-01.,"Ebert, Aaron",Fall 2023,ETHICS,"7 of 8  responded (87.50%)



 View Report
                            



 Download PDF","ETHICS, ENVIRON, POLSCI",98991,CtmkEaIRhsSP75R5T115eg%3d%3d,LJgYr4oART1Ga%2fTyJTy8%2fQ%3d%3d,8nvinwox%2fcKN5s6LWpubIQ%3d%3d,2025-11-24T16:12:49.431674
153858_9169_12282843_28112134,ETHICS-213-01,EXPLORING SCIENCE AND RELIGION.ETHICS-213-01.NEUROSCI-233-01.PHIL-213-01.,"Watkins, Alfredo",Fall 2023,ETHICS,"25 of 30  responded (83.33%)



 View Report
                            



 Download PDF","ETHICS, NEUROSCI, PHIL",98991,CtmkEaIRhsSP75R5T115eg%3d%3d,fMfMmnfUP2ZVI0w5pO%2f1Sw%3d%3d,2gjZ9ggij0UTfRMtr0jZOg%3d%3d,2025-11-24T16:12:49.431776
153858_9169_12282857_27445955,CLST-210-01,THE GOOD LIFE.CLST-210-01.ETHICS-210-01.PHIL-214-01.PUBPOL-229-01.RELIGION-210-01.,"Atkins, Jed",Fall 2023,CLASSICAL,"48 of 122  responded (39.34%)



 View Report
                            



 Download PDF","CLST, ETHICS, PHIL, PUBPOL, RELIGION",98974,CtmkEaIRhsSP75R5T115eg%3d%3d,3fw10u9O%2fpjBJyGrp3s%2bcQ%3d%3d,cagrsFCAf5fxNvz1I8o%2bfg%3d%3d,2025-11-24T16:12:49.431862
