filename,semester,course,instructor,question_number,question_text,response_text
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","-How to speed read and pick out fun facts in a book of nonfiction
-Various cool facts about civilization and it's connection to nature over time, such as the world's first mummies actually being in Latin America and discovered in 1983
-An understanding that Native Americans probably had a vast and largely population  society before Columbus arrived"
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","discussion skills, summarization skills, engagement skills"
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned new ways of thinking about our past and science. I learned great presenting skills. I learned insight into his very interesting own science research
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I think you need to be confident enough to speak in class, complete the readings, and it is good to always come in with questions or areas of the reading you found interesting."
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to present and lead a discussion, learned how biology influences the structure of our civilizations, and examined evolution's effects on humans."
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Learned to see links between natural and human sciencesBetter understanding of how and why humans developed the traits we have come to take for grantedDeeper knowledge of the interactions between early European settlers and Native American groups
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","-Explained topics well in a way that encouraged discussion
-Professor was pepared with notes on key topics of every chapter
-Gave students feedback on their ability to spark discussion between others
-Took the time to know students individually and understand their background"
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","It was an amazing class and a very friendly environment that made me make friends with everyone in the class. Our class cultures was very close, and our professor did a great job in organizing the class and making it engaging and fun."
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I really like the concept of each student teaching the class 4-5 times, I think it keeps people engaged."
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",The instructor facilitated meaningful conversations with interesting questions and allowing the students to guide our class's discussion towards what we were curious on. I would keep the class the same in the future.
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","Set up for a lot of discussion, encouraged learning from peers. Helped us organize large amounts of info by having us lead entire classes."
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,It was stimulating because it focused on historical misconceptions that were interesting to disprove
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,The teacher selected great books that really went deep into the context while also making it engaging for class discussions. I enjoyed our class discussions a lot.
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,This class was stimulating because it was a constant discussion. These kinds of constant discussions I believe keep people intrigued and interested.
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,It was stimulating.
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,7,What would you like to say about this course to a student who is considering taking it in the future?,Read the chapters and come to class prepared
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,7,What would you like to say about this course to a student who is considering taking it in the future?,This class teaches you so much about the history of evolution and civilization and bridges a lot of gaps you might have had in the history timeline in regard to all of that. Class discussions are very engaging and it is a great class to make friends in as you present with a random classmate quite often.
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,7,What would you like to say about this course to a student who is considering taking it in the future?,"You should definitely take this class, it is so engaging and the class atmosphere is so fun and positive."
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,7,What would you like to say about this course to a student who is considering taking it in the future?,It is an interesting course and a good first-year seminar.
BIOLOGY-89S-03_Cunningham__Clifford_Fall_2023.html,Fall 2023,BIOLOGY-89S-03 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-03.ETHICS-89S-08.,Clifford Cunningham,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about aging and senescing which I thought was really cool and new and interesting. I learned how to view the world around me as a system rather than as just independent parts because in the end, everything is connected. I also learned that jellyfish have eyes."
BIOLOGY-89S-03_Cunningham__Clifford_Fall_2023.html,Fall 2023,BIOLOGY-89S-03 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-03.ETHICS-89S-08.,Clifford Cunningham,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",About our biological history in relation to ancient times. How our body works. All about evolution and how traits are passed and evolve.
BIOLOGY-89S-03_Cunningham__Clifford_Fall_2023.html,Fall 2023,BIOLOGY-89S-03 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-03.ETHICS-89S-08.,Clifford Cunningham,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned a lot about the evolution of the human kind and how our body works.
BIOLOGY-89S-03_Cunningham__Clifford_Fall_2023.html,Fall 2023,BIOLOGY-89S-03 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-03.ETHICS-89S-08.,Clifford Cunningham,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Critical thinking about evolution, how everything can have a biological reasoning behind it, how to be more critical when learning new material."
BIOLOGY-89S-03_Cunningham__Clifford_Fall_2023.html,Fall 2023,BIOLOGY-89S-03 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-03.ETHICS-89S-08.,Clifford Cunningham,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",a different perspective on life and how humans came to be
BIOLOGY-89S-03_Cunningham__Clifford_Fall_2023.html,Fall 2023,BIOLOGY-89S-03 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-03.ETHICS-89S-08.,Clifford Cunningham,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learn about the evolution of humans and how they evolved from fish
