filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",9/12 (75%),4.89,0.33,5.00,9,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 1 (11.11%); Excellent: 8 (88.89%)
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",9/12 (75%),4.89,0.33,5.00,9,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 1 (11.11%); Excellent: 8 (88.89%)
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",9/12 (75%),5.00,0.00,5.00,9,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 0 (0.00%); Excellent: 9 (100.00%)
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,8,The course was difficult.,9/12 (75%),2.11,0.78,2.00,9,Strongly disagree: 2 (22.22%); Disagree: 4 (44.44%); Neither agree nor disagree: 3 (33.33%); Agree: 0 (0.00%); Strongly agree: 0 (0.00%)
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,9/12 (75%),3.00,1.80,2.00,9,1: 1 (11.11%); 2: 4 (44.44%); 3: 1 (11.11%); 4: 2 (22.22%); 5: 0 (0.00%); 6: 0 (0.00%); 7: 1 (11.11%); 8: 0 (0.00%); 9: 0 (0.00%); 10+: 0 (0.00%)
BIOLOGY-89S-03_Cunningham__Clifford_Fall_2023.html,Fall 2023,BIOLOGY-89S-03 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-03.ETHICS-89S-08.,Clifford Cunningham,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
