filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,9/12 (75%),4.89,0.33,5.00
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,9/12 (75%),4.89,0.33,5.00
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),0,0.00%,9/12 (75%),4.89,0.33,5.00
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),1,11.11%,9/12 (75%),4.89,0.33,5.00
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),8,88.89%,9/12 (75%),4.89,0.33,5.00
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,9/12 (75%),4.89,0.33,5.00
BIOLOGY-89S-01_Cunningham__Clifford_Fall_2024.html,Fall 2024,BIOLOGY-89S-01 : FIRST-YEAR SEMINAR (TOP).BIOLOGY-89S-01.ETHICS-89S-06.,Clifford Cunningham,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,9/12 (75%),4.89,0.33,5.00
