uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
154503_9169_12241526_27991624,UPE-702-01,INDIVIDUALS TO COMMUNITIES.UPE-702-01.BIOLOGY-842-01.ENVIRON-842-01.EVANTH-742-01.,"Wright, Justin",Fall 2023,ECOLOGY,"7 of 11  responded (63.64%)



 View Report
                            



 Download PDF","UPE, BIOLOGY, ENVIRON, EVANTH",98836,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,imMM46rl09E2AUM6Xh4U7A%3d%3d,uH5KqZ2MAhM175vB2Vmtgg%3d%3d,2025-11-24T16:13:35.392094
154503_9169_12241526_27991627,UPE-702-01,INDIVIDUALS TO COMMUNITIES.UPE-702-01.BIOLOGY-842-01.ENVIRON-842-01.EVANTH-742-01.,"Clark, James",Fall 2023,ECOLOGY,"7 of 11  responded (63.64%)



 View Report
                            



 Download PDF","UPE, BIOLOGY, ENVIRON, EVANTH",98836,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,imMM46rl09E2AUM6Xh4U7A%3d%3d,wASrtGOtx6wceHV8Y8rO9g%3d%3d,2025-11-24T16:13:35.392187
154503_9169_12241564_27991629,BIOLOGY-701-01,GRADUATE SCHOOL 101.BIOLOGY-701-01.EVANTH-705-01.UPGEN-711-01.,"Noor, Mohamed",Fall 2023,BIOLOGY,"14 of 23  responded (60.87%)



 View Report
                            



 Download PDF","BIOLOGY, EVANTH, UPGEN",98819,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,TJkL6pC%2b7tqhA%2bDwGvreew%3d%3d,hHYtLfmRO5BLvsAc4hsPzg%3d%3d,2025-11-24T16:13:35.392267
153858_9169_12282444_28111978,EVANTH-101D-001,INTRO TO EVOLUTIONARY ANTHRO.EVANTH-101D-001.,"Pontzer, Herman",Fall 2023,EVANTH,"14 of 24  responded (58.33%)



 View Report
                            



 Download PDF",EVANTH,98992,CtmkEaIRhsSP75R5T115eg%3d%3d,MnRxH3p9OANEimVE1Rvu7Q%3d%3d,SWnoECgn5EhrC7zB2O20ZQ%3d%3d,2025-11-24T16:13:35.392362
153858_9169_12282455_27445843,EVANTH-344L-01L,PRIMATE FIELD BIOLOGY.EVANTH-344L-01L.,"Digby, Leslie",Fall 2023,EVANTH,"6 of 10  responded (60.00%)



 View Report
                            



 Download PDF",,98992,CtmkEaIRhsSP75R5T115eg%3d%3d,TZfj4vhP1rYe9Y08BwQ75g%3d%3d,ETQwOzoeJNBCQlxB3Nw8Qg%3d%3d,2025-11-24T16:13:35.392453
153858_9169_12282470_28111976,EVANTH-315S-01,HUMAN BIOLOGICAL VARIATION.EVANTH-315S-01.,"Gomez Guevara, Elaine",Fall 2023,EVANTH,"5 of 13  responded (38.46%)



 View Report
                            



 Download PDF",EVANTH,98992,CtmkEaIRhsSP75R5T115eg%3d%3d,1wFaK9n2whVfptggdSjJpw%3d%3d,g43k53Uo7P9yX7XGKMJIvg%3d%3d,2025-11-24T16:13:35.392543
153858_9169_12282506_28111978,EVANTH-101-01,INTRO EVOLUTIONARY ANTHRO.EVANTH-101-01.,"Pontzer, Herman",Fall 2023,EVANTH,"27 of 49  responded (55.10%)



 View Report
                            



 Download PDF",EVANTH,98992,CtmkEaIRhsSP75R5T115eg%3d%3d,I1dCbCuDy1n2wDmGsv9VqA%3d%3d,SWnoECgn5EhrC7zB2O20ZQ%3d%3d,2025-11-24T16:13:35.392619
153858_9169_12282519_28111978,EVANTH-330-01,HUMAN EVOLUTIONARY PHYSIOLOGY.EVANTH-330-01.,"Pontzer, Herman",Fall 2023,EVANTH,"5 of 37  responded (13.51%)



 View Report
                            



 Download PDF",EVANTH,98992,CtmkEaIRhsSP75R5T115eg%3d%3d,k1yx8OtH8w61VUCV0ZIyrw%3d%3d,SWnoECgn5EhrC7zB2O20ZQ%3d%3d,2025-11-24T16:13:35.392696
153858_9169_12282532_28111998,EVANTH-253-01,PRIMATE ECOLOGY.EVANTH-253-01.,"Feldblum, Joseph",Fall 2023,EVANTH,"8 of 14  responded (57.14%)



 View Report
                            



 Download PDF",EVANTH,98992,CtmkEaIRhsSP75R5T115eg%3d%3d,9TNcJh2kXV%2bhk7HVR%2bENDA%3d%3d,GRe8fjOcnEAWMtQNaAAa4w%3d%3d,2025-11-24T16:13:35.392770
153858_9169_12282600_27445843,EVANTH-495S-01,ADV RESEARCH EVOL/ANTHROPOLOGY.EVANTH-495S-01.,"Digby, Leslie",Fall 2023,EVANTH,"6 of 7  responded (85.71%)



 View Report
                            



 Download PDF",EVANTH,98992,CtmkEaIRhsSP75R5T115eg%3d%3d,AbOKmUS1BRsyPMz1w6pZqQ%3d%3d,ETQwOzoeJNBCQlxB3Nw8Qg%3d%3d,2025-11-24T16:13:35.392897
153858_9169_12283095_27445882,NEUROSCI-380L-01L,FUNCTIONAL NEUROANATOMY.NEUROSCI-380L-01L.EVANTH-337L-01L.PSY-375L-01L.,"White, Len",Fall 2023,NEUROSCIEN,"11 of 24  responded (45.83%)



 View Report
                            



 Download PDF",,99017,CtmkEaIRhsSP75R5T115eg%3d%3d,svLHcIJY2Kq6KcCHC7pxkQ%3d%3d,W3bW5OW%2be2eFpVSTIhLNPQ%3d%3d,2025-11-24T16:13:35.392981
161337_9470_12750523_28111998,EVANTH-359S-01,PRIMATE CONSERVATION.EVANTH-359S-01.,"Feldblum, Joseph",Spring 2024,EVANTH,"10 of 11  responded (90.91%)



 View Report
                            



 Download PDF",EVANTH,98992,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,j8AzcrDfDhGWdxQMtd8%2bTQ%3d%3d,GRe8fjOcnEAWMtQNaAAa4w%3d%3d,2025-11-24T16:13:35.393059
161337_9470_12750569_28111999,EVANTH-333L-01L,THE HUMAN BODY.EVANTH-333L-01L.,"Selig, Keegan",Spring 2024,EVANTH,"6 of 13  responded (46.15%)



 View Report
                            



 Download PDF",,98992,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,TaU0gUyx10d8F1mSNWEaxw%3d%3d,uAspQ5E6%2fAW4rwIoWTt2YQ%3d%3d,2025-11-24T16:13:35.393137
161337_9470_12750569_28807757,EVANTH-333L-01L,THE HUMAN BODY.EVANTH-333L-01L.,"Boyer, Douglas",Spring 2024,EVANTH,"6 of 13  responded (46.15%)



 View Report
                            



 Download PDF",,98992,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,TaU0gUyx10d8F1mSNWEaxw%3d%3d,W%2b7AXxK1uaZfhg%2b6Ut2XAQ%3d%3d,2025-11-24T16:13:35.393212
161337_9470_12750600_27445843,EVANTH-344L-01L,PRIMATE FIELD BIOLOGY.EVANTH-344L-01L.,"Digby, Leslie",Spring 2024,EVANTH,"7 of 8  responded (87.50%)



 View Report
                            



 Download PDF",,98992,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,EP%2bxpTxYV3%2f4xZW%2fehIftw%3d%3d,ETQwOzoeJNBCQlxB3Nw8Qg%3d%3d,2025-11-24T16:13:35.393285
161337_9470_12750619_28111999,EVANTH-333L-001,THE HUMAN BODY.EVANTH-333L-001.,"Selig, Keegan",Spring 2024,EVANTH,"22 of 35  responded (62.86%)



 View Report
                            



 Download PDF",EVANTH,98992,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,SVI8nqeDbo745ZgsnRabig%3d%3d,uAspQ5E6%2fAW4rwIoWTt2YQ%3d%3d,2025-11-24T16:13:35.393887
161337_9470_12750619_28807757,EVANTH-333L-001,THE HUMAN BODY.EVANTH-333L-001.,"Boyer, Douglas",Spring 2024,EVANTH,"22 of 35  responded (62.86%)



 View Report
                            



 Download PDF",EVANTH,98992,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,SVI8nqeDbo745ZgsnRabig%3d%3d,W%2b7AXxK1uaZfhg%2b6Ut2XAQ%3d%3d,2025-11-24T16:13:35.393989
161337_9470_12750625_28111976,EVANTH-101D-001,INTRO TO EVOLUTIONARY ANTHRO.EVANTH-101D-001.,"Gomez Guevara, Elaine",Spring 2024,EVANTH,"15 of 27  responded (55.56%)



 View Report
                            



 Download PDF",EVANTH,98992,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,mCE7PoyV60xHj6wYslr0eg%3d%3d,g43k53Uo7P9yX7XGKMJIvg%3d%3d,2025-11-24T16:13:35.394074
161337_9470_12750639_28111999,EVANTH-333L-03L,THE HUMAN BODY.EVANTH-333L-03L.,"Selig, Keegan",Spring 2024,EVANTH,"6 of 12  responded (50.00%)



 View Report
                            



 Download PDF",,98992,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,eRUMNy3vSu3d73jRjdNzHQ%3d%3d,uAspQ5E6%2fAW4rwIoWTt2YQ%3d%3d,2025-11-24T16:13:35.394153
161337_9470_12750639_28807757,EVANTH-333L-03L,THE HUMAN BODY.EVANTH-333L-03L.,"Boyer, Douglas",Spring 2024,EVANTH,"6 of 12  responded (50.00%)



 View Report
                            



 Download PDF",,98992,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,eRUMNy3vSu3d73jRjdNzHQ%3d%3d,W%2b7AXxK1uaZfhg%2b6Ut2XAQ%3d%3d,2025-11-24T16:13:35.394229
161337_9470_12750677_28111976,EVANTH-101-01,INTRO EVOLUTIONARY ANTHRO.EVANTH-101-01.,"Gomez Guevara, Elaine",Spring 2024,EVANTH,"25 of 45  responded (55.56%)



 View Report
                            



 Download PDF",EVANTH,98992,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,7YkA5e6o1ZQhEFYsqIw1zQ%3d%3d,g43k53Uo7P9yX7XGKMJIvg%3d%3d,2025-11-24T16:13:36.340502
161337_9470_12750943_28112239,BIOLOGY-267D-1-001,BEHAVIORAL ECOLOGY.BIOLOGY-267D-1-001.EVANTH-347D-1-001.,"Kerr, Natalie",Spring 2024,BIOLOGY,"10 of 31  responded (32.26%)



 View Report
                            



 Download PDF","BIOLOGY, EVANTH",98971,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,vdJBki4Dl8prf5nu11nPdA%3d%3d,lhlSgD3nUSZvZGgL1hR2SQ%3d%3d,2025-11-24T16:13:36.340607
161337_9470_12750970_28807817,NEUROSCI-380L-01L,FUNCTIONAL NEUROANATOMY.NEUROSCI-380L-01L.EVANTH-337L-01L.PSY-375L-01L.,"Zeininger, Angel",Spring 2024,NEUROSCIEN,"9 of 24  responded (37.50%)



 View Report
                            



 Download PDF",,99017,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,W%2fH7MSTilflKwKFiERAtVA%3d%3d,Ks5CHbKmsKfXxwRuhZR1aw%3d%3d,2025-11-24T16:13:36.340686
161337_9470_12751041_28807814,EVANTH-341D-001,PRIMATE SEXUALITY.EVANTH-341D-001.BIOLOGY-321D-001.,"Drea, Christine",Spring 2024,EVANTH,"10 of 14  responded (71.43%)



 View Report
                            



 Download PDF","EVANTH, BIOLOGY",98992,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,zZ4dcxOAtmzlGTPOdXvCcA%3d%3d,Ol4IguPtYSttlHyk3rG6LQ%3d%3d,2025-11-24T16:13:36.340765
161337_9470_12751208_28111998,EVANTH-260-01,HUMAN COGNITIVE EVOLUTION.EVANTH-260-01.NEUROSCI-260-01.PSY-255-01.,"Feldblum, Joseph",Spring 2024,EVANTH,"25 of 28  responded (89.29%)



 View Report
                            



 Download PDF","EVANTH, NEUROSCI, PSY",98992,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,NkYDGEysQRQH6X8cHlXsKQ%3d%3d,GRe8fjOcnEAWMtQNaAAa4w%3d%3d,2025-11-24T16:13:36.340843
161337_9470_12751226_28807814,EVANTH-363S-01,ANIMAL INTELL & SOCIAL BRAIN.EVANTH-363S-01.BIOLOGY-363S-01.NEUROSCI-361S-01.,"Drea, Christine",Spring 2024,EVANTH,"6 of 14  responded (42.86%)



 View Report
                            



 Download PDF","EVANTH, BIOLOGY, NEUROSCI",98992,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,jmPXhCgKtADHfWtCwJDtBA%3d%3d,Ol4IguPtYSttlHyk3rG6LQ%3d%3d,2025-11-24T16:13:36.340920
171571_9973_13446622_27991629,BIOLOGY-701-01,GRADUATE SCHOOL 101.BIOLOGY-701-01.EVANTH-705-01.UPGEN-711-01.,"Noor, Mohamed",Fall 2024,BIOLOGY,"13 of 22  responded (59.09%)



 View Report
                            



 Download PDF","BIOLOGY, EVANTH, UPGEN",98819,q5OO4BI97gXGGxeB4X%2bILQ%3d%3d,8mMQzvmDoCzQn356Al%2fV0Q%3d%3d,hHYtLfmRO5BLvsAc4hsPzg%3d%3d,2025-11-24T16:13:36.340993
171571_9973_13645521_28807757,EVANTH-585-01,STATS IN EVOLUTIONARY RESEARCH.EVANTH-585-01.,"Boyer, Douglas",Fall 2024,EVANTH,"6 of 9  responded (66.67%)



 View Report
                            



 Download PDF",EVANTH,98843,q5OO4BI97gXGGxeB4X%2bILQ%3d%3d,MDvbXscDRHt8ptdaleOAtA%3d%3d,W%2b7AXxK1uaZfhg%2b6Ut2XAQ%3d%3d,2025-11-24T16:13:36.341067
171571_9973_13645597_28807873,BIOLOGY-732-01,FOOD WEB THEORY.BIOLOGY-732-01.ENVIRON-743-01.EVANTH-732-01.UPE-732-01.,"Gibert, Jean",Fall 2024,BIOLOGY,"5 of 8  responded (62.50%)



 View Report
                            



 Download PDF","BIOLOGY, ENVIRON, EVANTH, UPE",98819,q5OO4BI97gXGGxeB4X%2bILQ%3d%3d,Ts00H47bNo2neE7iVakZEw%3d%3d,LZLSd2C%2bK3Y6JunGOtNDEQ%3d%3d,2025-11-24T16:13:36.341167
