uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
161337_9470_12750605_27991586,FECON-471A-01,FINANCIAL MARKET & INVESTMENTS.FECON-471A-01.,"Bollerslev, Tim",Spring 2024,ECONOMICS,"9 of 18  responded (50.00%)



 View Report
                            



 Download PDF",FECON,98985,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,vB9YaoIQQkEJPDMDTb4fEw%3d%3d,uFiin3mDScZQY9T%2bVh9hPg%3d%3d,2025-11-24T16:14:10.100997
161337_9470_12750649_28112013,FECON-390-01,TOPICS IN FINANCIAL ECONOMICS.FECON-390-01.,"Meade, Ellen",Spring 2024,ECONOMICS,"22 of 24  responded (91.67%)



 View Report
                            



 Download PDF",FECON,98985,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,LJ7GA%2bFG%2fMJ45VgSNpgPkw%3d%3d,fAhZ60MB%2f6haWMQKHcfQPw%3d%3d,2025-11-24T16:14:10.101158
161337_9470_12750658_28807768,FECON-372-01,ASSET PRICING & RISK MGMT.FECON-372-01.,"Levonmaa, Aino",Spring 2024,ECONOMICS,"33 of 98  responded (33.67%)



 View Report
                            



 Download PDF",FECON,98985,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,7Hh8go9NZnOlLFE1Cp93xA%3d%3d,2GW3lZI6O%2fuPei5kAKlvbA%3d%3d,2025-11-24T16:14:10.101288
161337_9470_12750690_27991613,FECON-474S-01,EICHEL SECURITIZATION PROJECT.FECON-474S-01.,"Kreicher, Lawrence",Spring 2024,ECONOMICS,"5 of 13  responded (38.46%)



 View Report
                            



 Download PDF",FECON,98985,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,hKPP%2bcrLNAA7vYt2%2ftNRQQ%3d%3d,Pz%2fCem3WOjhX4q2Lo6CKCA%3d%3d,2025-11-24T16:14:10.101407
161337_9470_12750692_27445797,FECON-373-01,CORPORATE FINANCE.FECON-373-01.,"Fullenkamp, Connel",Spring 2024,ECONOMICS,"10 of 22  responded (45.45%)



 View Report
                            



 Download PDF",FECON,98985,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,CQAijjRZgEL5URcVJHtmzg%3d%3d,nVRU1AE59oFhrq0NneebAQ%3d%3d,2025-11-24T16:14:10.101498
161337_9470_12750695_27675584,FECON-370A-01,GLOBAL CAPITAL MARKETS.FECON-370A-01.,"Caccavale, John",Spring 2024,ECONOMICS,"9 of 18  responded (50.00%)



 View Report
                            



 Download PDF",FECON,98985,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,JflqiNjmZOJlwN2jJLR5PQ%3d%3d,Hdqvv%2fKNZCUFBSeK28t2og%3d%3d,2025-11-24T16:14:10.101618
161337_9470_12750729_27675584,FECON-307A-01,UNDERSTANDING FIN CRISES.FECON-307A-01.,"Caccavale, John",Spring 2024,ECONOMICS,"9 of 18  responded (50.00%)



 View Report
                            



 Download PDF",FECON,98985,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,vt2ksG77MD0lFmb1IgL8OQ%3d%3d,Hdqvv%2fKNZCUFBSeK28t2og%3d%3d,2025-11-24T16:14:10.101707
161337_9470_12750762_27991613,FECON-477-01,FIXED INCOME MARKETS/QUANTITAT.FECON-477-01.,"Kreicher, Lawrence",Spring 2024,ECONOMICS,"8 of 21  responded (38.10%)



 View Report
                            



 Download PDF",FECON,98985,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,6FYg2ZoNdyUOvP6%2fmwM%2fYA%3d%3d,Pz%2fCem3WOjhX4q2Lo6CKCA%3d%3d,2025-11-24T16:14:10.101789
161337_9470_12751012_28112031,FECON-379-01,EMERGING MARKETS.FECON-379-01.ICS-379-01.,"Zanalda, Giovanni",Spring 2024,ECONOMICS,"11 of 33  responded (33.33%)



 View Report
                            



 Download PDF","FECON, ICS",98985,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,rZDog4hOMJVwPdlqNO48ug%3d%3d,x3iRlj8pUb3j8pUQ9Nnupw%3d%3d,2025-11-24T16:14:10.101870
170434_9917_13400588_27675584,FECON-307A-01,UNDERSTANDING FIN CRISES.FECON-307A-01.,"Caccavale, John",Summer II 2024,ECONOMICS,"13 of 16  responded (81.25%)



 View Report
                            



 Download PDF",FECON,98985,p%2f7%2f%2fKmTgr77QbMscbbBXw%3d%3d,yqxp79bncSbiWip4mLc1ew%3d%3d,Hdqvv%2fKNZCUFBSeK28t2og%3d%3d,2025-11-24T16:14:10.101948
