filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
FECON-307A-01_Caccavale__John_Spring_2024.html,Spring 2024,FECON-307A-01 : UNDERSTANDING FIN CRISES.FECON-307A-01.,John Caccavale,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
FECON-307A-01_Caccavale__John_Spring_2024.html,Spring 2024,FECON-307A-01 : UNDERSTANDING FIN CRISES.FECON-307A-01.,John Caccavale,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
FECON-307A-01_Caccavale__John_Spring_2024.html,Spring 2024,FECON-307A-01 : UNDERSTANDING FIN CRISES.FECON-307A-01.,John Caccavale,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,9/18 (50%),4.56,0.53,5.00
FECON-307A-01_Caccavale__John_Spring_2024.html,Spring 2024,FECON-307A-01 : UNDERSTANDING FIN CRISES.FECON-307A-01.,John Caccavale,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,9/18 (50%),4.56,0.53,5.00
FECON-307A-01_Caccavale__John_Spring_2024.html,Spring 2024,FECON-307A-01 : UNDERSTANDING FIN CRISES.FECON-307A-01.,John Caccavale,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),0,0.00%,9/18 (50%),4.56,0.53,5.00
FECON-307A-01_Caccavale__John_Spring_2024.html,Spring 2024,FECON-307A-01 : UNDERSTANDING FIN CRISES.FECON-307A-01.,John Caccavale,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),4,44.44%,9/18 (50%),4.56,0.53,5.00
FECON-307A-01_Caccavale__John_Spring_2024.html,Spring 2024,FECON-307A-01 : UNDERSTANDING FIN CRISES.FECON-307A-01.,John Caccavale,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),5,55.56%,9/18 (50%),4.56,0.53,5.00
FECON-307A-01_Caccavale__John_Spring_2024.html,Spring 2024,FECON-307A-01 : UNDERSTANDING FIN CRISES.FECON-307A-01.,John Caccavale,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
FECON-307A-01_Caccavale__John_Spring_2024.html,Spring 2024,FECON-307A-01 : UNDERSTANDING FIN CRISES.FECON-307A-01.,John Caccavale,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,9/18 (50%),4.78,0.44,5.00
FECON-307A-01_Caccavale__John_Spring_2024.html,Spring 2024,FECON-307A-01 : UNDERSTANDING FIN CRISES.FECON-307A-01.,John Caccavale,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,9/18 (50%),4.78,0.44,5.00
