uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
153858_9169_12282573_28112026,FMKT-390S-01,TOPICS IN FINANCIAL MARKETS.FMKT-390S-01.,"Scott, Jason",Fall 2023,ECONOMICS,"5 of 18  responded (27.78%)



 View Report
                            



 Download PDF",FMKT,98985,CtmkEaIRhsSP75R5T115eg%3d%3d,ry6xMqqwigM3%2bYApQCgzkw%3d%3d,6RxCjrqBj0jNFQPdLMdjSQ%3d%3d,2025-11-24T16:14:18.739047
153858_9169_12282573_28112027,FMKT-390S-01,TOPICS IN FINANCIAL MARKETS.FMKT-390S-01.,"Propper De Callejon, Diana",Fall 2023,ECONOMICS,"5 of 18  responded (27.78%)



 View Report
                            



 Download PDF",FMKT,98985,CtmkEaIRhsSP75R5T115eg%3d%3d,ry6xMqqwigM3%2bYApQCgzkw%3d%3d,Ym7g1zL4ZU9rkfVXHaeYNQ%3d%3d,2025-11-24T16:14:18.739137
153858_9169_12282580_28112020,FMKT-390S-04,TOPICS IN FINANCIAL MARKETS.FMKT-390S-04.,"Yearley, Andrew",Fall 2023,ECONOMICS,"11 of 18  responded (61.11%)



 View Report
                            



 Download PDF",FMKT,98985,CtmkEaIRhsSP75R5T115eg%3d%3d,X7eUQLNOWUHxXdmBBO0Ktw%3d%3d,dKx6Vq8fNLazILDS4ncsuA%3d%3d,2025-11-24T16:14:18.739277
153858_9169_12282697_28112022,FMKT-390S-03,TOPICS IN FINANCIAL MARKETS.FMKT-390S-03.,"Columbaro, Steve",Fall 2023,ECONOMICS,"13 of 18  responded (72.22%)



 View Report
                            



 Download PDF",FMKT,98985,CtmkEaIRhsSP75R5T115eg%3d%3d,DVl8xPVg5bNuIpA270zoJg%3d%3d,VQZ5pYu42ib9yMwfvcidUw%3d%3d,2025-11-24T16:14:18.739356
153858_9169_12282759_28112025,FMKT-390S-02,TOPICS IN FINANCIAL MARKETS.FMKT-390S-02.,"Roberts, Lee",Fall 2023,ECONOMICS,"16 of 17  responded (94.12%)



 View Report
                            



 Download PDF",FMKT,98985,CtmkEaIRhsSP75R5T115eg%3d%3d,chSdJooCJXa73KJlocQsvQ%3d%3d,9G5Dteq5IBdWbGvqIt5hGQ%3d%3d,2025-11-24T16:14:18.739429
161337_9470_12750608_28807788,FMKT-390S-02,TOPICS IN FINANCIAL MARKETS.FMKT-390S-02.,"Ryan, John",Spring 2024,ECONOMICS,"11 of 17  responded (64.71%)



 View Report
                            



 Download PDF",FMKT,98985,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,KxHVW8%2fch9GDuZde33df9A%3d%3d,7Ombl%2fwGex%2fqYpNb%2bj5oeA%3d%3d,2025-11-24T16:14:18.739500
161337_9470_12750666_28111956,FMKT-381S-01,INSIDE HEDGE FUNDS.FMKT-381S-01.,"Lebowitz Hughes, Linsey",Spring 2024,ECONOMICS,"12 of 15  responded (80.00%)



 View Report
                            



 Download PDF",FMKT,98985,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,ewixpm0SCD6yOcYQo2ZujQ%3d%3d,kB1VLkoq9BBekh78w745NA%3d%3d,2025-11-24T16:14:18.739572
161337_9470_12750691_28807784,FMKT-390S-04,TOPICS IN FINANCIAL MARKETS.FMKT-390S-04.,"Thomason, Ben",Spring 2024,ECONOMICS,"14 of 14  responded (100.00%)



 View Report
                            



 Download PDF",FMKT,98985,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,Xg4lHlOd7b4JwLlzYQ%2fZLg%3d%3d,%2fWUambXN51G8bFcSaKux5w%3d%3d,2025-11-24T16:14:18.739644
161337_9470_12750732_28807785,FMKT-390S-03,TOPICS IN FINANCIAL MARKETS.FMKT-390S-03.,"Larson, Urban",Spring 2024,ECONOMICS,"9 of 16  responded (56.25%)



 View Report
                            



 Download PDF",FMKT,98985,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,1EDG4NbUWwPzKlveIN0IpQ%3d%3d,sln13%2fK3NqKSrRui0sTHpg%3d%3d,2025-11-24T16:14:18.739717
171550_9973_13686303_28111956,FMKT-381S-01,INSIDE HEDGE FUNDS.FMKT-381S-01.,"Lebowitz Hughes, Linsey",Fall 2024,ECONOMICS,"14 of 15  responded (93.33%)



 View Report
                            



 Download PDF",FMKT,98985,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,AlmUiK2wKexwXfRP8UNIWA%3d%3d,kB1VLkoq9BBekh78w745NA%3d%3d,2025-11-24T16:14:18.739787
