filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
FRENCH-101-01_Boum-biyong__Marie_natacha_Fall_2024.html,Fall 2024,FRENCH-101-01 : ELEMENTARY FRENCH 1.FRENCH-101-01.,Marie natacha Boum-biyong,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
FRENCH-101-01_Boum-biyong__Marie_natacha_Fall_2024.html,Fall 2024,FRENCH-101-01 : ELEMENTARY FRENCH 1.FRENCH-101-01.,Marie natacha Boum-biyong,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
FRENCH-101-01_Boum-biyong__Marie_natacha_Fall_2024.html,Fall 2024,FRENCH-101-01 : ELEMENTARY FRENCH 1.FRENCH-101-01.,Marie natacha Boum-biyong,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",9/9 (100%),4.44,0.53,4.00,9,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 5 (55.56%); Excellent: 4 (44.44%)
FRENCH-101-01_Boum-biyong__Marie_natacha_Fall_2024.html,Fall 2024,FRENCH-101-01 : ELEMENTARY FRENCH 1.FRENCH-101-01.,Marie natacha Boum-biyong,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
FRENCH-101-01_Boum-biyong__Marie_natacha_Fall_2024.html,Fall 2024,FRENCH-101-01 : ELEMENTARY FRENCH 1.FRENCH-101-01.,Marie natacha Boum-biyong,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",8/9 (88.89%),4.13,0.64,4.00,8,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (12.50%); Very Good: 5 (62.50%); Excellent: 2 (25.00%)
FRENCH-101-01_Boum-biyong__Marie_natacha_Fall_2024.html,Fall 2024,FRENCH-101-01 : ELEMENTARY FRENCH 1.FRENCH-101-01.,Marie natacha Boum-biyong,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",9/9 (100%),4.33,0.71,4.00,9,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (11.11%); Very Good: 4 (44.44%); Excellent: 4 (44.44%)
FRENCH-101-01_Boum-biyong__Marie_natacha_Fall_2024.html,Fall 2024,FRENCH-101-01 : ELEMENTARY FRENCH 1.FRENCH-101-01.,Marie natacha Boum-biyong,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
FRENCH-101-01_Boum-biyong__Marie_natacha_Fall_2024.html,Fall 2024,FRENCH-101-01 : ELEMENTARY FRENCH 1.FRENCH-101-01.,Marie natacha Boum-biyong,8,The course was difficult.,9/9 (100%),3.56,0.88,4.00,9,Strongly disagree: 0 (0.00%); Disagree: 1 (11.11%); Neither agree nor disagree: 3 (33.33%); Agree: 4 (44.44%); Strongly agree: 1 (11.11%)
FRENCH-101-01_Boum-biyong__Marie_natacha_Fall_2024.html,Fall 2024,FRENCH-101-01 : ELEMENTARY FRENCH 1.FRENCH-101-01.,Marie natacha Boum-biyong,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,8/9 (88.89%),5.63,1.92,6.00,8,1: 0 (0.00%); 2: 0 (0.00%); 3: 2 (25.00%); 4: 0 (0.00%); 5: 2 (25.00%); 6: 0 (0.00%); 7: 3 (37.50%); 8: 1 (12.50%); 9: 0 (0.00%); 10+: 0 (0.00%)
FRENCH-101-01_Boum-biyong__Marie_natacha_Spring_2024.html,Spring 2024,FRENCH-101-01 : ELEMENTARY FRENCH 1.FRENCH-101-01.,Marie natacha Boum-biyong,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
