filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
FRENCH-101-01_Boum-biyong__Marie_natacha_Fall_2024.html,Fall 2024,FRENCH-101-01 : ELEMENTARY FRENCH 1.FRENCH-101-01.,Marie natacha Boum-biyong,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
FRENCH-101-01_Boum-biyong__Marie_natacha_Fall_2024.html,Fall 2024,FRENCH-101-01 : ELEMENTARY FRENCH 1.FRENCH-101-01.,Marie natacha Boum-biyong,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
FRENCH-101-01_Boum-biyong__Marie_natacha_Fall_2024.html,Fall 2024,FRENCH-101-01 : ELEMENTARY FRENCH 1.FRENCH-101-01.,Marie natacha Boum-biyong,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,9/9 (100%),4.44,0.53,4.00
FRENCH-101-01_Boum-biyong__Marie_natacha_Fall_2024.html,Fall 2024,FRENCH-101-01 : ELEMENTARY FRENCH 1.FRENCH-101-01.,Marie natacha Boum-biyong,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,9/9 (100%),4.44,0.53,4.00
FRENCH-101-01_Boum-biyong__Marie_natacha_Fall_2024.html,Fall 2024,FRENCH-101-01 : ELEMENTARY FRENCH 1.FRENCH-101-01.,Marie natacha Boum-biyong,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),0,0.00%,9/9 (100%),4.44,0.53,4.00
FRENCH-101-01_Boum-biyong__Marie_natacha_Fall_2024.html,Fall 2024,FRENCH-101-01 : ELEMENTARY FRENCH 1.FRENCH-101-01.,Marie natacha Boum-biyong,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),5,55.56%,9/9 (100%),4.44,0.53,4.00
FRENCH-101-01_Boum-biyong__Marie_natacha_Fall_2024.html,Fall 2024,FRENCH-101-01 : ELEMENTARY FRENCH 1.FRENCH-101-01.,Marie natacha Boum-biyong,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),4,44.44%,9/9 (100%),4.44,0.53,4.00
FRENCH-101-01_Boum-biyong__Marie_natacha_Fall_2024.html,Fall 2024,FRENCH-101-01 : ELEMENTARY FRENCH 1.FRENCH-101-01.,Marie natacha Boum-biyong,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
FRENCH-101-01_Boum-biyong__Marie_natacha_Fall_2024.html,Fall 2024,FRENCH-101-01 : ELEMENTARY FRENCH 1.FRENCH-101-01.,Marie natacha Boum-biyong,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,8/9 (88.89%),4.13,0.64,4.00
FRENCH-101-01_Boum-biyong__Marie_natacha_Fall_2024.html,Fall 2024,FRENCH-101-01 : ELEMENTARY FRENCH 1.FRENCH-101-01.,Marie natacha Boum-biyong,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,8/9 (88.89%),4.13,0.64,4.00
