filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
GENOME-128FS-01_Yoder__Anne_Fall_2023.html,Fall 2023,BIOLOGY-128FS-01 : EVOLUTIONARY GENOMICS.BIOLOGY-128FS-01.GENOME-128FS-01.,Anne Yoder,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
GENOME-128FS-01_Yoder__Anne_Fall_2023.html,Fall 2023,BIOLOGY-128FS-01 : EVOLUTIONARY GENOMICS.BIOLOGY-128FS-01.GENOME-128FS-01.,Anne Yoder,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
GENOME-128FS-01_Yoder__Anne_Fall_2023.html,Fall 2023,BIOLOGY-128FS-01 : EVOLUTIONARY GENOMICS.BIOLOGY-128FS-01.GENOME-128FS-01.,Anne Yoder,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,6/17 (35.29%),4.00,0.89,4.00
GENOME-128FS-01_Yoder__Anne_Fall_2023.html,Fall 2023,BIOLOGY-128FS-01 : EVOLUTIONARY GENOMICS.BIOLOGY-128FS-01.GENOME-128FS-01.,Anne Yoder,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,6/17 (35.29%),4.00,0.89,4.00
GENOME-128FS-01_Yoder__Anne_Fall_2023.html,Fall 2023,BIOLOGY-128FS-01 : EVOLUTIONARY GENOMICS.BIOLOGY-128FS-01.GENOME-128FS-01.,Anne Yoder,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),2,33.33%,6/17 (35.29%),4.00,0.89,4.00
GENOME-128FS-01_Yoder__Anne_Fall_2023.html,Fall 2023,BIOLOGY-128FS-01 : EVOLUTIONARY GENOMICS.BIOLOGY-128FS-01.GENOME-128FS-01.,Anne Yoder,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),2,33.33%,6/17 (35.29%),4.00,0.89,4.00
GENOME-128FS-01_Yoder__Anne_Fall_2023.html,Fall 2023,BIOLOGY-128FS-01 : EVOLUTIONARY GENOMICS.BIOLOGY-128FS-01.GENOME-128FS-01.,Anne Yoder,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),2,33.33%,6/17 (35.29%),4.00,0.89,4.00
GENOME-128FS-01_Yoder__Anne_Fall_2023.html,Fall 2023,BIOLOGY-128FS-01 : EVOLUTIONARY GENOMICS.BIOLOGY-128FS-01.GENOME-128FS-01.,Anne Yoder,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
GENOME-128FS-01_Yoder__Anne_Fall_2023.html,Fall 2023,BIOLOGY-128FS-01 : EVOLUTIONARY GENOMICS.BIOLOGY-128FS-01.GENOME-128FS-01.,Anne Yoder,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,6/17 (35.29%),3.67,0.82,3.50
GENOME-128FS-01_Yoder__Anne_Fall_2023.html,Fall 2023,BIOLOGY-128FS-01 : EVOLUTIONARY GENOMICS.BIOLOGY-128FS-01.GENOME-128FS-01.,Anne Yoder,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,6/17 (35.29%),3.67,0.82,3.50
GENOME-128FS-01_Yoder__Anne_Fall_2023.html,Fall 2023,BIOLOGY-128FS-01 : EVOLUTIONARY GENOMICS.BIOLOGY-128FS-01.GENOME-128FS-01.,Anne Yoder,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),3,50.00%,6/17 (35.29%),3.67,0.82,3.50
GENOME-128FS-01_Yoder__Anne_Fall_2023.html,Fall 2023,BIOLOGY-128FS-01 : EVOLUTIONARY GENOMICS.BIOLOGY-128FS-01.GENOME-128FS-01.,Anne Yoder,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),2,33.33%,6/17 (35.29%),3.67,0.82,3.50
