filename,semester,course,instructor,question_number,question_text,response_text
ENGLISH-290-7-01_Pfau__Thomas_Fall_2023.html,Fall 2023,ENGLISH-290-7-01 : SP TOP IN LANG & LIT.ENGLISH-290-7-01.ETHICS-290-01.GERMAN-290-1-01.LIT-290-01.,Thomas Pfau,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","We learned not only how to further analyze the writing of Nobel prize winners themselves, but also how to unpack the historical and social contexts behind them. By covering a new work of literature every week, we got a sense of the type of writing that earns this sort of recognition, in addition to an understanding of the breadth of form and topics that have been awarded the Nobel Prize."
ENGLISH-290-7-01_Pfau__Thomas_Fall_2023.html,Fall 2023,ENGLISH-290-7-01 : SP TOP IN LANG & LIT.ENGLISH-290-7-01.ETHICS-290-01.GERMAN-290-1-01.LIT-290-01.,Thomas Pfau,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Reading a book a week and analysis readings critically, it also helped with writing literary texts."
ENGLISH-290-7-01_Pfau__Thomas_Fall_2023.html,Fall 2023,ENGLISH-290-7-01 : SP TOP IN LANG & LIT.ENGLISH-290-7-01.ETHICS-290-01.GERMAN-290-1-01.LIT-290-01.,Thomas Pfau,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to read cross-textually and consider themes that persisted across all texts. I learned how to place texts in their historical, political, social environments. I learned how to bring in philosophical ideologies when reading texts."
ENGLISH-290-7-01_Pfau__Thomas_Fall_2023.html,Fall 2023,ENGLISH-290-7-01 : SP TOP IN LANG & LIT.ENGLISH-290-7-01.ETHICS-290-01.GERMAN-290-1-01.LIT-290-01.,Thomas Pfau,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Critical thinking, analytical writing, literary criticism."
ENGLISH-290-7-01_Pfau__Thomas_Fall_2023.html,Fall 2023,ENGLISH-290-7-01 : SP TOP IN LANG & LIT.ENGLISH-290-7-01.ETHICS-290-01.GERMAN-290-1-01.LIT-290-01.,Thomas Pfau,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Critical Analysis of Literature: One of the most significant skills I developed in this course was the ability to critically analyze literary works. We learned to dissect complex texts, examining their themes, narrative structures, character development, and use of language. This involved not only understanding the surface-level content but also interpreting the deeper meanings and societal implications. 
Historical and Cultural Contextualization: The course enhanced my ability to place literary works within their historical and cultural contexts. This skill was crucial in understanding the significance of each author's work in their time and its lasting impact.
Diverse Perspectives and Empathetic Understanding: Engaging with a broad range of authors from different cultural backgrounds greatly enhanced my ability to appreciate diverse perspectives. This course encouraged an empathetic approach to literature, urging us to understand and respect viewpoints and experiences different from our own."
ENGLISH-290-7-01_Pfau__Thomas_Fall_2023.html,Fall 2023,ENGLISH-290-7-01 : SP TOP IN LANG & LIT.ENGLISH-290-7-01.ETHICS-290-01.GERMAN-290-1-01.LIT-290-01.,Thomas Pfau,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to think more analytically about a literary text. I improved my skills in close reading, synthesizing my thoughts, and identifying themes that run throughout a piece."
ENGLISH-290-7-01_Pfau__Thomas_Fall_2023.html,Fall 2023,ENGLISH-290-7-01 : SP TOP IN LANG & LIT.ENGLISH-290-7-01.ETHICS-290-01.GERMAN-290-1-01.LIT-290-01.,Thomas Pfau,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Creative thinking and critical analysis
ENGLISH-290-7-01_Pfau__Thomas_Fall_2023.html,Fall 2023,ENGLISH-290-7-01 : SP TOP IN LANG & LIT.ENGLISH-290-7-01.ETHICS-290-01.GERMAN-290-1-01.LIT-290-01.,Thomas Pfau,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","- Historical and cultural context in which prominent works of the 20th century were written. 
- Techniques and frames with which we can analyze literary texts 
- Practice writing interpretive essays."
ENGLISH-290-7-01_Pfau__Thomas_Fall_2023.html,Fall 2023,ENGLISH-290-7-01 : SP TOP IN LANG & LIT.ENGLISH-290-7-01.ETHICS-290-01.GERMAN-290-1-01.LIT-290-01.,Thomas Pfau,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","The course provided extremely interesting insights into the literary ""greats"" of the 20th century and into different cultures. I learned about the roles of bystanders/authors and the many tragedies that have shaped certain countries and communities."
ENGLISH-290-7-01_Pfau__Thomas_Fall_2023.html,Fall 2023,ENGLISH-290-7-01 : SP TOP IN LANG & LIT.ENGLISH-290-7-01.ETHICS-290-01.GERMAN-290-1-01.LIT-290-01.,Thomas Pfau,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to how to relate history with personal experiences, close reading analysis, and the more historical background on the communism and colonization."
